CODE,LONG/SHORT,ADX_OPTIMAL,BIAS_OPTIMAL,RUN_OR_NOT,MULTIPLIER,Gain-to-Pain Ratio,Final Profits,Number of Trades
BON,LONG,15,16,RUN,600,1.7066,10.7379,947
BON,SHORT,40,-6,,600,3.1587,0.1262,43
BOZ,LONG,35,14,RUN,600,2.0735,3.4243,199
BOZ,SHORT,40,-16,,600,2.8164,0.2204,49
CCN,LONG,,,,18.75,,,
CCN,SHORT,30,-12,RUN,18.75,1.5146,0.2147,161
CCZ,LONG,40,8,RUN,18.75,1.9684,1.9019,116
CCZ,SHORT,30,-12,RUN,18.75,2.1772,0.4181,153
CDZ,LONG,40,5,,1000,1.3101,0.2797,127
CDZ,SHORT,40,-14,,1000,1.1038,0.0161,119
CLN,LONG,10,22,,1000,1.1374,3.281,1257
CLN,SHORT,30,-30,RUN,1000,1.7073,0.3845,179
CLZ,LONG,15,8,RUN,1000,1.2444,5.0274,1203
CLZ,SHORT,15,-14,,1000,1.1204,0.3087,520
CN,LONG,30,20,RUN,50,1.7862,3.574,260
CN,SHORT,20,-16,RUN,50,1.8035,0.8715,401
CTN,LONG,30,16,RUN,500,1.7147,5.8762,344
CTN,SHORT,35,-8,RUN,500,1.5298,0.2276,125
CTZ,LONG,30,12,RUN,500,2.4701,7.6333,344
CTZ,SHORT,35,-16,,500,1.5598,0.207,121
CZ,LONG,30,14,RUN,50,1.802,4.355,284
CZ,SHORT,20,-8,RUN,50,1.2249,0.3561,471
DXZ,LONG,10,5,RUN,500,1.6516,4.7935,1146
DXZ,SHORT,,,,500,,,
GCZ,LONG,10,7,RUN,100,1.4284,4.8955,1168
GCZ,SHORT,30,-14,,100,1.2017,0.0659,139
HGZ,LONG,,,,1250,,,
HGZ,SHORT,30,-5,RUN,1250,1.3109,0.1402,153
JYZ,LONG,,,,62500000,,,
JYZ,SHORT,40,-4,,62500000,1.1892,0.0352,129
KCN,LONG,15,6,,375,1.1953,2.9393,1000
KCN,SHORT,25,-18,RUN,375,1.8161,0.7318,283
KCZ,LONG,30,6,RUN,375,1.6121,2.1325,231
KCZ,SHORT,25,-16,,375,1.2808,0.2537,265
KWN,LONG,35,12,RUN,50,1.7035,3.7875,223
KWN,SHORT,25,-16,RUN,50,1.5568,0.5062,251
KWZ,LONG,35,14,RUN,50,2.2051,6.7864,240
KWZ,SHORT,30,-16,RUN,50,1.496,0.2675,155
LCN,LONG,35,6,,1000,1.3198,0.4433,159
LCN,SHORT,35,-18,RUN,1000,1.4554,0.1316,169
LCZ,LONG,20,3,,1000,1.1183,0.72,876
LCZ,SHORT,30,-8,RUN,1000,1.3128,0.1049,210
LHN,LONG,30,8,,1000,1.2547,0.9331,277
LHN,SHORT,30,-26,RUN,1000,1.5625,0.3313,241
LHZ,LONG,40,3,,1000,3.2079,0.4698,47
LHZ,SHORT,20,-14,RUN,1000,1.2736,0.3172,431
SBN,LONG,30,12,RUN,1120,2.0551,7.7085,360
SBN,SHORT,20,-14,RUN,1120,1.2444,0.3014,432
SBV,LONG,20,9,RUN,1120,1.5301,8.1724,822
SBV,SHORT,20,-14,RUN,1120,1.257,0.3258,435
SIZ,LONG,15,14,RUN,2500,1.3328,7.1005,1014
SIZ,SHORT,30,-20,RUN,2500,2.3496,0.5629,163
SMN,LONG,35,7,RUN,100,1.684,3.8825,357
SMN,SHORT,30,-5,RUN,100,1.8121,0.2093,111
SMZ,LONG,20,12,RUN,100,1.4353,6.6836,831
SMZ,SHORT,30,-8,RUN,100,1.6851,0.2756,127
SN,LONG,25,7,RUN,5000,1.2787,2.7743,633
SN,SHORT,25,-7,RUN,5000,1.3303,0.2123,229
SUCZ,LONG,35,14,RUN,14000,2.6457,5.7434,309
SUCZ,SHORT,25,-12,RUN,14000,1.7829,0.3507,288
SX,LONG,15,8,RUN,5000,1.5069,7.2896,1099
SX,SHORT,30,-4,RUN,5000,1.6028,0.1781,153
WN,LONG,40,12,RUN,50,2.2027,2.543,87
WN,SHORT,20,-16,RUN,50,1.7267,0.9743,439
WZ,LONG,35,16,RUN,50,1.7456,3.9802,216
WZ,SHORT,25,-4,,50,1.2221,0.178,273
