Date,Total Profit,Value
2000-07-03,"(-1331.0125, [nan, nan, 'SELL', nan, nan, nan, nan, 'SELL', 'SELL', nan, 'SELL', nan, 'SELL', nan, nan], ['CN', 'LCN', 'LHN', 'SMN', 'SN'])",-1331.0125
2000-07-05,"(-13190.9688, [nan, nan, nan, nan, 'HOLD', nan, nan, 'SELL', nan, 'SELL', 'HOLD', 'HOLD', nan, nan, nan, 'HOLD', nan, 'HOLD', nan, nan], ['CN', 'KCN', 'KWN', 'LCN', 'LHN', 'SMN', 'SN'])",-13190.9688
2000-07-06,"(46473.4063, [nan, nan, nan, nan, 'HOLD', nan, nan, 'HOLD', nan, 'HOLD', 'BUY', 'HOLD', nan, nan, nan, 'HOLD', nan, 'HOLD', nan, nan], ['CN', 'KCN', 'KWN', 'LCN', 'LHN', 'SMN', 'SN'])",46473.4063
2000-07-07,"(13128.3063, [nan, nan, nan, nan, 'HOLD', nan, nan, 'HOLD', nan, 'HOLD', nan, 'HOLD', nan, nan, nan, 'HOLD', nan, 'HOLD', nan, 'SELL'], ['CN', 'KCN', 'KWN', 'LHN', 'SMN', 'SN', 'WN'])",13128.3063
2000-07-10,"(10297.0563, [nan, nan, nan, nan, 'HOLD', nan, nan, 'HOLD', nan, 'HOLD', nan, 'HOLD', nan, nan, nan, 'HOLD', nan, 'HOLD', nan, 'HOLD'], ['CN', 'KCN', 'KWN', 'LHN', 'SMN', 'SN', 'WN'])",10297.0563
2000-07-11,"(54188.306300000004, [nan, nan, nan, nan, 'HOLD', nan, nan, 'HOLD', nan, 'HOLD', nan, 'HOLD', nan, nan, nan, 'HOLD', nan, 'HOLD', nan, 'HOLD'], ['CN', 'KCN', 'KWN', 'LHN', 'SMN', 'SN', 'WN'])",54188.306300000004
2000-07-12,"(35764.6719, [nan, nan, nan, nan, 'HOLD', nan, nan, 'BUY', nan, 'HOLD', nan, 'HOLD', nan, nan, nan, 'HOLD', nan, 'HOLD', nan, 'HOLD'], ['CN', 'KCN', 'KWN', 'LHN', 'SMN', 'SN', 'WN'])",35764.6719
2000-07-13,"(45433.096900000004, [nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, 'HOLD', 'SELL', 'HOLD', nan, nan, nan, 'HOLD', nan, 'HOLD', nan, 'HOLD'], ['CN', 'KWN', 'LCN', 'LHN', 'SMN', 'SN', 'WN'])",45433.096900000004
2000-07-14,"(73888.09689999999, [nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, 'HOLD', 'HOLD', 'HOLD', nan, nan, nan, 'HOLD', nan, 'HOLD', nan, 'HOLD'], ['CN', 'KWN', 'LCN', 'LHN', 'SMN', 'SN', 'WN'])",73888.09689999999
2000-07-17,"(96111.72189999999, [nan, nan, nan, nan, 'HOLD', nan, nan, 'SELL', nan, 'HOLD', 'HOLD', 'HOLD', nan, nan, nan, 'HOLD', nan, 'HOLD', nan, 'HOLD'], ['CN', 'KCN', 'KWN', 'LCN', 'LHN', 'SMN', 'SN', 'WN'])",96111.72189999999
2000-07-18,"(82577.3781, [nan, nan, nan, nan, 'HOLD', 'BUY', nan, 'BUY', nan, 'HOLD', 'HOLD', 'HOLD', nan, nan, nan, 'HOLD', nan, 'HOLD', nan, 'HOLD'], ['CN', 'CTN', 'KCN', 'KWN', 'LCN', 'LHN', 'SMN', 'SN', 'WN'])",82577.3781
2000-07-19,"(58756.6131, [nan, nan, nan, nan, 'HOLD', 'BUY', nan, nan, nan, 'HOLD', 'BUY', 'HOLD', nan, nan, nan, 'HOLD', nan, 'HOLD', nan, 'HOLD'], ['CN', 'CTN', 'KWN', 'LCN', 'LHN', 'SMN', 'SN', 'WN'])",58756.6131
2000-07-20,"(31838.5881, [nan, nan, nan, nan, 'HOLD', 'BUY', nan, nan, nan, 'HOLD', 'SELL', 'HOLD', nan, nan, nan, 'HOLD', nan, 'HOLD', nan, 'HOLD'], ['CN', 'CTN', 'KWN', 'LCN', 'LHN', 'SMN', 'SN', 'WN'])",31838.5881
2000-07-21,"(28882.200600000004, [nan, nan, nan, nan, 'BUY', 'HOLD', nan, nan, nan, 'HOLD', 'BUY', 'HOLD', nan, nan, nan, 'BUY', nan, 'BUY', nan, 'HOLD'], ['CN', 'CTN', 'KWN', 'LCN', 'LHN', 'SMN', 'SN', 'WN'])",28882.200600000004
