Date,Total Profit,Value
2000-07-03,"(-67.4, [nan, nan, nan, nan, 'SELL', 'SELL', nan, nan, nan], ['LCN', 'LHN'])",-67.4
2000-07-05,"(-436.61879999999996, [nan, nan, nan, nan, nan, 'SELL', nan, 'HOLD', 'HOLD', nan, nan, nan, nan], ['KCN', 'LCN', 'LHN'])",-436.61879999999996
2000-07-06,"(1227.7563, [nan, nan, nan, nan, nan, 'HOLD', nan, 'BUY', 'HOLD', nan, nan, nan, nan], ['KCN', 'LCN', 'LHN'])",1227.7563
2000-07-07,"(1957.7563, [nan, nan, nan, nan, nan, 'HOLD', nan, nan, 'HOLD', nan, nan, nan, nan], ['KCN', 'LHN'])",1957.7563
2000-07-10,"(1451.5063, [nan, nan, nan, nan, nan, 'HOLD', nan, nan, 'HOLD', nan, nan, nan, nan], ['KCN', 'LHN'])",1451.5063
2000-07-11,"(-204.7437, [nan, nan, nan, nan, nan, 'HOLD', nan, nan, 'HOLD', nan, nan, nan, nan], ['KCN', 'LHN'])",-204.7437
2000-07-12,"(1406.6219, [nan, nan, nan, nan, nan, 'BUY', nan, nan, 'HOLD', nan, nan, nan, nan], ['KCN', 'LHN'])",1406.6219
2000-07-13,"(1470.0469, [nan, nan, nan, nan, nan, nan, nan, 'SELL', 'HOLD', nan, nan, nan, nan], ['LCN', 'LHN'])",1470.0469
2000-07-14,"(1550.0469, [nan, nan, nan, nan, nan, nan, nan, 'HOLD', 'HOLD', nan, nan, nan, nan], ['LCN', 'LHN'])",1550.0469
2000-07-17,"(1898.6719, [nan, nan, nan, nan, nan, 'SELL', nan, 'HOLD', 'HOLD', nan, nan, nan, nan], ['KCN', 'LCN', 'LHN'])",1898.6719
2000-07-18,"(4626.828100000001, [nan, nan, nan, nan, 'BUY', 'BUY', nan, 'HOLD', 'HOLD', nan, nan, nan, nan], ['CTN', 'KCN', 'LCN', 'LHN'])",4626.828100000001
2000-07-19,"(6153.5631, [nan, nan, nan, nan, 'BUY', nan, nan, 'BUY', 'HOLD', nan, nan, nan, nan], ['CTN', 'LCN', 'LHN'])",6153.5631
2000-07-20,"(4800.5381, [nan, nan, nan, nan, 'BUY', nan, nan, 'SELL', 'HOLD', nan, nan, nan, nan], ['CTN', 'LCN', 'LHN'])",4800.5381
2000-07-21,"(5868.9131, [nan, nan, nan, nan, 'HOLD', nan, nan, 'BUY', 'HOLD', nan, nan, nan, nan], ['CTN', 'LCN', 'LHN'])",5868.9131
2000-07-24,"(8057.4131, [nan, nan, nan, nan, 'HOLD', nan, nan, 'SELL', 'HOLD', nan, nan, nan, nan], ['CTN', 'LCN', 'LHN'])",8057.4131
2000-07-25,"(6482.2163, [nan, nan, nan, nan, 'HOLD', nan, nan, 'HOLD', 'HOLD', 'BUY', nan, nan, nan], ['CTN', 'LCN', 'LHN', 'SBN'])",6482.2163
2000-07-26,"(5950.2402999999995, [nan, nan, nan, nan, 'HOLD', nan, nan, 'HOLD', 'HOLD', 'BUY', nan, nan, nan], ['CTN', 'LCN', 'LHN', 'SBN'])",5950.2402999999995
2000-07-27,"(3971.0906000000004, [nan, nan, nan, nan, 'HOLD', 'SELL', nan, 'HOLD', 'HOLD', 'BUY', nan, nan, nan], ['CTN', 'KCN', 'LCN', 'LHN', 'SBN'])",3971.0906000000004
2000-07-28,"(1315.0405999999998, [nan, nan, nan, nan, 'SELL', 'HOLD', nan, 'HOLD', 'HOLD', 'HOLD', nan, nan, nan], ['CTN', 'KCN', 'LCN', 'LHN', 'SBN'])",1315.0405999999998
2000-07-31,"(2731.7086, [nan, nan, nan, nan, nan, 'HOLD', nan, 'HOLD', 'HOLD', 'SELL', nan, nan, nan], ['KCN', 'LCN', 'LHN', 'SBN'])",2731.7086
2000-08-01,"(3540.0602, [nan, nan, nan, nan, nan, 'HOLD', nan, 'HOLD', 'HOLD', 'BUY', nan, nan, nan], ['KCN', 'LCN', 'LHN', 'SBN'])",3540.0602
2000-08-02,"(4415.689399999999, [nan, nan, nan, nan, nan, 'HOLD', nan, 'HOLD', 'HOLD', 'BUY', nan, nan, nan], ['KCN', 'LCN', 'LHN', 'SBN'])",4415.689399999999
2000-08-03,"(4954.3894, [nan, nan, nan, nan, nan, 'HOLD', nan, 'HOLD', 'HOLD', 'BUY', nan, nan, nan], ['KCN', 'LCN', 'LHN', 'SBN'])",4954.3894
2000-08-04,"(3727.9893999999995, [nan, nan, nan, nan, nan, 'HOLD', nan, 'HOLD', 'HOLD', 'HOLD', nan, nan, nan], ['KCN', 'LCN', 'LHN', 'SBN'])",3727.9893999999995
2000-08-07,"(2109.1994, [nan, nan, nan, nan, nan, 'HOLD', nan, 'BUY', 'HOLD', 'HOLD', nan, nan, nan], ['KCN', 'LCN', 'LHN', 'SBN'])",2109.1994
2000-08-08,"(2593.7398, [nan, nan, nan, nan, nan, 'HOLD', nan, nan, 'HOLD', 'SELL', nan, nan, nan], ['KCN', 'LHN', 'SBN'])",2593.7398
2000-08-09,"(3833.7578, [nan, nan, nan, nan, nan, 'HOLD', nan, 'SELL', 'HOLD', 'BUY', nan, nan, nan], ['KCN', 'LCN', 'LHN', 'SBN'])",3833.7578
2000-08-10,"(3748.2578, [nan, nan, nan, nan, nan, 'HOLD', nan, 'HOLD', 'HOLD', 'HOLD', nan, nan, nan], ['KCN', 'LCN', 'LHN', 'SBN'])",3748.2578
