commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
BO,N,3^2, BON3^2 ,7/14/2023,67.89,67.89,67.89,67.89
BO,N,3^2, BON3^2 ,7/13/2023,69.67,70.00,70.00,70.00
BO,N,3^2, BON3^2 ,7/12/2023,68.68,69.41,69.60,69.41
BO,N,3^2, BON3^2 ,7/11/2023,68.53,68.50,69.04,68.50
BO,N,3^2, BON3^2 ,7/10/2023,69.22,69.44,69.44,69.17
BO,N,3^2, BON3^2 ,7/7/2023,66.55,66.58,66.85,65.96
BO,N,3^2, BON3^2 ,7/6/2023,65.95,67.61,67.61,66.00
BO,N,3^2, BON3^2 ,7/5/2023,68.58,68.21,68.85,67.56
BO,N,3^2, BON3^2 ,7/3/2023,67.02,65.00,67.29,65.00
BO,N,3^2, BON3^2 ,6/30/2023,65.01,61.24,65.65,61.20
BO,N,3^2, BON3^2 ,6/29/2023,60.83,59.84,61.20,59.40
BO,N,3^2, BON3^2 ,6/28/2023,59.62,60.40,61.75,58.75
BO,N,3^2, BON3^2 ,6/27/2023,60.55,59.68,60.65,57.69
BO,N,3^2, BON3^2 ,6/26/2023,59.51,58.22,59.68,57.97
BO,N,3^2, BON3^2 ,6/23/2023,57.94,55.79,58.10,55.70
BO,N,3^2, BON3^2 ,6/22/2023,55.77,55.10,55.87,53.13
BO,N,3^2, BON3^2 ,6/21/2023,55.63,59.30,59.30,55.63
BO,N,3^2, BON3^2 ,6/20/2023,59.63,59.95,60.06,58.76
BO,N,3^2, BON3^2 ,6/16/2023,59.69,58.43,60.24,58.40
BO,N,3^2, BON3^2 ,6/15/2023,58.43,55.96,58.90,55.80
BO,N,3^2, BON3^2 ,6/14/2023,55.96,55.62,56.67,54.63
BO,N,3^2, BON3^2 ,6/13/2023,55.43,54.15,55.59,53.98
BO,N,3^2, BON3^2 ,6/12/2023,53.98,54.59,54.85,53.70
BO,N,3^2, BON3^2 ,6/9/2023,54.59,52.26,54.92,52.20
BO,N,3^2, BON3^2 ,6/8/2023,52.50,50.54,52.75,50.35
BO,N,3^2, BON3^2 ,6/7/2023,50.47,50.92,51.57,50.17
BO,N,3^2, BON3^2 ,6/6/2023,50.92,49.26,51.02,48.68
BO,N,3^2, BON3^2 ,6/5/2023,49.26,49.61,49.89,48.63
BO,N,3^2, BON3^2 ,6/2/2023,49.50,47.86,49.56,47.69
BO,N,3^2, BON3^2 ,6/1/2023,47.86,46.33,48.02,46.16
BO,N,3^2, BON3^2 ,5/31/2023,46.20,46.20,46.59,44.53
BO,N,3^2, BON3^2 ,5/30/2023,46.20,48.88,49.06,45.94
BO,N,3^2, BON3^2 ,5/26/2023,48.82,48.61,49.66,48.46
