commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
BO,Z,3^2, BOZ3^2 ,12/14/2023,49.28,#N/A,#N/A,#N/A
BO,Z,3^2, BOZ3^2 ,12/13/2023,49.82,50.35,50.35,49.79
BO,Z,3^2, BOZ3^2 ,12/12/2023,50.39,51.50,51.50,50.40
BO,Z,3^2, BOZ3^2 ,12/11/2023,51.06,50.74,50.74,50.71
BO,Z,3^2, BOZ3^2 ,12/8/2023,50.15,51.21,51.21,51.03
BO,Z,3^2, BOZ3^2 ,12/7/2023,51.11,50.68,50.83,50.68
BO,Z,3^2, BOZ3^2 ,12/6/2023,49.29,49.93,50.01,49.93
BO,Z,3^2, BOZ3^2 ,12/5/2023,50.22,51.02,51.07,49.68
BO,Z,3^2, BOZ3^2 ,12/4/2023,51.19,51.30,51.99,51.08
BO,Z,3^2, BOZ3^2 ,12/1/2023,51.38,52.51,52.51,51.40
BO,Z,3^2, BOZ3^2 ,11/30/2023,52.29,52.88,53.20,52.03
BO,Z,3^2, BOZ3^2 ,11/29/2023,52.68,53.20,53.73,51.83
BO,Z,3^2, BOZ3^2 ,11/28/2023,53.34,52.07,53.56,51.99
BO,Z,3^2, BOZ3^2 ,11/27/2023,51.91,52.00,52.22,51.10
BO,Z,3^2, BOZ3^2 ,11/24/2023,51.53,53.50,53.50,51.40
BO,Z,3^2, BOZ3^2 ,11/22/2023,53.60,54.50,54.54,53.27
BO,Z,3^2, BOZ3^2 ,11/21/2023,54.19,53.11,54.34,52.55
BO,Z,3^2, BOZ3^2 ,11/20/2023,53.11,52.20,53.15,51.52
BO,Z,3^2, BOZ3^2 ,11/17/2023,52.01,51.90,52.52,51.28
BO,Z,3^2, BOZ3^2 ,11/16/2023,51.63,53.05,53.06,51.55
BO,Z,3^2, BOZ3^2 ,11/15/2023,53.05,52.82,53.62,52.42
BO,Z,3^2, BOZ3^2 ,11/14/2023,52.75,51.84,53.57,51.71
BO,Z,3^2, BOZ3^2 ,11/13/2023,51.54,51.20,51.75,49.83
BO,Z,3^2, BOZ3^2 ,11/10/2023,51.20,50.63,51.69,50.49
BO,Z,3^2, BOZ3^2 ,11/9/2023,50.45,49.88,50.85,49.72
BO,Z,3^2, BOZ3^2 ,11/8/2023,49.95,49.53,50.02,48.95
BO,Z,3^2, BOZ3^2 ,11/7/2023,49.49,50.88,50.88,49.25
BO,Z,3^2, BOZ3^2 ,11/6/2023,50.80,49.36,52.03,49.26
BO,Z,3^2, BOZ3^2 ,11/3/2023,49.36,50.48,51.32,48.79
BO,Z,3^2, BOZ3^2 ,11/2/2023,50.32,50.11,50.58,49.32
BO,Z,3^2, BOZ3^2 ,11/1/2023,49.90,51.59,51.88,49.78
BO,Z,3^2, BOZ3^2 ,10/31/2023,51.42,52.39,52.54,51.36
BO,Z,3^2, BOZ3^2 ,10/30/2023,52.39,52.06,52.97,52.06
BO,Z,3^2, BOZ3^2 ,10/27/2023,52.27,51.70,52.73,51.18
BO,Z,3^2, BOZ3^2 ,10/26/2023,51.74,52.69,53.49,51.56
