commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
CD,Z,3^2, CDZ3^2 ,12/19/2023,0.75,0.75,0.75,0.75
CD,Z,3^2, CDZ3^2 ,12/18/2023,0.75,0.75,0.75,0.75
CD,Z,3^2, CDZ3^2 ,12/15/2023,0.75,0.75,0.75,0.75
CD,Z,3^2, CDZ3^2 ,12/14/2023,0.75,0.74,0.75,0.74
CD,Z,3^2, CDZ3^2 ,12/13/2023,0.74,0.74,0.74,0.73
CD,Z,3^2, CDZ3^2 ,12/12/2023,0.74,0.74,0.74,0.73
CD,Z,3^2, CDZ3^2 ,12/11/2023,0.74,0.74,0.74,0.74
CD,Z,3^2, CDZ3^2 ,12/8/2023,0.74,0.74,0.74,0.73
CD,Z,3^2, CDZ3^2 ,12/7/2023,0.74,0.74,0.74,0.73
CD,Z,3^2, CDZ3^2 ,12/6/2023,0.74,0.74,0.74,0.74
CD,Z,3^2, CDZ3^2 ,12/5/2023,0.74,0.74,0.74,0.74
CD,Z,3^2, CDZ3^2 ,12/4/2023,0.74,0.74,0.74,0.74
CD,Z,3^2, CDZ3^2 ,12/1/2023,0.74,0.74,0.74,0.74
CD,Z,3^2, CDZ3^2 ,11/30/2023,0.74,0.74,0.74,0.73
CD,Z,3^2, CDZ3^2 ,11/29/2023,0.74,0.74,0.74,0.73
CD,Z,3^2, CDZ3^2 ,11/28/2023,0.74,0.73,0.74,0.73
CD,Z,3^2, CDZ3^2 ,11/27/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,11/24/2023,0.73,0.73,0.74,0.73
CD,Z,3^2, CDZ3^2 ,11/22/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,11/21/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,11/20/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,11/17/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,11/16/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,11/15/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,11/14/2023,0.73,0.72,0.73,0.72
CD,Z,3^2, CDZ3^2 ,11/13/2023,0.73,0.73,0.73,0.72
CD,Z,3^2, CDZ3^2 ,11/10/2023,0.72,0.72,0.73,0.72
CD,Z,3^2, CDZ3^2 ,11/9/2023,0.72,0.73,0.73,0.72
CD,Z,3^2, CDZ3^2 ,11/8/2023,0.72,0.73,0.73,0.72
CD,Z,3^2, CDZ3^2 ,11/7/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,11/6/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,11/3/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,11/2/2023,0.73,0.72,0.73,0.72
CD,Z,3^2, CDZ3^2 ,11/1/2023,0.72,0.72,0.72,0.72
CD,Z,3^2, CDZ3^2 ,10/31/2023,0.72,0.72,0.72,0.72
CD,Z,3^2, CDZ3^2 ,10/30/2023,0.72,0.72,0.72,0.72
CD,Z,3^2, CDZ3^2 ,10/27/2023,0.72,0.72,0.73,0.72
CD,Z,3^2, CDZ3^2 ,10/26/2023,0.72,0.73,0.73,0.72
CD,Z,3^2, CDZ3^2 ,10/25/2023,0.73,0.73,0.73,0.72
CD,Z,3^2, CDZ3^2 ,10/24/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,10/23/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,10/20/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,10/19/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,10/18/2023,0.73,0.73,0.74,0.73
CD,Z,3^2, CDZ3^2 ,10/17/2023,0.73,0.74,0.74,0.73
CD,Z,3^2, CDZ3^2 ,10/16/2023,0.74,0.73,0.74,0.73
CD,Z,3^2, CDZ3^2 ,10/13/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,10/12/2023,0.73,0.74,0.74,0.73
CD,Z,3^2, CDZ3^2 ,10/11/2023,0.74,0.74,0.74,0.73
CD,Z,3^2, CDZ3^2 ,10/10/2023,0.74,0.74,0.74,0.74
CD,Z,3^2, CDZ3^2 ,10/9/2023,0.74,0.73,0.74,0.73
CD,Z,3^2, CDZ3^2 ,10/6/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,10/5/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,10/4/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,10/3/2023,0.73,0.73,0.73,0.73
CD,Z,3^2, CDZ3^2 ,10/2/2023,0.73,0.74,0.74,0.73
CD,Z,3^2, CDZ3^2 ,9/29/2023,0.74,0.74,0.75,0.74
CD,Z,3^2, CDZ3^2 ,9/28/2023,0.74,0.74,0.74,0.74
CD,Z,3^2, CDZ3^2 ,9/27/2023,0.74,0.74,0.74,0.74
CD,Z,3^2, CDZ3^2 ,9/26/2023,0.74,0.74,0.74,0.74
CD,Z,3^2, CDZ3^2 ,9/25/2023,0.74,0.74,0.74,0.74
CD,Z,3^2, CDZ3^2 ,9/22/2023,0.74,0.74,0.75,0.74
CD,Z,3^2, CDZ3^2 ,9/21/2023,0.74,0.74,0.74,0.74
CD,Z,3^2, CDZ3^2 ,9/20/2023,0.75,0.74,0.75,0.74
CD,Z,3^2, CDZ3^2 ,9/19/2023,0.74,0.74,0.75,0.74
CD,Z,3^2, CDZ3^2 ,9/18/2023,0.74,0.74,0.74,0.74
CD,Z,3^2, CDZ3^2 ,9/15/2023,0.74,0.74,0.74,0.74
CD,Z,3^2, CDZ3^2 ,9/14/2023,0.74,0.74,0.74,0.74
CD,Z,3^2, CDZ3^2 ,9/13/2023,0.74,0.74,0.74,0.74
CD,Z,3^2, CDZ3^2 ,9/12/2023,0.74,0.74,0.74,0.74
CD,Z,3^2, CDZ3^2 ,9/11/2023,0.74,0.73,0.74,0.73
