commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
CL,N,3^2, CLN3^2 ,6/20/2023,70.5,71.45,72.09,69.65
CL,N,3^2, CLN3^2 ,6/16/2023,71.78,70.55,71.89,69.95
CL,N,3^2, CLN3^2 ,6/15/2023,70.62,68.7,70.96,67.97
CL,N,3^2, CLN3^2 ,6/14/2023,68.27,69.35,70.49,68.07
CL,N,3^2, CLN3^2 ,6/13/2023,69.42,67.31,69.83,67.15
CL,N,3^2, CLN3^2 ,6/12/2023,67.12,70.27,70.33,66.8
CL,N,3^2, CLN3^2 ,6/9/2023,70.17,70.94,71.77,70.1
CL,N,3^2, CLN3^2 ,6/8/2023,71.29,72.47,73.28,69.03
CL,N,3^2, CLN3^2 ,6/7/2023,72.53,71.56,73.19,71.01
CL,N,3^2, CLN3^2 ,6/6/2023,71.74,71.99,72.33,70.13
CL,N,3^2, CLN3^2 ,6/5/2023,72.15,75.03,75.06,71.73
CL,N,3^2, CLN3^2 ,6/2/2023,71.74,70.21,72.17,70
CL,N,3^2, CLN3^2 ,6/1/2023,70.1,67.6,71.07,67.51
CL,N,3^2, CLN3^2 ,5/31/2023,68.09,69.62,69.69,67.03
CL,N,3^2, CLN3^2 ,5/30/2023,69.46,73.23,73.55,69.02
CL,N,3^2, CLN3^2 ,5/26/2023,72.67,71.89,73.05,71.49
CL,N,3^2, CLN3^2 ,5/25/2023,71.83,74.21,74.37,70.98
CL,N,3^2, CLN3^2 ,5/24/2023,74.34,73.77,74.73,73.13
CL,N,3^2, CLN3^2 ,5/23/2023,72.91,72.1,73.79,71.71
CL,N,3^2, CLN3^2 ,5/22/2023,72.05,71.87,72.53,70.67
CL,N,3^2, CLN3^2 ,5/19/2023,71.69,72.06,73.58,71.18
CL,N,3^2, CLN3^2 ,5/18/2023,71.94,72.82,72.97,71.52
CL,N,3^2, CLN3^2 ,5/17/2023,72.89,70.6,73.3,70.05
CL,N,3^2, CLN3^2 ,5/16/2023,70.84,71.28,71.76,70.44
CL,N,3^2, CLN3^2 ,5/15/2023,71.09,70.02,71.67,69.39
CL,N,3^2, CLN3^2 ,5/12/2023,70.02,71.47,71.74,69.93
CL,N,3^2, CLN3^2 ,5/11/2023,70.88,72.54,73.47,70.65
CL,N,3^2, CLN3^2 ,5/10/2023,72.52,73.48,73.81,71.78
CL,N,3^2, CLN3^2 ,5/9/2023,73.62,72.72,73.69,71.28
CL,N,3^2, CLN3^2 ,5/8/2023,73.07,71.27,73.56,70.96
CL,N,3^2, CLN3^2 ,5/5/2023,71.27,68.63,71.72,68.46
CL,N,3^2, CLN3^2 ,5/4/2023,68.51,68.27,69.76,63.9
