commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
C,N,3^2, CN3^2 ,7/14/2023,599.75,609.75,614.75,604.75
C,N,3^2, CN3^2 ,7/13/2023,593.5,547.5,593.75,547.5
C,N,3^2, CN3^2 ,7/12/2023,549.75,573,574.5,547.25
C,N,3^2, CN3^2 ,7/11/2023,571.75,567.5,585.5,567.5
C,N,3^2, CN3^2 ,7/10/2023,570.75,561,572,561
C,N,3^2, CN3^2 ,7/7/2023,560.5,567,571.75,560
C,N,3^2, CN3^2 ,7/6/2023,566.75,547.25,569.25,547.25
C,N,3^2, CN3^2 ,7/5/2023,548.25,558,564.25,545.5
C,N,3^2, CN3^2 ,7/3/2023,557.25,558.5,568.25,553.25
C,N,3^2, CN3^2 ,6/30/2023,554.5,585,595,552
C,N,3^2, CN3^2 ,6/29/2023,581,591.75,603.5,574
C,N,3^2, CN3^2 ,6/28/2023,590,625,630.75,582
C,N,3^2, CN3^2 ,6/27/2023,623,643,644.5,622.25
C,N,3^2, CN3^2 ,6/26/2023,637.25,634.5,649.75,621
C,N,3^2, CN3^2 ,6/23/2023,630.75,655.75,657.5,629
C,N,3^2, CN3^2 ,6/22/2023,660.5,668.25,670.25,653
C,N,3^2, CN3^2 ,6/21/2023,671,650,672.5,647.25
C,N,3^2, CN3^2 ,6/20/2023,643.75,640.75,647,635.5
C,N,3^2, CN3^2 ,6/16/2023,640.25,623,641,622.25
C,N,3^2, CN3^2 ,6/15/2023,623.25,608,626.5,607.25
C,N,3^2, CN3^2 ,6/14/2023,607.75,610.25,618.75,601.5
C,N,3^2, CN3^2 ,6/13/2023,612.5,617,625,610.75
C,N,3^2, CN3^2 ,6/12/2023,617.25,609,623.75,608.75
C,N,3^2, CN3^2 ,6/9/2023,604.25,608.25,609,597.5
C,N,3^2, CN3^2 ,6/8/2023,610.25,600,613.25,595.25
C,N,3^2, CN3^2 ,6/7/2023,604.25,605,612.5,601.75
C,N,3^2, CN3^2 ,6/6/2023,608,599.75,610.75,599.75
C,N,3^2, CN3^2 ,6/5/2023,597.5,609,614,595
C,N,3^2, CN3^2 ,6/2/2023,609,592.5,610.5,581.25
C,N,3^2, CN3^2 ,6/1/2023,592.5,594,606,591.75
C,N,3^2, CN3^2 ,5/31/2023,594,594.25,594.75,577.5
C,N,3^2, CN3^2 ,5/30/2023,594,603.75,605,591.5
C,N,3^2, CN3^2 ,5/26/2023,604,590.25,606.75,588.25
C,N,3^2, CN3^2 ,5/25/2023,590.75,587.5,593,583.5
C,N,3^2, CN3^2 ,5/24/2023,587.25,577,589.75,574
C,N,3^2, CN3^2 ,5/23/2023,577.5,570.25,580.75,564
C,N,3^2, CN3^2 ,5/22/2023,571,554.75,575.5,553.25
C,N,3^2, CN3^2 ,5/19/2023,554.5,555,571.75,551.5
C,N,3^2, CN3^2 ,5/18/2023,555.25,561.25,561.75,547
C,N,3^2, CN3^2 ,5/17/2023,561.5,581.75,582.75,554.25
C,N,3^2, CN3^2 ,5/16/2023,581.25,592,593,578.25
C,N,3^2, CN3^2 ,5/15/2023,592.5,581.5,598.75,581.5
C,N,3^2, CN3^2 ,5/12/2023,586.25,581,593.75,572.75
C,N,3^2, CN3^2 ,5/11/2023,582.25,591,592.75,580.75
C,N,3^2, CN3^2 ,5/10/2023,594,585.25,596,579
C,N,3^2, CN3^2 ,5/9/2023,584.75,595,595,581
C,N,3^2, CN3^2 ,5/8/2023,596.5,596.5,600,593.75
C,N,3^2, CN3^2 ,5/5/2023,596.5,588.75,599.25,588.5
C,N,3^2, CN3^2 ,5/4/2023,589,588.5,592,579
C,N,3^2, CN3^2 ,5/3/2023,588.5,579,590.75,569.25
C,N,3^2, CN3^2 ,5/2/2023,580,584.5,590.5,578.25
C,N,3^2, CN3^2 ,5/1/2023,584.5,584.5,587.5,577.5
C,N,3^2, CN3^2 ,4/28/2023,585,581.25,587.75,572
C,N,3^2, CN3^2 ,4/27/2023,581.5,601.75,602.5,580.5
