commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
CT,N,3^2, CTN3^2 ,7/7/2023,81.20,#N/A,#N/A,#N/A
CT,N,3^2, CTN3^2 ,7/6/2023,82.88,#N/A,#N/A,#N/A
CT,N,3^2, CTN3^2 ,7/5/2023,82.45,84.00,84.00,84.00
CT,N,3^2, CTN3^2 ,7/3/2023,83.43,83.29,83.30,83.29
CT,N,3^2, CTN3^2 ,6/30/2023,82.84,#N/A,#N/A,#N/A
CT,N,3^2, CTN3^2 ,6/29/2023,81.25,#N/A,#N/A,#N/A
CT,N,3^2, CTN3^2 ,6/28/2023,80.12,#N/A,#N/A,#N/A
CT,N,3^2, CTN3^2 ,6/27/2023,77.64,79.56,79.63,79.56
CT,N,3^2, CTN3^2 ,6/26/2023,77.07,80.85,80.85,80.55
CT,N,3^2, CTN3^2 ,6/23/2023,78.06,79.60,79.71,76.91
CT,N,3^2, CTN3^2 ,6/22/2023,79.29,79.10,79.94,78.00
CT,N,3^2, CTN3^2 ,6/21/2023,79.31,80.66,80.92,79.20
CT,N,3^2, CTN3^2 ,6/20/2023,80.66,81.65,81.78,80.51
CT,N,3^2, CTN3^2 ,6/16/2023,81.46,80.53,81.98,80.53
CT,N,3^2, CTN3^2 ,6/15/2023,80.64,82.05,82.06,80.50
CT,N,3^2, CTN3^2 ,6/14/2023,81.79,82.72,82.90,81.70
CT,N,3^2, CTN3^2 ,6/13/2023,82.72,83.53,84.27,82.60
CT,N,3^2, CTN3^2 ,6/12/2023,83.49,84.10,84.10,83.08
CT,N,3^2, CTN3^2 ,6/9/2023,84.04,84.31,84.63,83.77
CT,N,3^2, CTN3^2 ,6/8/2023,84.31,85.00,86.96,84.11
CT,N,3^2, CTN3^2 ,6/7/2023,85.01,85.33,85.50,84.06
CT,N,3^2, CTN3^2 ,6/6/2023,85.34,84.69,85.71,84.48
CT,N,3^2, CTN3^2 ,6/5/2023,84.79,85.99,86.45,84.38
CT,N,3^2, CTN3^2 ,6/2/2023,86.05,86.42,87.16,85.50
CT,N,3^2, CTN3^2 ,6/1/2023,86.42,83.77,86.89,83.55
CT,N,3^2, CTN3^2 ,5/31/2023,83.48,84.49,84.49,82.56
CT,N,3^2, CTN3^2 ,5/30/2023,83.99,83.64,86.54,82.76
CT,N,3^2, CTN3^2 ,5/26/2023,83.35,80.11,83.74,80.11
CT,N,3^2, CTN3^2 ,5/25/2023,80.12,81.71,82.78,79.86
CT,N,3^2, CTN3^2 ,5/24/2023,81.72,84.35,84.40,81.40
CT,N,3^2, CTN3^2 ,5/23/2023,84.35,85.32,85.66,83.86
CT,N,3^2, CTN3^2 ,5/22/2023,85.32,86.72,87.25,84.61
CT,N,3^2, CTN3^2 ,5/19/2023,86.72,86.30,87.98,86.13
CT,N,3^2, CTN3^2 ,5/18/2023,86.66,86.50,87.16,85.62
CT,N,3^2, CTN3^2 ,5/17/2023,86.94,83.20,87.00,82.84
CT,N,3^2, CTN3^2 ,5/16/2023,83.38,82.35,83.97,81.50
CT,N,3^2, CTN3^2 ,5/15/2023,82.37,80.54,83.24,80.53
CT,N,3^2, CTN3^2 ,5/12/2023,80.53,79.60,81.76,79.60
CT,N,3^2, CTN3^2 ,5/11/2023,79.62,80.73,81.24,79.52
CT,N,3^2, CTN3^2 ,5/10/2023,80.76,80.96,81.60,80.20
CT,N,3^2, CTN3^2 ,5/9/2023,80.99,83.18,83.18,80.40
