commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
CT,Z,3^2, CTZ3^2 ,12/6/2023,78.75,#N/A,#N/A,#N/A
CT,Z,3^2, CTZ3^2 ,12/5/2023,78.68,#N/A,#N/A,#N/A
CT,Z,3^2, CTZ3^2 ,12/4/2023,77.68,78.42,78.42,78.25
CT,Z,3^2, CTZ3^2 ,12/1/2023,78.42,76.00,79.48,76.00
CT,Z,3^2, CTZ3^2 ,11/30/2023,79.40,79.77,79.77,79.07
CT,Z,3^2, CTZ3^2 ,11/29/2023,78.59,78.82,78.82,78.82
CT,Z,3^2, CTZ3^2 ,11/28/2023,78.60,78.79,78.79,78.79
CT,Z,3^2, CTZ3^2 ,11/27/2023,78.59,80.42,80.42,80.42
CT,Z,3^2, CTZ3^2 ,11/24/2023,80.39,79.58,80.68,78.27
CT,Z,3^2, CTZ3^2 ,11/22/2023,79.58,77.60,79.75,77.55
CT,Z,3^2, CTZ3^2 ,11/21/2023,77.34,77.75,77.75,76.68
CT,Z,3^2, CTZ3^2 ,11/20/2023,77.97,78.60,79.12,77.02
CT,Z,3^2, CTZ3^2 ,11/17/2023,78.92,78.62,79.41,78.23
CT,Z,3^2, CTZ3^2 ,11/16/2023,78.68,78.23,79.49,77.91
CT,Z,3^2, CTZ3^2 ,11/15/2023,78.41,78.54,79.19,78.04
CT,Z,3^2, CTZ3^2 ,11/14/2023,78.68,77.48,79.88,77.31
CT,Z,3^2, CTZ3^2 ,11/13/2023,77.48,77.30,78.00,76.82
CT,Z,3^2, CTZ3^2 ,11/10/2023,77.32,76.28,77.75,75.53
CT,Z,3^2, CTZ3^2 ,11/9/2023,76.52,75.00,77.29,74.90
CT,Z,3^2, CTZ3^2 ,11/8/2023,74.89,76.50,76.92,74.77
CT,Z,3^2, CTZ3^2 ,11/7/2023,76.48,77.95,78.16,76.25
CT,Z,3^2, CTZ3^2 ,11/6/2023,78.00,79.42,79.97,77.86
CT,Z,3^2, CTZ3^2 ,11/3/2023,79.62,79.80,80.50,79.20
CT,Z,3^2, CTZ3^2 ,11/2/2023,79.80,79.55,80.82,79.48
CT,Z,3^2, CTZ3^2 ,11/1/2023,79.44,81.38,81.38,79.30
CT,Z,3^2, CTZ3^2 ,10/31/2023,81.22,82.95,83.10,81.15
CT,Z,3^2, CTZ3^2 ,10/30/2023,82.91,84.38,85.25,82.79
CT,Z,3^2, CTZ3^2 ,10/27/2023,84.38,84.78,85.44,83.83
CT,Z,3^2, CTZ3^2 ,10/26/2023,84.59,83.76,85.20,83.51
CT,Z,3^2, CTZ3^2 ,10/25/2023,83.81,82.78,84.16,82.73
CT,Z,3^2, CTZ3^2 ,10/24/2023,82.93,83.73,84.44,82.57
CT,Z,3^2, CTZ3^2 ,10/23/2023,83.73,82.29,84.90,81.68
CT,Z,3^2, CTZ3^2 ,10/20/2023,82.40,84.11,84.13,81.51
CT,Z,3^2, CTZ3^2 ,10/19/2023,84.27,84.18,84.39,82.41
CT,Z,3^2, CTZ3^2 ,10/18/2023,84.24,83.31,84.50,82.01
CT,Z,3^2, CTZ3^2 ,10/17/2023,83.23,85.15,85.15,82.97
CT,Z,3^2, CTZ3^2 ,10/16/2023,85.15,86.20,86.23,84.58
CT,Z,3^2, CTZ3^2 ,10/13/2023,86.06,85.10,86.49,84.73
CT,Z,3^2, CTZ3^2 ,10/12/2023,84.92,85.01,85.70,84.14
CT,Z,3^2, CTZ3^2 ,10/11/2023,85.05,85.50,86.15,84.38
CT,Z,3^2, CTZ3^2 ,10/10/2023,85.45,87.10,87.37,85.36
CT,Z,3^2, CTZ3^2 ,10/9/2023,86.96,87.31,88.76,86.78
CT,Z,3^2, CTZ3^2 ,10/6/2023,87.14,86.60,87.50,86.55
CT,Z,3^2, CTZ3^2 ,10/5/2023,86.54,87.01,88.06,86.45
CT,Z,3^2, CTZ3^2 ,10/4/2023,87.01,87.74,87.93,86.64
CT,Z,3^2, CTZ3^2 ,10/3/2023,87.43,87.75,87.84,87.04
CT,Z,3^2, CTZ3^2 ,10/2/2023,87.75,87.30,87.96,86.70
CT,Z,3^2, CTZ3^2 ,9/29/2023,87.15,88.83,89.29,87.02
CT,Z,3^2, CTZ3^2 ,9/28/2023,88.71,88.64,89.89,88.46
