commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
C,Z,3^2, CZ3^2 ,12/14/2023,456.75,459,460,456.75
C,Z,3^2, CZ3^2 ,12/13/2023,456.75,462.5,462.5,455
C,Z,3^2, CZ3^2 ,12/12/2023,462.5,459.25,467,459.25
C,Z,3^2, CZ3^2 ,12/11/2023,460.5,465.5,466.25,461
C,Z,3^2, CZ3^2 ,12/8/2023,465.75,468,472,466.25
C,Z,3^2, CZ3^2 ,12/7/2023,468.25,465,469.25,465
C,Z,3^2, CZ3^2 ,12/6/2023,464.75,467.75,473,463.75
C,Z,3^2, CZ3^2 ,12/5/2023,468.5,460.25,468.5,460.25
C,Z,3^2, CZ3^2 ,12/4/2023,460.25,461.25,463.75,457
C,Z,3^2, CZ3^2 ,12/1/2023,464.5,460.25,469.5,458.25
C,Z,3^2, CZ3^2 ,11/30/2023,461.75,449.75,462.75,449.75
C,Z,3^2, CZ3^2 ,11/29/2023,449.75,451,453.5,447
C,Z,3^2, CZ3^2 ,11/28/2023,451.5,455.5,456.75,450.25
C,Z,3^2, CZ3^2 ,11/27/2023,455.5,464.25,465.75,453.75
C,Z,3^2, CZ3^2 ,11/24/2023,463.25,468,470.5,462.5
C,Z,3^2, CZ3^2 ,11/22/2023,468.75,468.75,473.75,467.75
C,Z,3^2, CZ3^2 ,11/21/2023,470,469.25,475,468
C,Z,3^2, CZ3^2 ,11/20/2023,469.5,467,470.25,464.5
C,Z,3^2, CZ3^2 ,11/17/2023,467,474.5,475,466.75
C,Z,3^2, CZ3^2 ,11/16/2023,474.75,471,476.25,465.25
C,Z,3^2, CZ3^2 ,11/15/2023,470.75,477.75,480.5,467.25
C,Z,3^2, CZ3^2 ,11/14/2023,478.25,477,480,473
C,Z,3^2, CZ3^2 ,11/13/2023,477.25,463.25,477.75,461
C,Z,3^2, CZ3^2 ,11/10/2023,464,468,469,461.75
C,Z,3^2, CZ3^2 ,11/9/2023,468,475,476,466.5
C,Z,3^2, CZ3^2 ,11/8/2023,476,469,480.5,468.5
C,Z,3^2, CZ3^2 ,11/7/2023,468.5,477,477.5,468
C,Z,3^2, CZ3^2 ,11/6/2023,477.25,477.25,480.75,476.75
C,Z,3^2, CZ3^2 ,11/3/2023,477.25,470,481.25,468
C,Z,3^2, CZ3^2 ,11/2/2023,470,475,477,469.5
C,Z,3^2, CZ3^2 ,11/1/2023,475,478.75,480,472.5
C,Z,3^2, CZ3^2 ,10/31/2023,478.75,478.25,483,477.5
C,Z,3^2, CZ3^2 ,10/30/2023,478.25,480,484.25,477.5
C,Z,3^2, CZ3^2 ,10/27/2023,480.75,479.25,484,478.25
C,Z,3^2, CZ3^2 ,10/26/2023,479.25,480,484.25,477.5
C,Z,3^2, CZ3^2 ,10/25/2023,480,483.5,486,476.75
C,Z,3^2, CZ3^2 ,10/24/2023,484,490.75,491.5,482.75
C,Z,3^2, CZ3^2 ,10/23/2023,490.25,494.25,497,490.25
C,Z,3^2, CZ3^2 ,10/20/2023,495.5,504,509.5,495
C,Z,3^2, CZ3^2 ,10/19/2023,505,492,505.5,490.25
C,Z,3^2, CZ3^2 ,10/18/2023,492,488.5,494,488.5
C,Z,3^2, CZ3^2 ,10/17/2023,489,490,492.75,487.75
C,Z,3^2, CZ3^2 ,10/16/2023,490,493.5,496.75,489.5
