commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
DX,Z,3^2, DXZ3^2 ,12/18/2023,102.54,102.55,102.55,102.55
DX,Z,3^2, DXZ3^2 ,12/15/2023,102.55,102.04,102.65,101.85
DX,Z,3^2, DXZ3^2 ,12/14/2023,101.94,102.74,102.79,101.77
DX,Z,3^2, DXZ3^2 ,12/13/2023,102.85,103.79,104.01,102.74
DX,Z,3^2, DXZ3^2 ,12/12/2023,103.84,104.01,104.08,103.45
DX,Z,3^2, DXZ3^2 ,12/11/2023,104.06,103.97,104.24,103.91
DX,Z,3^2, DXZ3^2 ,12/8/2023,103.98,103.50,104.27,103.41
DX,Z,3^2, DXZ3^2 ,12/7/2023,103.50,104.11,104.17,103.22
DX,Z,3^2, DXZ3^2 ,12/6/2023,104.11,103.90,104.19,103.83
DX,Z,3^2, DXZ3^2 ,12/5/2023,104.00,103.53,104.04,103.50
DX,Z,3^2, DXZ3^2 ,12/4/2023,103.65,103.12,103.80,102.98
DX,Z,3^2, DXZ3^2 ,12/1/2023,103.20,103.29,103.67,103.05
DX,Z,3^2, DXZ3^2 ,11/30/2023,103.43,102.66,103.52,102.65
DX,Z,3^2, DXZ3^2 ,11/29/2023,102.68,102.50,102.93,102.38
DX,Z,3^2, DXZ3^2 ,11/28/2023,102.65,103.05,103.23,102.52
DX,Z,3^2, DXZ3^2 ,11/27/2023,103.11,103.32,103.44,103.06
DX,Z,3^2, DXZ3^2 ,11/24/2023,103.30,103.63,103.75,103.26
DX,Z,3^2, DXZ3^2 ,11/23/2023,103.83,103.74,103.78,103.43
DX,Z,3^2, DXZ3^2 ,11/22/2023,103.83,103.44,104.12,103.38
DX,Z,3^2, DXZ3^2 ,11/21/2023,103.45,103.31,103.60,103.07
DX,Z,3^2, DXZ3^2 ,11/20/2023,103.32,103.71,103.86,103.26
DX,Z,3^2, DXZ3^2 ,11/17/2023,103.80,104.25,104.43,103.68
DX,Z,3^2, DXZ3^2 ,11/16/2023,104.23,104.23,104.44,103.88
DX,Z,3^2, DXZ3^2 ,11/15/2023,104.27,104.05,104.37,103.81
