commodity,contract_month,contract_year,code,trading_date,close,open,high,low
GC,Z,3^2, GCZ3^2 ,12/27/2023,2081.90,2067.30,2067.30,2064.80
GC,Z,3^2, GCZ3^2 ,12/26/2023,2058.20,2060.00,2060.80,2054.20
GC,Z,3^2, GCZ3^2 ,12/22/2023,2057.10,2055.70,2068.70,2052.20
GC,Z,3^2, GCZ3^2 ,12/21/2023,2039.10,2035.80,2044.50,2033.00
GC,Z,3^2, GCZ3^2 ,12/20/2023,2034.50,2037.10,2037.10,2030.30
GC,Z,3^2, GCZ3^2 ,12/19/2023,2038.40,2025.20,2042.70,2025.20
GC,Z,3^2, GCZ3^2 ,12/18/2023,2026.30,2024.30,2032.80,2024.00
GC,Z,3^2, GCZ3^2 ,12/15/2023,2021.10,2032.60,2043.40,2018.30
GC,Z,3^2, GCZ3^2 ,12/14/2023,2030.20,2024.70,2040.10,2024.30
GC,Z,3^2, GCZ3^2 ,12/13/2023,1982.30,1978.50,2024.80,1975.00
GC,Z,3^2, GCZ3^2 ,12/12/2023,1977.80,1984.20,1994.20,1980.00
GC,Z,3^2, GCZ3^2 ,12/11/2023,1978.00,2004.10,2004.20,1977.20
GC,Z,3^2, GCZ3^2 ,12/8/2023,1998.30,2031.70,2033.10,1995.00
GC,Z,3^2, GCZ3^2 ,12/7/2023,2029.90,2029.20,2034.90,2024.00
GC,Z,3^2, GCZ3^2 ,12/6/2023,2030.50,2019.90,2035.80,2019.00
GC,Z,3^2, GCZ3^2 ,12/5/2023,2018.50,2035.10,2037.00,2010.20
GC,Z,3^2, GCZ3^2 ,12/4/2023,2024.10,2075.30,2130.20,2021.00
GC,Z,3^2, GCZ3^2 ,12/1/2023,2071.00,2038.30,2073.20,2036.00
GC,Z,3^2, GCZ3^2 ,11/30/2023,2038.10,2046.10,2047.10,2033.10
GC,Z,3^2, GCZ3^2 ,11/29/2023,2047.10,2041.70,2052.10,2036.00
GC,Z,3^2, GCZ3^2 ,11/28/2023,2040.00,2014.30,2044.10,2011.50
GC,Z,3^2, GCZ3^2 ,11/27/2023,2012.40,2002.50,2018.90,2001.40
GC,Z,3^2, GCZ3^2 ,11/24/2023,2003.00,1991.20,2004.50,1990.90
GC,Z,3^2, GCZ3^2 ,11/22/2023,1992.80,2000.30,2008.30,1988.60
GC,Z,3^2, GCZ3^2 ,11/21/2023,2001.60,1980.00,2009.80,1979.90
