commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
HG,Z,3^2, HGZ3^2 ,12/27/2023,3.94,3.92,3.92,3.92
HG,Z,3^2, HGZ3^2 ,12/26/2023,3.90,3.92,3.93,3.89
HG,Z,3^2, HGZ3^2 ,12/22/2023,3.90,3.91,3.92,3.89
HG,Z,3^2, HGZ3^2 ,12/21/2023,3.91,3.91,3.92,3.91
HG,Z,3^2, HGZ3^2 ,12/20/2023,3.90,3.90,3.93,3.87
HG,Z,3^2, HGZ3^2 ,12/19/2023,3.90,3.90,3.92,3.90
HG,Z,3^2, HGZ3^2 ,12/18/2023,3.85,#N/A,#N/A,#N/A
HG,Z,3^2, HGZ3^2 ,12/15/2023,3.89,3.87,3.89,3.86
HG,Z,3^2, HGZ3^2 ,12/14/2023,3.89,3.89,3.90,3.87
HG,Z,3^2, HGZ3^2 ,12/13/2023,3.79,3.79,3.83,3.76
HG,Z,3^2, HGZ3^2 ,12/12/2023,3.79,3.78,3.80,3.77
HG,Z,3^2, HGZ3^2 ,12/11/2023,3.78,3.78,3.79,3.77
HG,Z,3^2, HGZ3^2 ,12/8/2023,3.82,3.79,3.85,3.79
HG,Z,3^2, HGZ3^2 ,12/7/2023,3.78,3.72,3.79,3.72
HG,Z,3^2, HGZ3^2 ,12/6/2023,3.72,3.77,3.81,3.71
HG,Z,3^2, HGZ3^2 ,12/5/2023,3.77,3.81,3.82,3.76
HG,Z,3^2, HGZ3^2 ,12/4/2023,3.82,3.90,3.90,3.81
HG,Z,3^2, HGZ3^2 ,12/1/2023,3.91,3.84,3.91,3.83
HG,Z,3^2, HGZ3^2 ,11/30/2023,3.83,3.80,3.84,3.78
HG,Z,3^2, HGZ3^2 ,11/29/2023,3.79,3.81,3.82,3.77
HG,Z,3^2, HGZ3^2 ,11/28/2023,3.80,3.76,3.82,3.74
HG,Z,3^2, HGZ3^2 ,11/27/2023,3.76,3.79,3.80,3.75
HG,Z,3^2, HGZ3^2 ,11/24/2023,3.79,3.77,3.80,3.75
HG,Z,3^2, HGZ3^2 ,11/22/2023,3.76,3.81,3.81,3.74
HG,Z,3^2, HGZ3^2 ,11/21/2023,3.81,3.81,3.83,3.79
HG,Z,3^2, HGZ3^2 ,11/20/2023,3.81,3.73,3.82,3.73
HG,Z,3^2, HGZ3^2 ,11/17/2023,3.74,3.70,3.74,3.68
HG,Z,3^2, HGZ3^2 ,11/16/2023,3.70,3.71,3.74,3.68
HG,Z,3^2, HGZ3^2 ,11/15/2023,3.72,3.68,3.73,3.67
HG,Z,3^2, HGZ3^2 ,11/14/2023,3.68,3.67,3.72,3.65
HG,Z,3^2, HGZ3^2 ,11/13/2023,3.67,3.60,3.67,3.58
HG,Z,3^2, HGZ3^2 ,11/10/2023,3.59,3.63,3.64,3.58
HG,Z,3^2, HGZ3^2 ,11/9/2023,3.64,3.64,3.66,3.61
HG,Z,3^2, HGZ3^2 ,11/8/2023,3.64,3.69,3.70,3.63
HG,Z,3^2, HGZ3^2 ,11/7/2023,3.68,3.71,3.71,3.65
HG,Z,3^2, HGZ3^2 ,11/6/2023,3.72,3.68,3.73,3.67
HG,Z,3^2, HGZ3^2 ,11/3/2023,3.68,3.69,3.71,3.65
HG,Z,3^2, HGZ3^2 ,11/2/2023,3.67,3.66,3.69,3.66
HG,Z,3^2, HGZ3^2 ,11/1/2023,3.65,3.65,3.69,3.63
HG,Z,3^2, HGZ3^2 ,10/31/2023,3.65,3.66,3.67,3.63
HG,Z,3^2, HGZ3^2 ,10/30/2023,3.66,3.64,3.71,3.64
HG,Z,3^2, HGZ3^2 ,10/27/2023,3.65,3.59,3.66,3.58
HG,Z,3^2, HGZ3^2 ,10/26/2023,3.58,3.59,3.62,3.57
HG,Z,3^2, HGZ3^2 ,10/25/2023,3.59,3.63,3.65,3.58
HG,Z,3^2, HGZ3^2 ,10/24/2023,3.62,3.58,3.64,3.56
HG,Z,3^2, HGZ3^2 ,10/23/2023,3.59,3.56,3.59,3.52
HG,Z,3^2, HGZ3^2 ,10/20/2023,3.56,3.59,3.59,3.55
HG,Z,3^2, HGZ3^2 ,10/19/2023,3.60,3.58,3.61,3.57
HG,Z,3^2, HGZ3^2 ,10/18/2023,3.59,3.59,3.63,3.58
HG,Z,3^2, HGZ3^2 ,10/17/2023,3.58,3.58,3.59,3.53
HG,Z,3^2, HGZ3^2 ,10/16/2023,3.58,3.57,3.61,3.56
HG,Z,3^2, HGZ3^2 ,10/13/2023,3.57,3.59,3.62,3.56
HG,Z,3^2, HGZ3^2 ,10/12/2023,3.59,3.61,3.65,3.57
HG,Z,3^2, HGZ3^2 ,10/11/2023,3.61,3.63,3.66,3.60
HG,Z,3^2, HGZ3^2 ,10/10/2023,3.63,3.66,3.67,3.59
HG,Z,3^2, HGZ3^2 ,10/9/2023,3.65,3.63,3.67,3.61
HG,Z,3^2, HGZ3^2 ,10/6/2023,3.63,3.57,3.65,3.55
HG,Z,3^2, HGZ3^2 ,10/5/2023,3.55,3.58,3.60,3.55
HG,Z,3^2, HGZ3^2 ,10/4/2023,3.59,3.62,3.62,3.55
HG,Z,3^2, HGZ3^2 ,10/3/2023,3.62,3.65,3.65,3.58
HG,Z,3^2, HGZ3^2 ,10/2/2023,3.64,3.75,3.76,3.63
HG,Z,3^2, HGZ3^2 ,9/29/2023,3.74,3.71,3.79,3.71
HG,Z,3^2, HGZ3^2 ,9/28/2023,3.71,3.65,3.72,3.63
HG,Z,3^2, HGZ3^2 ,9/27/2023,3.64,3.65,3.65,3.62
HG,Z,3^2, HGZ3^2 ,9/26/2023,3.65,3.67,3.68,3.63
HG,Z,3^2, HGZ3^2 ,9/25/2023,3.67,3.70,3.71,3.65
HG,Z,3^2, HGZ3^2 ,9/22/2023,3.70,3.69,3.74,3.69
HG,Z,3^2, HGZ3^2 ,9/21/2023,3.70,3.74,3.75,3.63
HG,Z,3^2, HGZ3^2 ,9/20/2023,3.78,3.75,3.79,3.74
HG,Z,3^2, HGZ3^2 ,9/19/2023,3.75,3.78,3.78,3.73
