commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
JY,Z,3^2, JYZ3^2 ,12/18/2023,0.006994,0.007032,0.007038,0.006991
JY,Z,3^2, JYZ3^2 ,12/15/2023,0.007034,0.007050,0.007072,0.007021
JY,Z,3^2, JYZ3^2 ,12/14/2023,0.007049,0.007016,0.007097,0.006999
JY,Z,3^2, JYZ3^2 ,12/13/2023,0.006992,0.006883,0.007017,0.006855
JY,Z,3^2, JYZ3^2 ,12/12/2023,0.006875,0.006849,0.006917,0.006848
JY,Z,3^2, JYZ3^2 ,12/11/2023,0.006850,0.006904,0.006914,0.006830
JY,Z,3^2, JYZ3^2 ,12/8/2023,0.006907,0.006946,0.007026,0.006895
JY,Z,3^2, JYZ3^2 ,12/7/2023,0.006981,0.006802,0.007073,0.006798
JY,Z,3^2, JYZ3^2 ,12/6/2023,0.006799,0.006810,0.006821,0.006792
JY,Z,3^2, JYZ3^2 ,12/5/2023,0.006805,0.006810,0.006837,0.006798
JY,Z,3^2, JYZ3^2 ,12/4/2023,0.006804,0.006832,0.006854,0.006797
JY,Z,3^2, JYZ3^2 ,12/1/2023,0.006826,0.006764,0.006835,0.006757
JY,Z,3^2, JYZ3^2 ,11/30/2023,0.006764,0.006815,0.006827,0.006749
JY,Z,3^2, JYZ3^2 ,11/29/2023,0.006812,0.006805,0.006839,0.006781
JY,Z,3^2, JYZ3^2 ,11/28/2023,0.006805,0.006748,0.006809,0.006740
JY,Z,3^2, JYZ3^2 ,11/27/2023,0.006751,0.006711,0.006754,0.006703
JY,Z,3^2, JYZ3^2 ,11/24/2023,0.006711,0.006711,0.006741,0.006702
JY,Z,3^2, JYZ3^2 ,11/22/2023,0.006709,0.006769,0.006781,0.006702
JY,Z,3^2, JYZ3^2 ,11/21/2023,0.006770,0.006770,0.006824,0.006757
JY,Z,3^2, JYZ3^2 ,11/20/2023,0.006772,0.006713,0.006782,0.006697
JY,Z,3^2, JYZ3^2 ,11/17/2023,0.006713,0.006667,0.006733,0.006663
JY,Z,3^2, JYZ3^2 ,11/16/2023,0.006671,0.006641,0.006685,0.006634
JY,Z,3^2, JYZ3^2 ,11/15/2023,0.006640,0.006682,0.006699,0.006638
JY,Z,3^2, JYZ3^2 ,11/14/2023,0.006687,0.006629,0.006696,0.006611
JY,Z,3^2, JYZ3^2 ,11/13/2023,0.006633,0.006639,0.006650,0.006619
JY,Z,3^2, JYZ3^2 ,11/10/2023,0.006634,0.006646,0.006650,0.006633
JY,Z,3^2, JYZ3^2 ,11/9/2023,0.006647,0.006666,0.006671,0.006644
JY,Z,3^2, JYZ3^2 ,11/8/2023,0.006662,0.006693,0.006693,0.006662
JY,Z,3^2, JYZ3^2 ,11/7/2023,0.006690,0.006710,0.006713,0.006679
JY,Z,3^2, JYZ3^2 ,11/6/2023,0.006712,0.006741,0.006741,0.006707
JY,Z,3^2, JYZ3^2 ,11/3/2023,0.006743,0.006694,0.006748,0.006689
JY,Z,3^2, JYZ3^2 ,11/2/2023,0.006694,0.006672,0.006719,0.006671
JY,Z,3^2, JYZ3^2 ,11/1/2023,0.006669,0.006642,0.006684,0.006640
JY,Z,3^2, JYZ3^2 ,10/31/2023,0.006647,0.006762,0.006762,0.006640
JY,Z,3^2, JYZ3^2 ,10/30/2023,0.006765,0.006736,0.006774,0.006725
JY,Z,3^2, JYZ3^2 ,10/27/2023,0.006742,0.006703,0.006745,0.006702
JY,Z,3^2, JYZ3^2 ,10/26/2023,0.006705,0.006715,0.006730,0.006686
JY,Z,3^2, JYZ3^2 ,10/25/2023,0.006723,0.006731,0.006733,0.006710
JY,Z,3^2, JYZ3^2 ,10/24/2023,0.006729,0.006740,0.006756,0.006716
JY,Z,3^2, JYZ3^2 ,10/23/2023,0.006746,0.006735,0.006747,0.006725
JY,Z,3^2, JYZ3^2 ,10/20/2023,0.006734,0.006736,0.006744,0.006727
JY,Z,3^2, JYZ3^2 ,10/19/2023,0.006735,0.006738,0.006743,0.006726
JY,Z,3^2, JYZ3^2 ,10/18/2023,0.006736,0.006742,0.006755,0.006734
JY,Z,3^2, JYZ3^2 ,10/17/2023,0.006742,0.006754,0.006797,0.006736
JY,Z,3^2, JYZ3^2 ,10/16/2023,0.006756,0.006757,0.006763,0.006745
JY,Z,3^2, JYZ3^2 ,10/13/2023,0.006758,0.006745,0.006760,0.006743
JY,Z,3^2, JYZ3^2 ,10/12/2023,0.006744,0.006777,0.006784,0.006743
JY,Z,3^2, JYZ3^2 ,10/11/2023,0.006773,0.006800,0.006811,0.006770
JY,Z,3^2, JYZ3^2 ,10/10/2023,0.006798,0.006809,0.006825,0.006781
JY,Z,3^2, JYZ3^2 ,10/9/2023,0.006812,0.006784,0.006813,0.006776
JY,Z,3^2, JYZ3^2 ,10/6/2023,0.006771,0.006811,0.006817,0.006762
JY,Z,3^2, JYZ3^2 ,10/5/2023,0.006816,0.006788,0.006822,0.006783
JY,Z,3^2, JYZ3^2 ,10/4/2023,0.006791,0.006791,0.006805,0.006778
JY,Z,3^2, JYZ3^2 ,10/3/2023,0.006800,0.006755,0.006874,0.006739
JY,Z,3^2, JYZ3^2 ,10/2/2023,0.006761,0.006773,0.006776,0.006748
