commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
KC,N,3^2, KCN3^2 ,7/19/2023,152.45,152.35,152.40,152.30
KC,N,3^2, KCN3^2 ,7/18/2023,155.25,#N/A,#N/A,#N/A
KC,N,3^2, KCN3^2 ,7/17/2023,154.75,158.05,158.05,155.50
KC,N,3^2, KCN3^2 ,7/14/2023,161.95,162.45,162.45,161.75
KC,N,3^2, KCN3^2 ,7/13/2023,159.35,160.70,160.70,160.70
KC,N,3^2, KCN3^2 ,7/12/2023,158.75,#N/A,#N/A,#N/A
KC,N,3^2, KCN3^2 ,7/11/2023,159.30,159.15,159.50,158.00
KC,N,3^2, KCN3^2 ,7/10/2023,161.75,163.55,163.65,163.55
KC,N,3^2, KCN3^2 ,7/7/2023,162.80,165.00,165.00,165.00
KC,N,3^2, KCN3^2 ,7/6/2023,162.35,159.95,165.30,159.25
KC,N,3^2, KCN3^2 ,7/5/2023,161.05,162.25,162.25,162.25
KC,N,3^2, KCN3^2 ,7/3/2023,162.50,165.20,165.20,165.20
KC,N,3^2, KCN3^2 ,6/30/2023,161.00,165.90,165.90,165.75
KC,N,3^2, KCN3^2 ,6/29/2023,163.60,165.00,165.55,162.10
KC,N,3^2, KCN3^2 ,6/28/2023,165.65,170.45,170.80,165.00
KC,N,3^2, KCN3^2 ,6/27/2023,169.45,168.35,169.35,165.55
KC,N,3^2, KCN3^2 ,6/26/2023,167.95,168.00,169.15,166.50
KC,N,3^2, KCN3^2 ,6/23/2023,168.05,167.90,168.90,166.50
KC,N,3^2, KCN3^2 ,6/22/2023,171.70,173.70,173.95,169.60
KC,N,3^2, KCN3^2 ,6/21/2023,172.00,178.90,178.95,168.95
KC,N,3^2, KCN3^2 ,6/20/2023,177.45,185.10,185.75,176.40
KC,N,3^2, KCN3^2 ,6/16/2023,184.90,187.70,188.30,184.30
KC,N,3^2, KCN3^2 ,6/15/2023,187.00,184.75,188.05,184.70
KC,N,3^2, KCN3^2 ,6/14/2023,184.40,182.55,184.75,181.25
KC,N,3^2, KCN3^2 ,6/13/2023,182.75,185.70,186.75,181.90
KC,N,3^2, KCN3^2 ,6/12/2023,185.55,190.25,192.40,185.05
KC,N,3^2, KCN3^2 ,6/9/2023,190.65,196.60,196.60,188.80
KC,N,3^2, KCN3^2 ,6/8/2023,194.85,186.20,196.15,184.60
KC,N,3^2, KCN3^2 ,6/7/2023,185.40,183.60,186.60,182.65
KC,N,3^2, KCN3^2 ,6/6/2023,182.60,183.10,184.90,181.55
KC,N,3^2, KCN3^2 ,6/5/2023,183.10,179.95,183.70,179.35
KC,N,3^2, KCN3^2 ,6/2/2023,180.30,183.30,187.80,179.05
KC,N,3^2, KCN3^2 ,6/1/2023,183.05,179.65,184.70,179.50
KC,N,3^2, KCN3^2 ,5/31/2023,178.65,177.15,179.80,175.55
KC,N,3^2, KCN3^2 ,5/30/2023,177.10,180.05,181.75,175.90
KC,N,3^2, KCN3^2 ,5/26/2023,181.60,182.80,184.80,180.30
KC,N,3^2, KCN3^2 ,5/25/2023,182.70,188.20,188.40,181.65
KC,N,3^2, KCN3^2 ,5/24/2023,188.00,188.05,189.40,186.60
KC,N,3^2, KCN3^2 ,5/23/2023,187.45,189.25,190.30,185.70
KC,N,3^2, KCN3^2 ,5/22/2023,189.20,191.00,193.75,186.55
