commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
KC,Z,3^2, KCZ3^2 ,12/18/2023,209.55,#N/A,#N/A,#N/A
KC,Z,3^2, KCZ3^2 ,12/15/2023,201.80,202.25,202.85,201.30
KC,Z,3^2, KCZ3^2 ,12/14/2023,200.10,197.40,202.75,197.40
KC,Z,3^2, KCZ3^2 ,12/13/2023,194.65,197.25,197.45,197.25
KC,Z,3^2, KCZ3^2 ,12/12/2023,191.15,188.20,191.30,188.20
KC,Z,3^2, KCZ3^2 ,12/11/2023,194.00,193.75,193.75,193.75
KC,Z,3^2, KCZ3^2 ,12/8/2023,185.15,187.25,187.25,187.25
KC,Z,3^2, KCZ3^2 ,12/7/2023,185.50,189.20,190.60,187.35
KC,Z,3^2, KCZ3^2 ,12/6/2023,185.25,192.45,192.45,185.85
KC,Z,3^2, KCZ3^2 ,12/5/2023,193.85,188.50,190.30,188.50
KC,Z,3^2, KCZ3^2 ,12/4/2023,188.90,189.55,189.55,186.85
KC,Z,3^2, KCZ3^2 ,12/1/2023,193.90,#N/A,#N/A,#N/A
KC,Z,3^2, KCZ3^2 ,11/30/2023,195.00,182.35,195.70,182.35
KC,Z,3^2, KCZ3^2 ,11/29/2023,182.10,184.00,184.00,180.55
KC,Z,3^2, KCZ3^2 ,11/28/2023,183.65,183.35,183.35,183.30
KC,Z,3^2, KCZ3^2 ,11/27/2023,179.70,176.80,182.90,176.80
KC,Z,3^2, KCZ3^2 ,11/24/2023,178.65,177.35,181.00,177.35
KC,Z,3^2, KCZ3^2 ,11/22/2023,178.65,176.45,179.20,174.50
KC,Z,3^2, KCZ3^2 ,11/21/2023,176.55,176.65,177.90,175.05
KC,Z,3^2, KCZ3^2 ,11/20/2023,177.90,171.65,179.60,170.00
KC,Z,3^2, KCZ3^2 ,11/17/2023,170.95,175.85,176.85,170.45
KC,Z,3^2, KCZ3^2 ,11/16/2023,176.10,181.50,182.20,175.70
KC,Z,3^2, KCZ3^2 ,11/15/2023,180.80,177.00,181.90,175.00
KC,Z,3^2, KCZ3^2 ,11/14/2023,176.45,178.85,179.15,175.85
KC,Z,3^2, KCZ3^2 ,11/13/2023,178.65,172.60,179.45,171.30
KC,Z,3^2, KCZ3^2 ,11/10/2023,174.50,178.00,178.75,172.95
KC,Z,3^2, KCZ3^2 ,11/9/2023,178.80,176.10,179.00,175.50
KC,Z,3^2, KCZ3^2 ,11/8/2023,174.35,170.85,176.00,170.85
KC,Z,3^2, KCZ3^2 ,11/7/2023,170.75,173.40,173.65,169.15
KC,Z,3^2, KCZ3^2 ,11/6/2023,173.70,170.25,174.10,168.45
KC,Z,3^2, KCZ3^2 ,11/3/2023,170.90,166.50,171.35,166.10
KC,Z,3^2, KCZ3^2 ,11/2/2023,165.35,160.70,166.80,160.00
KC,Z,3^2, KCZ3^2 ,11/1/2023,159.80,166.00,167.15,158.75
KC,Z,3^2, KCZ3^2 ,10/31/2023,167.30,159.05,167.55,158.80
KC,Z,3^2, KCZ3^2 ,10/30/2023,159.10,160.05,161.15,158.60
KC,Z,3^2, KCZ3^2 ,10/27/2023,160.95,161.20,163.25,160.20
KC,Z,3^2, KCZ3^2 ,10/26/2023,161.20,161.55,163.60,160.30
KC,Z,3^2, KCZ3^2 ,10/25/2023,162.30,167.75,169.05,160.95
KC,Z,3^2, KCZ3^2 ,10/24/2023,168.15,165.60,168.85,165.05
KC,Z,3^2, KCZ3^2 ,10/23/2023,165.85,163.25,167.00,163.25
KC,Z,3^2, KCZ3^2 ,10/20/2023,165.25,163.40,166.80,162.25
KC,Z,3^2, KCZ3^2 ,10/19/2023,163.95,158.15,164.40,158.15
KC,Z,3^2, KCZ3^2 ,10/18/2023,158.05,157.15,159.50,156.65
KC,Z,3^2, KCZ3^2 ,10/17/2023,157.05,154.00,157.95,152.45
KC,Z,3^2, KCZ3^2 ,10/16/2023,154.15,154.90,156.15,152.10
KC,Z,3^2, KCZ3^2 ,10/13/2023,154.90,149.30,155.65,149.20
KC,Z,3^2, KCZ3^2 ,10/12/2023,149.30,147.85,149.90,147.05
KC,Z,3^2, KCZ3^2 ,10/11/2023,147.70,147.65,149.40,146.10
KC,Z,3^2, KCZ3^2 ,10/10/2023,147.50,145.70,148.40,143.70
KC,Z,3^2, KCZ3^2 ,10/9/2023,146.05,146.05,147.90,144.80
KC,Z,3^2, KCZ3^2 ,10/6/2023,146.05,145.40,146.80,144.45
KC,Z,3^2, KCZ3^2 ,10/5/2023,145.40,146.05,147.50,145.00
KC,Z,3^2, KCZ3^2 ,10/4/2023,146.35,147.90,148.95,145.90
KC,Z,3^2, KCZ3^2 ,10/3/2023,148.75,149.15,149.90,147.25
KC,Z,3^2, KCZ3^2 ,10/2/2023,149.10,146.00,151.40,145.80
KC,Z,3^2, KCZ3^2 ,9/29/2023,146.15,147.00,147.50,144.95
KC,Z,3^2, KCZ3^2 ,9/28/2023,147.20,148.95,150.25,146.45
KC,Z,3^2, KCZ3^2 ,9/27/2023,149.25,150.45,150.50,147.55
KC,Z,3^2, KCZ3^2 ,9/26/2023,150.85,148.80,152.15,148.45
KC,Z,3^2, KCZ3^2 ,9/25/2023,148.80,150.30,152.10,148.15
KC,Z,3^2, KCZ3^2 ,9/22/2023,151.15,154.75,155.70,150.05
KC,Z,3^2, KCZ3^2 ,9/21/2023,154.85,158.00,158.75,154.50
KC,Z,3^2, KCZ3^2 ,9/20/2023,158.20,160.40,161.65,157.65
KC,Z,3^2, KCZ3^2 ,9/19/2023,160.95,160.35,164.50,159.75
KC,Z,3^2, KCZ3^2 ,9/18/2023,159.60,158.15,161.10,158.15
KC,Z,3^2, KCZ3^2 ,9/15/2023,159.15,153.90,160.50,153.35
KC,Z,3^2, KCZ3^2 ,9/14/2023,154.00,152.00,154.80,149.30
KC,Z,3^2, KCZ3^2 ,9/13/2023,151.95,152.20,153.65,151.00
KC,Z,3^2, KCZ3^2 ,9/12/2023,152.00,152.75,153.00,150.45
KC,Z,3^2, KCZ3^2 ,9/11/2023,152.85,148.05,153.45,147.30
KC,Z,3^2, KCZ3^2 ,9/8/2023,148.65,150.90,151.15,148.05
KC,Z,3^2, KCZ3^2 ,9/7/2023,149.80,153.15,153.20,149.50
KC,Z,3^2, KCZ3^2 ,9/6/2023,153.80,153.20,155.00,151.05
KC,Z,3^2, KCZ3^2 ,9/5/2023,153.45,151.70,153.95,148.55
KC,Z,3^2, KCZ3^2 ,9/1/2023,151.90,154.65,156.35,151.65
KC,Z,3^2, KCZ3^2 ,8/31/2023,154.50,155.30,157.60,153.05
KC,Z,3^2, KCZ3^2 ,8/30/2023,155.35,153.50,155.95,153.30
KC,Z,3^2, KCZ3^2 ,8/29/2023,153.10,153.25,154.55,151.60
KC,Z,3^2, KCZ3^2 ,8/28/2023,152.75,152.50,154.95,152.10
KC,Z,3^2, KCZ3^2 ,8/25/2023,153.15,153.75,155.45,150.80
KC,Z,3^2, KCZ3^2 ,8/24/2023,154.30,154.30,156.25,152.00
KC,Z,3^2, KCZ3^2 ,8/23/2023,153.90,151.05,155.05,150.90
KC,Z,3^2, KCZ3^2 ,8/22/2023,150.05,151.50,153.35,149.55
KC,Z,3^2, KCZ3^2 ,8/21/2023,150.80,150.10,154.65,150.10
KC,Z,3^2, KCZ3^2 ,8/18/2023,150.00,149.15,151.75,147.20
KC,Z,3^2, KCZ3^2 ,8/17/2023,149.10,150.60,151.45,147.45
KC,Z,3^2, KCZ3^2 ,8/16/2023,150.60,152.00,152.65,149.60
KC,Z,3^2, KCZ3^2 ,8/15/2023,151.35,152.20,152.90,149.40
KC,Z,3^2, KCZ3^2 ,8/14/2023,152.60,157.50,158.50,152.05
KC,Z,3^2, KCZ3^2 ,8/11/2023,157.70,158.80,159.20,156.00
KC,Z,3^2, KCZ3^2 ,8/10/2023,159.65,159.90,162.95,158.85
KC,Z,3^2, KCZ3^2 ,8/9/2023,160.20,160.90,161.90,159.50
KC,Z,3^2, KCZ3^2 ,8/8/2023,160.85,162.05,162.45,159.30
KC,Z,3^2, KCZ3^2 ,8/7/2023,163.45,160.70,164.15,159.80
KC,Z,3^2, KCZ3^2 ,8/4/2023,160.95,163.40,164.30,160.60
KC,Z,3^2, KCZ3^2 ,8/3/2023,164.00,165.85,167.50,163.30
KC,Z,3^2, KCZ3^2 ,8/2/2023,166.35,164.20,167.30,162.70
KC,Z,3^2, KCZ3^2 ,8/1/2023,164.40,164.70,167.15,162.05
KC,Z,3^2, KCZ3^2 ,7/31/2023,164.55,158.15,165.90,158.15
KC,Z,3^2, KCZ3^2 ,7/28/2023,158.20,161.80,162.20,157.75
KC,Z,3^2, KCZ3^2 ,7/27/2023,161.70,164.05,164.80,160.35
KC,Z,3^2, KCZ3^2 ,7/26/2023,163.20,161.65,163.90,159.65
KC,Z,3^2, KCZ3^2 ,7/25/2023,162.20,162.65,164.15,161.75
KC,Z,3^2, KCZ3^2 ,7/24/2023,163.30,160.55,165.00,160.55
KC,Z,3^2, KCZ3^2 ,7/21/2023,161.55,158.80,161.80,156.75
KC,Z,3^2, KCZ3^2 ,7/20/2023,158.30,156.15,159.80,155.60
KC,Z,3^2, KCZ3^2 ,7/19/2023,155.85,156.65,157.80,155.50
KC,Z,3^2, KCZ3^2 ,7/18/2023,156.45,155.65,157.60,155.00
KC,Z,3^2, KCZ3^2 ,7/17/2023,155.65,159.30,160.75,155.00
KC,Z,3^2, KCZ3^2 ,7/14/2023,160.30,158.15,161.00,157.20
KC,Z,3^2, KCZ3^2 ,7/13/2023,157.05,157.25,158.90,155.85
KC,Z,3^2, KCZ3^2 ,7/12/2023,156.45,157.70,158.65,156.00
KC,Z,3^2, KCZ3^2 ,7/11/2023,157.00,159.55,160.05,155.00
KC,Z,3^2, KCZ3^2 ,7/10/2023,159.30,159.60,160.85,158.00
KC,Z,3^2, KCZ3^2 ,7/7/2023,160.05,160.00,161.30,157.35
KC,Z,3^2, KCZ3^2 ,7/6/2023,159.65,157.90,162.75,155.35
KC,Z,3^2, KCZ3^2 ,7/5/2023,158.15,159.60,161.25,157.35
KC,Z,3^2, KCZ3^2 ,7/3/2023,159.70,159.00,161.60,158.65
KC,Z,3^2, KCZ3^2 ,6/30/2023,158.10,161.65,162.40,157.45
KC,Z,3^2, KCZ3^2 ,6/29/2023,160.25,160.80,162.05,156.95
KC,Z,3^2, KCZ3^2 ,6/28/2023,160.80,165.30,165.50,160.00
KC,Z,3^2, KCZ3^2 ,6/27/2023,165.40,164.50,166.35,161.55
KC,Z,3^2, KCZ3^2 ,6/26/2023,163.65,164.00,165.70,161.65
KC,Z,3^2, KCZ3^2 ,6/23/2023,163.85,169.25,169.25,163.15
KC,Z,3^2, KCZ3^2 ,6/22/2023,169.05,171.90,171.90,167.80
KC,Z,3^2, KCZ3^2 ,6/21/2023,171.20,176.00,176.00,169.70
KC,Z,3^2, KCZ3^2 ,6/20/2023,174.65,178.15,179.85,173.65
KC,Z,3^2, KCZ3^2 ,6/16/2023,179.00,181.50,182.35,178.20
KC,Z,3^2, KCZ3^2 ,6/15/2023,181.25,178.40,181.90,178.40
KC,Z,3^2, KCZ3^2 ,6/14/2023,178.35,177.00,178.55,175.60
KC,Z,3^2, KCZ3^2 ,6/13/2023,176.90,179.75,180.60,175.90
KC,Z,3^2, KCZ3^2 ,6/12/2023,179.55,184.60,186.05,179.10
KC,Z,3^2, KCZ3^2 ,6/9/2023,184.60,187.40,189.00,183.10
KC,Z,3^2, KCZ3^2 ,6/8/2023,187.65,179.50,188.80,177.95
KC,Z,3^2, KCZ3^2 ,6/7/2023,179.00,177.25,180.30,176.80
KC,Z,3^2, KCZ3^2 ,6/6/2023,177.10,177.70,179.40,176.25
KC,Z,3^2, KCZ3^2 ,6/5/2023,177.70,174.90,178.10,174.10
KC,Z,3^2, KCZ3^2 ,6/2/2023,175.35,178.10,182.15,174.35
KC,Z,3^2, KCZ3^2 ,6/1/2023,177.90,174.40,179.15,174.40
KC,Z,3^2, KCZ3^2 ,5/31/2023,173.60,173.00,174.65,171.35
KC,Z,3^2, KCZ3^2 ,5/30/2023,172.80,176.55,177.50,172.20
