commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
KW,N,3^2, KWN3^2 ,7/14/2023,809.25,#N/A,#N/A,#N/A
KW,N,3^2, KWN3^2 ,7/13/2023,807.25,808.50,814.00,804.00
KW,N,3^2, KWN3^2 ,7/12/2023,804.25,829.00,829.00,810.00
KW,N,3^2, KWN3^2 ,7/11/2023,818.25,826.00,826.50,820.25
KW,N,3^2, KWN3^2 ,7/10/2023,810.50,831.00,831.00,819.25
KW,N,3^2, KWN3^2 ,7/7/2023,817.50,837.00,837.00,817.50
KW,N,3^2, KWN3^2 ,7/6/2023,843.25,858.00,858.50,837.00
KW,N,3^2, KWN3^2 ,7/5/2023,849.25,825.00,857.00,825.00
KW,N,3^2, KWN3^2 ,7/3/2023,798.75,791.00,823.50,791.00
KW,N,3^2, KWN3^2 ,6/30/2023,801.25,794.50,828.50,793.75
KW,N,3^2, KWN3^2 ,6/29/2023,794.25,800.25,810.00,791.50
KW,N,3^2, KWN3^2 ,6/28/2023,800.75,835.50,839.50,798.50
KW,N,3^2, KWN3^2 ,6/27/2023,837.75,866.50,870.25,827.50
KW,N,3^2, KWN3^2 ,6/26/2023,866.50,859.00,888.00,852.25
KW,N,3^2, KWN3^2 ,6/23/2023,859.00,869.00,869.50,850.50
KW,N,3^2, KWN3^2 ,6/22/2023,871.00,869.00,891.25,865.75
KW,N,3^2, KWN3^2 ,6/21/2023,873.75,839.50,876.75,839.50
KW,N,3^2, KWN3^2 ,6/20/2023,836.00,839.75,848.00,829.00
KW,N,3^2, KWN3^2 ,6/16/2023,842.00,811.00,852.75,805.25
KW,N,3^2, KWN3^2 ,6/15/2023,812.75,785.00,813.50,784.00
KW,N,3^2, KWN3^2 ,6/14/2023,785.75,791.25,792.75,778.00
KW,N,3^2, KWN3^2 ,6/13/2023,791.75,797.00,805.00,785.00
KW,N,3^2, KWN3^2 ,6/12/2023,796.50,798.75,803.25,786.50
