commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
KW,Z,3^2, KWZ3^2 ,12/14/2023,626.75,#N/A,#N/A,#N/A
KW,Z,3^2, KWZ3^2 ,12/13/2023,626.75,638.75,638.75,638.75
KW,Z,3^2, KWZ3^2 ,12/12/2023,651.50,662.00,662.00,662.00
KW,Z,3^2, KWZ3^2 ,12/11/2023,627.00,#N/A,#N/A,#N/A
KW,Z,3^2, KWZ3^2 ,12/8/2023,655.75,656.25,669.00,653.25
KW,Z,3^2, KWZ3^2 ,12/7/2023,662.25,669.75,673.00,669.75
KW,Z,3^2, KWZ3^2 ,12/6/2023,650.75,658.25,666.75,656.00
KW,Z,3^2, KWZ3^2 ,12/5/2023,657.50,664.00,665.25,649.00
KW,Z,3^2, KWZ3^2 ,12/4/2023,656.25,644.75,657.00,644.75
KW,Z,3^2, KWZ3^2 ,12/1/2023,645.00,643.00,646.75,632.50
KW,Z,3^2, KWZ3^2 ,11/30/2023,643.25,635.25,645.00,631.25
KW,Z,3^2, KWZ3^2 ,11/29/2023,640.00,613.00,641.75,611.50
KW,Z,3^2, KWZ3^2 ,11/28/2023,613.00,590.50,615.00,587.50
KW,Z,3^2, KWZ3^2 ,11/27/2023,590.00,602.50,609.00,588.50
KW,Z,3^2, KWZ3^2 ,11/24/2023,602.00,612.50,612.50,599.25
KW,Z,3^2, KWZ3^2 ,11/22/2023,614.50,615.00,623.50,613.25
KW,Z,3^2, KWZ3^2 ,11/21/2023,615.75,611.00,620.25,607.50
KW,Z,3^2, KWZ3^2 ,11/20/2023,610.50,619.25,621.50,607.00
KW,Z,3^2, KWZ3^2 ,11/17/2023,618.00,627.75,629.75,613.75
KW,Z,3^2, KWZ3^2 ,11/16/2023,627.25,639.00,644.00,626.75
KW,Z,3^2, KWZ3^2 ,11/15/2023,639.75,639.25,649.00,634.25
KW,Z,3^2, KWZ3^2 ,11/14/2023,639.75,641.00,649.50,637.00
KW,Z,3^2, KWZ3^2 ,11/13/2023,641.50,641.75,643.50,631.50
KW,Z,3^2, KWZ3^2 ,11/10/2023,640.00,647.00,648.25,638.75
KW,Z,3^2, KWZ3^2 ,11/9/2023,647.25,652.25,654.25,641.50
KW,Z,3^2, KWZ3^2 ,11/8/2023,655.00,634.00,661.25,631.75
KW,Z,3^2, KWZ3^2 ,11/7/2023,632.50,644.75,645.50,629.75
KW,Z,3^2, KWZ3^2 ,11/6/2023,645.75,643.50,651.75,636.25
KW,Z,3^2, KWZ3^2 ,11/3/2023,643.50,640.00,647.50,638.50
KW,Z,3^2, KWZ3^2 ,11/2/2023,641.50,640.00,650.25,636.00
KW,Z,3^2, KWZ3^2 ,11/1/2023,640.00,630.25,641.00,626.00
KW,Z,3^2, KWZ3^2 ,10/31/2023,629.25,646.00,646.25,625.50
KW,Z,3^2, KWZ3^2 ,10/30/2023,645.00,644.00,652.75,632.25
KW,Z,3^2, KWZ3^2 ,10/27/2023,643.00,653.75,656.50,639.50
KW,Z,3^2, KWZ3^2 ,10/26/2023,654.75,649.00,659.25,644.00
KW,Z,3^2, KWZ3^2 ,10/25/2023,649.00,662.75,667.75,648.50
KW,Z,3^2, KWZ3^2 ,10/24/2023,663.00,670.25,671.25,657.00
KW,Z,3^2, KWZ3^2 ,10/23/2023,670.75,671.00,680.25,667.50
KW,Z,3^2, KWZ3^2 ,10/20/2023,670.00,676.25,687.75,667.50
KW,Z,3^2, KWZ3^2 ,10/19/2023,676.25,670.50,677.75,663.75
KW,Z,3^2, KWZ3^2 ,10/18/2023,670.50,668.50,678.00,667.50
KW,Z,3^2, KWZ3^2 ,10/17/2023,666.75,669.00,678.50,665.00
KW,Z,3^2, KWZ3^2 ,10/16/2023,668.75,668.50,674.00,662.50
KW,Z,3^2, KWZ3^2 ,10/13/2023,669.00,675.75,688.00,666.75
KW,Z,3^2, KWZ3^2 ,10/12/2023,675.00,668.00,678.25,655.25
KW,Z,3^2, KWZ3^2 ,10/11/2023,667.25,671.50,674.00,662.50
KW,Z,3^2, KWZ3^2 ,10/10/2023,671.25,685.75,686.75,668.00
KW,Z,3^2, KWZ3^2 ,10/9/2023,686.00,676.75,690.25,676.25
KW,Z,3^2, KWZ3^2 ,10/6/2023,673.75,686.25,692.50,672.00
KW,Z,3^2, KWZ3^2 ,10/5/2023,690.50,668.00,692.25,666.50
KW,Z,3^2, KWZ3^2 ,10/4/2023,666.50,680.50,686.00,665.25
KW,Z,3^2, KWZ3^2 ,10/3/2023,683.25,679.50,687.50,670.75
KW,Z,3^2, KWZ3^2 ,10/2/2023,676.75,664.25,682.75,663.75
KW,Z,3^2, KWZ3^2 ,9/29/2023,663.75,685.00,691.75,662.00
KW,Z,3^2, KWZ3^2 ,9/28/2023,685.00,694.00,696.50,681.00
KW,Z,3^2, KWZ3^2 ,9/27/2023,694.50,710.25,715.50,692.00
KW,Z,3^2, KWZ3^2 ,9/26/2023,710.50,715.00,721.75,707.00
KW,Z,3^2, KWZ3^2 ,9/25/2023,714.50,713.00,715.75,703.00
KW,Z,3^2, KWZ3^2 ,9/22/2023,711.25,710.50,717.75,707.00
KW,Z,3^2, KWZ3^2 ,9/21/2023,710.50,728.75,729.50,708.75
KW,Z,3^2, KWZ3^2 ,9/20/2023,729.00,730.50,741.00,722.00
KW,Z,3^2, KWZ3^2 ,9/19/2023,731.00,733.00,737.75,722.75
KW,Z,3^2, KWZ3^2 ,9/18/2023,735.00,744.50,744.50,725.00
KW,Z,3^2, KWZ3^2 ,9/15/2023,746.50,735.50,748.50,733.00
KW,Z,3^2, KWZ3^2 ,9/14/2023,736.50,744.00,745.00,726.25
KW,Z,3^2, KWZ3^2 ,9/13/2023,744.75,729.50,746.25,726.00
KW,Z,3^2, KWZ3^2 ,9/12/2023,730.75,723.00,735.50,709.00
KW,Z,3^2, KWZ3^2 ,9/11/2023,723.75,732.75,732.75,711.25
KW,Z,3^2, KWZ3^2 ,9/8/2023,732.00,737.00,740.25,728.75
KW,Z,3^2, KWZ3^2 ,9/7/2023,737.00,748.00,754.25,735.50
KW,Z,3^2, KWZ3^2 ,9/6/2023,749.50,724.50,750.75,722.75
KW,Z,3^2, KWZ3^2 ,9/5/2023,724.50,724.50,731.50,713.75
KW,Z,3^2, KWZ3^2 ,9/1/2023,722.75,729.00,746.75,722.00
KW,Z,3^2, KWZ3^2 ,8/31/2023,727.25,730.75,737.75,715.25
