commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
LC,N,3^2, LCM3^2 ,6/30/2023,181.5,179.9,181.5,179.15
LC,N,3^2, LCM3^2 ,6/29/2023,179.75,180.1,180.2,179.5
LC,N,3^2, LCM3^2 ,6/28/2023,179.63,179.35,180.4,179.1
LC,N,3^2, LCM3^2 ,6/27/2023,179.3,178,179.55,177.9
LC,N,3^2, LCM3^2 ,6/26/2023,177.7,177.3,177.98,177.03
LC,N,3^2, LCM3^2 ,6/23/2023,177.5,177.88,178.23,177.15
LC,N,3^2, LCM3^2 ,6/22/2023,177.65,177.75,177.9,176.75
LC,N,3^2, LCM3^2 ,6/21/2023,177.25,177.2,177.58,176.25
LC,N,3^2, LCM3^2 ,6/20/2023,177.13,178.65,178.65,176.63
LC,N,3^2, LCM3^2 ,6/16/2023,178.35,177.58,178.9,177
LC,N,3^2, LCM3^2 ,6/15/2023,177.58,177.45,178.18,176.3
LC,N,3^2, LCM3^2 ,6/14/2023,177.45,179.55,179.6,177.25
LC,N,3^2, LCM3^2 ,6/13/2023,179.43,179.08,179.6,178.5
LC,N,3^2, LCM3^2 ,6/12/2023,179.08,178.8,179.2,178.15
LC,N,3^2, LCM3^2 ,6/9/2023,178.23,179.18,180.18,177.28
LC,N,3^2, LCM3^2 ,6/8/2023,178.78,179.68,180.33,178.5
LC,N,3^2, LCM3^2 ,6/7/2023,179,181,182.88,177.63
LC,N,3^2, LCM3^2 ,6/6/2023,179.83,177.75,180.25,177.03
LC,N,3^2, LCM3^2 ,6/5/2023,177.15,177.5,178.18,176.53
LC,N,3^2, LCM3^2 ,6/2/2023,176.43,175.03,176.88,175
LC,N,3^2, LCM3^2 ,6/1/2023,174.9,169.35,175,169
LC,N,3^2, LCM3^2 ,5/31/2023,169.13,168.65,169.28,168.03
LC,N,3^2, LCM3^2 ,5/30/2023,168.88,167.7,169,167.5
LC,N,3^2, LCM3^2 ,5/26/2023,167.35,167.48,168.4,167.1
LC,N,3^2, LCM3^2 ,5/25/2023,167.3,166.6,167.45,166
LC,N,3^2, LCM3^2 ,5/24/2023,166.1,164.28,166.5,163.65
LC,N,3^2, LCM3^2 ,5/23/2023,164.28,165.65,165.83,164.13
LC,N,3^2, LCM3^2 ,5/22/2023,165.05,165.65,165.65,164.5
LC,N,3^2, LCM3^2 ,5/19/2023,165.73,165.53,166.23,164.83
LC,N,3^2, LCM3^2 ,5/18/2023,165.53,164.88,165.73,164.33
LC,N,3^2, LCM3^2 ,5/17/2023,164.83,164.08,164.93,162.93
LC,N,3^2, LCM3^2 ,5/16/2023,163.88,164.33,164.55,163.65
LC,N,3^2, LCM3^2 ,5/15/2023,164.33,164.63,164.73,163.58
LC,N,3^2, LCM3^2 ,5/12/2023,164.4,163.15,164.63,162.9
LC,N,3^2, LCM3^2 ,5/11/2023,162.95,162.98,163.45,162.3
LC,N,3^2, LCM3^2 ,5/10/2023,163,163.73,164.55,162.68
LC,N,3^2, LCM3^2 ,5/9/2023,163.93,162.6,164.15,161.88
LC,N,3^2, LCM3^2 ,5/8/2023,162.43,161.93,162.83,161.78
LC,N,3^2, LCM3^2 ,5/5/2023,161.93,162.1,163.13,161.8
LC,N,3^2, LCM3^2 ,5/4/2023,161.58,161.73,162.35,161.35
LC,N,3^2, LCM3^2 ,5/3/2023,161.65,162.8,162.8,161.2
LC,N,3^2, LCM3^2 ,5/2/2023,162.9,164.8,164.8,162.55
LC,N,3^2, LCM3^2 ,5/1/2023,164.88,165.2,165.78,164.48
LC,N,3^2, LCM3^2 ,4/28/2023,165.48,165.1,165.58,164.93
LC,N,3^2, LCM3^2 ,4/27/2023,165.2,164.73,165.38,163.88
LC,N,3^2, LCM3^2 ,4/26/2023,164.58,163.78,164.8,163.43
LC,N,3^2, LCM3^2 ,4/25/2023,164.03,164.55,164.55,163.68
LC,N,3^2, LCM3^2 ,4/24/2023,164.55,163.1,164.88,162.9
LC,N,3^2, LCM3^2 ,4/21/2023,164.53,164.4,164.58,163.55
LC,N,3^2, LCM3^2 ,4/20/2023,164.35,163.4,164.45,162.35
LC,N,3^2, LCM3^2 ,4/19/2023,163.6,165.18,165.93,162.75
LC,N,3^2, LCM3^2 ,4/18/2023,165.2,165.28,165.45,164.28
LC,N,3^2, LCM3^2 ,4/17/2023,164.88,163.85,165.1,163.75
LC,N,3^2, LCM3^2 ,4/14/2023,163.73,164.2,164.83,163.45
LC,N,3^2, LCM3^2 ,4/13/2023,164.5,165.75,166.28,164.43
LC,N,3^2, LCM3^2 ,4/12/2023,164.85,163.93,165.05,163.7
LC,N,3^2, LCM3^2 ,4/11/2023,163.95,164,164.53,163.43
LC,N,3^2, LCM3^2 ,4/10/2023,163.7,163.2,164.15,162.55
LC,N,3^2, LCM3^2 ,4/6/2023,163.1,162.5,163.23,161.93
LC,N,3^2, LCM3^2 ,4/5/2023,160.3,160.25,161.08,160.1
LC,N,3^2, LCM3^2 ,4/4/2023,160.23,161.43,162.05,160.1
LC,N,3^2, LCM3^2 ,4/3/2023,161.23,161.9,162.53,160.6
LC,N,3^2, LCM3^2 ,3/31/2023,162.13,161.18,162.18,160.9
LC,N,3^2, LCM3^2 ,3/30/2023,161,159.58,161.08,159.55
LC,N,3^2, LCM3^2 ,3/29/2023,159.65,158.9,159.68,158.83
LC,N,3^2, LCM3^2 ,3/28/2023,158.9,158.73,159,158.4
LC,N,3^2, LCM3^2 ,3/27/2023,158.88,157,158.93,156.95
LC,N,3^2, LCM3^2 ,3/24/2023,156.6,155.75,156.85,155.3
LC,N,3^2, LCM3^2 ,3/23/2023,155.8,155.85,156.1,155.43
LC,N,3^2, LCM3^2 ,3/22/2023,155.9,156.15,156.25,154.38
LC,N,3^2, LCM3^2 ,3/21/2023,156.15,155.75,156.5,154.63
LC,N,3^2, LCM3^2 ,3/20/2023,155.53,156.75,157.03,155.45
LC,N,3^2, LCM3^2 ,3/17/2023,156.4,156.98,157.05,155.7
LC,N,3^2, LCM3^2 ,3/16/2023,156.88,156.78,157.5,156.3
LC,N,3^2, LCM3^2 ,3/15/2023,156.58,157.5,157.68,156.23
LC,N,3^2, LCM3^2 ,3/14/2023,157.75,158.48,158.55,157.63
