commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
LC,Z,3^2, LCZ3^2 ,12/29/2023,173.68,172.00,174.00,172.00
LC,Z,3^2, LCZ3^2 ,12/28/2023,171.20,170.75,171.35,170.10
LC,Z,3^2, LCZ3^2 ,12/27/2023,170.73,170.75,170.90,170.43
LC,Z,3^2, LCZ3^2 ,12/26/2023,170.58,170.63,170.75,169.75
LC,Z,3^2, LCZ3^2 ,12/22/2023,170.05,170.50,171.28,169.75
LC,Z,3^2, LCZ3^2 ,12/21/2023,170.55,170.03,170.68,169.68
LC,Z,3^2, LCZ3^2 ,12/20/2023,170.03,168.35,170.20,168.08
LC,Z,3^2, LCZ3^2 ,12/19/2023,168.45,169.00,169.45,168.40
LC,Z,3^2, LCZ3^2 ,12/18/2023,168.83,169.15,169.75,168.60
LC,Z,3^2, LCZ3^2 ,12/15/2023,168.23,167.60,168.90,166.78
LC,Z,3^2, LCZ3^2 ,12/14/2023,167.50,167.78,167.98,167.15
LC,Z,3^2, LCZ3^2 ,12/13/2023,166.95,167.55,168.43,166.80
LC,Z,3^2, LCZ3^2 ,12/12/2023,167.70,166.75,167.93,165.80
LC,Z,3^2, LCZ3^2 ,12/11/2023,166.98,165.40,167.23,164.73
LC,Z,3^2, LCZ3^2 ,12/8/2023,165.45,162.80,165.75,162.28
LC,Z,3^2, LCZ3^2 ,12/7/2023,162.35,164.00,164.78,162.20
LC,Z,3^2, LCZ3^2 ,12/6/2023,163.45,168.30,168.85,163.03
LC,Z,3^2, LCZ3^2 ,12/5/2023,168.50,167.15,169.00,166.93
LC,Z,3^2, LCZ3^2 ,12/4/2023,167.25,168.58,169.50,166.58
LC,Z,3^2, LCZ3^2 ,12/1/2023,169.28,171.10,171.38,169.00
LC,Z,3^2, LCZ3^2 ,11/30/2023,170.88,172.35,172.35,169.10
LC,Z,3^2, LCZ3^2 ,11/29/2023,171.90,171.95,172.48,171.45
LC,Z,3^2, LCZ3^2 ,11/28/2023,171.65,169.85,172.65,169.13
LC,Z,3^2, LCZ3^2 ,11/27/2023,168.78,170.83,172.10,168.43
LC,Z,3^2, LCZ3^2 ,11/24/2023,170.25,174.30,174.30,170.08
LC,Z,3^2, LCZ3^2 ,11/22/2023,174.48,174.85,176.00,174.35
LC,Z,3^2, LCZ3^2 ,11/21/2023,175.00,175.03,175.93,174.20
LC,Z,3^2, LCZ3^2 ,11/20/2023,175.48,177.15,177.58,174.68
LC,Z,3^2, LCZ3^2 ,11/17/2023,175.75,174.73,176.45,174.18
LC,Z,3^2, LCZ3^2 ,11/16/2023,174.75,177.53,177.63,174.38
LC,Z,3^2, LCZ3^2 ,11/15/2023,177.78,175.63,178.10,175.45
LC,Z,3^2, LCZ3^2 ,11/14/2023,175.85,174.90,178.00,174.63
LC,Z,3^2, LCZ3^2 ,11/13/2023,174.93,174.53,176.00,173.55
LC,Z,3^2, LCZ3^2 ,11/10/2023,174.18,174.90,174.90,173.15
LC,Z,3^2, LCZ3^2 ,11/9/2023,174.35,179.73,180.08,174.13
LC,Z,3^2, LCZ3^2 ,11/8/2023,179.40,178.80,180.43,176.63
LC,Z,3^2, LCZ3^2 ,11/7/2023,178.78,181.40,182.23,178.60
LC,Z,3^2, LCZ3^2 ,11/6/2023,181.33,183.18,183.28,181.23
LC,Z,3^2, LCZ3^2 ,11/3/2023,183.88,184.83,184.98,183.53
LC,Z,3^2, LCZ3^2 ,11/2/2023,184.68,184.00,184.85,183.93
LC,Z,3^2, LCZ3^2 ,11/1/2023,183.63,183.55,184.15,183.03
LC,Z,3^2, LCZ3^2 ,10/31/2023,183.55,183.50,184.13,182.30
LC,Z,3^2, LCZ3^2 ,10/30/2023,183.25,182.78,183.75,182.58
LC,Z,3^2, LCZ3^2 ,10/27/2023,182.23,179.95,183.28,179.25
LC,Z,3^2, LCZ3^2 ,10/26/2023,179.33,179.78,180.33,178.58
LC,Z,3^2, LCZ3^2 ,10/25/2023,179.43,179.48,180.00,178.35
LC,Z,3^2, LCZ3^2 ,10/24/2023,178.63,178.48,181.43,177.30
LC,Z,3^2, LCZ3^2 ,10/23/2023,178.35,183.65,183.65,178.18
LC,Z,3^2, LCZ3^2 ,10/20/2023,184.63,186.00,186.03,184.43
LC,Z,3^2, LCZ3^2 ,10/19/2023,185.30,187.00,187.20,184.95
LC,Z,3^2, LCZ3^2 ,10/18/2023,187.20,187.05,187.65,186.70
LC,Z,3^2, LCZ3^2 ,10/17/2023,186.88,186.98,187.60,186.75
LC,Z,3^2, LCZ3^2 ,10/16/2023,186.55,187.25,187.93,186.15
LC,Z,3^2, LCZ3^2 ,10/13/2023,186.75,188.13,188.13,186.60
LC,Z,3^2, LCZ3^2 ,10/12/2023,187.80,186.90,187.98,186.63
LC,Z,3^2, LCZ3^2 ,10/11/2023,186.98,185.05,187.30,184.25
LC,Z,3^2, LCZ3^2 ,10/10/2023,185.00,185.70,186.30,184.78
LC,Z,3^2, LCZ3^2 ,10/9/2023,185.35,186.40,186.88,185.20
LC,Z,3^2, LCZ3^2 ,10/6/2023,186.68,185.10,187.00,184.70
LC,Z,3^2, LCZ3^2 ,10/5/2023,185.38,185.80,186.15,184.60
LC,Z,3^2, LCZ3^2 ,10/4/2023,186.03,185.65,186.78,184.95
LC,Z,3^2, LCZ3^2 ,10/3/2023,185.65,188.00,188.00,185.30
LC,Z,3^2, LCZ3^2 ,10/2/2023,188.35,188.50,190.25,188.15
LC,Z,3^2, LCZ3^2 ,9/29/2023,187.93,190.15,190.18,187.85
LC,Z,3^2, LCZ3^2 ,9/28/2023,190.43,188.38,191.50,188.05
LC,Z,3^2, LCZ3^2 ,9/27/2023,188.18,188.85,189.35,187.73
LC,Z,3^2, LCZ3^2 ,9/26/2023,188.48,191.30,191.35,188.43
LC,Z,3^2, LCZ3^2 ,9/25/2023,191.23,191.10,191.63,190.55
LC,Z,3^2, LCZ3^2 ,9/22/2023,191.35,189.80,191.65,189.80
LC,Z,3^2, LCZ3^2 ,9/21/2023,189.50,191.20,191.20,189.15
LC,Z,3^2, LCZ3^2 ,9/20/2023,191.53,190.28,191.68,189.68
LC,Z,3^2, LCZ3^2 ,9/19/2023,190.48,191.10,192.05,190.25
LC,Z,3^2, LCZ3^2 ,9/18/2023,191.00,191.75,191.90,190.73
LC,Z,3^2, LCZ3^2 ,9/15/2023,191.83,190.25,192.00,190.08
LC,Z,3^2, LCZ3^2 ,9/14/2023,190.35,187.70,190.55,187.70
LC,Z,3^2, LCZ3^2 ,9/13/2023,187.85,188.25,188.40,187.18
LC,Z,3^2, LCZ3^2 ,9/12/2023,188.45,188.25,188.98,187.38
LC,Z,3^2, LCZ3^2 ,9/11/2023,188.28,187.55,189.00,187.35
LC,Z,3^2, LCZ3^2 ,9/8/2023,187.43,187.48,187.73,186.90
LC,Z,3^2, LCZ3^2 ,9/7/2023,187.50,186.70,188.25,186.20
LC,Z,3^2, LCZ3^2 ,9/6/2023,186.50,184.10,186.88,184.10
LC,Z,3^2, LCZ3^2 ,9/5/2023,184.15,184.18,185.13,183.50
LC,Z,3^2, LCZ3^2 ,9/1/2023,184.18,184.80,185.00,183.75
LC,Z,3^2, LCZ3^2 ,8/31/2023,184.80,184.23,185.18,183.40
LC,Z,3^2, LCZ3^2 ,8/30/2023,184.23,185.20,185.53,183.85
LC,Z,3^2, LCZ3^2 ,8/29/2023,185.88,185.50,186.20,185.03
LC,Z,3^2, LCZ3^2 ,8/28/2023,185.65,185.03,186.25,184.60
LC,Z,3^2, LCZ3^2 ,8/25/2023,185.13,184.45,185.28,184.05
LC,Z,3^2, LCZ3^2 ,8/24/2023,184.53,182.70,184.70,182.28
LC,Z,3^2, LCZ3^2 ,8/23/2023,182.93,182.98,183.88,182.53
LC,Z,3^2, LCZ3^2 ,8/22/2023,183.15,184.35,184.50,182.73
LC,Z,3^2, LCZ3^2 ,8/21/2023,184.30,184.05,184.75,183.60
LC,Z,3^2, LCZ3^2 ,8/18/2023,183.18,182.43,183.45,181.93
LC,Z,3^2, LCZ3^2 ,8/17/2023,182.53,183.48,183.75,182.38
LC,Z,3^2, LCZ3^2 ,8/16/2023,183.58,184.25,184.65,183.40
LC,Z,3^2, LCZ3^2 ,8/15/2023,184.18,184.90,185.28,183.80
LC,Z,3^2, LCZ3^2 ,8/14/2023,184.98,185.50,185.90,184.83
LC,Z,3^2, LCZ3^2 ,8/11/2023,185.45,186.45,186.73,185.33
LC,Z,3^2, LCZ3^2 ,8/10/2023,186.60,185.50,187.25,185.38
LC,Z,3^2, LCZ3^2 ,8/9/2023,185.50,185.38,186.03,184.55
LC,Z,3^2, LCZ3^2 ,8/8/2023,185.20,185.85,186.20,184.63
LC,Z,3^2, LCZ3^2 ,8/7/2023,185.78,187.20,187.23,185.48
LC,Z,3^2, LCZ3^2 ,8/4/2023,187.05,185.70,187.70,185.48
LC,Z,3^2, LCZ3^2 ,8/3/2023,185.55,184.43,185.85,184.30
LC,Z,3^2, LCZ3^2 ,8/2/2023,184.60,185.60,185.80,184.25
LC,Z,3^2, LCZ3^2 ,8/1/2023,185.63,183.83,185.93,183.35
LC,Z,3^2, LCZ3^2 ,7/31/2023,183.40,183.83,184.05,182.20
LC,Z,3^2, LCZ3^2 ,7/28/2023,183.60,183.55,184.28,183.25
LC,Z,3^2, LCZ3^2 ,7/27/2023,183.40,183.55,184.05,182.95
LC,Z,3^2, LCZ3^2 ,7/26/2023,183.55,183.30,184.13,182.83
LC,Z,3^2, LCZ3^2 ,7/25/2023,183.30,184.83,184.95,182.90
LC,Z,3^2, LCZ3^2 ,7/24/2023,184.33,184.18,186.03,183.75
LC,Z,3^2, LCZ3^2 ,7/21/2023,185.18,186.40,186.90,185.00
LC,Z,3^2, LCZ3^2 ,7/20/2023,185.98,187.00,189.25,185.08
LC,Z,3^2, LCZ3^2 ,7/19/2023,187.03,186.55,187.70,186.05
LC,Z,3^2, LCZ3^2 ,7/18/2023,187.00,185.83,187.23,185.63
LC,Z,3^2, LCZ3^2 ,7/17/2023,185.85,185.88,186.80,185.38
