commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
LH,N,3^2, LHN3^2 ,7/19/2023,102.53,#N/A,#N/A,#N/A
LH,N,3^2, LHN3^2 ,7/17/2023,102.35,102.43,102.50,102.33
LH,N,3^2, LHN3^2 ,7/14/2023,101.98,102.00,102.33,101.63
LH,N,3^2, LHN3^2 ,7/13/2023,102.35,101.50,102.38,101.50
LH,N,3^2, LHN3^2 ,7/12/2023,101.18,101.75,102.48,100.75
LH,N,3^2, LHN3^2 ,7/11/2023,101.28,99.00,101.48,99.00
LH,N,3^2, LHN3^2 ,7/10/2023,98.80,99.50,99.80,98.55
LH,N,3^2, LHN3^2 ,7/7/2023,99.00,99.55,99.65,98.10
LH,N,3^2, LHN3^2 ,7/6/2023,100.05,101.30,103.70,99.80
LH,N,3^2, LHN3^2 ,7/5/2023,101.28,98.50,101.78,98.50
LH,N,3^2, LHN3^2 ,7/3/2023,97.83,95.70,98.35,95.53
LH,N,3^2, LHN3^2 ,6/30/2023,95.65,94.75,96.13,94.50
LH,N,3^2, LHN3^2 ,6/29/2023,95.45,93.90,95.60,93.63
LH,N,3^2, LHN3^2 ,6/28/2023,94.28,94.30,94.93,93.95
LH,N,3^2, LHN3^2 ,6/27/2023,94.13,93.83,94.75,92.63
LH,N,3^2, LHN3^2 ,6/26/2023,93.40,92.20,94.78,92.20
LH,N,3^2, LHN3^2 ,6/23/2023,91.28,91.90,93.75,90.80
LH,N,3^2, LHN3^2 ,6/22/2023,91.85,94.75,95.50,91.70
LH,N,3^2, LHN3^2 ,6/21/2023,94.75,94.50,96.30,94.30
LH,N,3^2, LHN3^2 ,6/20/2023,95.85,94.50,95.98,94.25
LH,N,3^2, LHN3^2 ,6/16/2023,92.85,92.10,93.73,92.10
LH,N,3^2, LHN3^2 ,6/15/2023,91.93,92.50,94.30,91.18
LH,N,3^2, LHN3^2 ,6/14/2023,92.78,91.03,93.50,91.03
LH,N,3^2, LHN3^2 ,6/13/2023,90.60,91.33,91.80,90.00
LH,N,3^2, LHN3^2 ,6/12/2023,91.60,89.73,93.13,89.70
LH,N,3^2, LHN3^2 ,6/9/2023,89.63,87.00,90.20,86.98
LH,N,3^2, LHN3^2 ,6/8/2023,87.20,86.75,87.78,85.88
LH,N,3^2, LHN3^2 ,6/7/2023,86.93,87.73,88.73,86.25
LH,N,3^2, LHN3^2 ,6/6/2023,88.33,85.45,88.65,85.25
LH,N,3^2, LHN3^2 ,6/5/2023,84.15,83.60,85.00,82.33
LH,N,3^2, LHN3^2 ,6/2/2023,84.65,82.50,84.90,82.48
LH,N,3^2, LHN3^2 ,6/1/2023,82.05,83.93,83.98,80.90
LH,N,3^2, LHN3^2 ,5/31/2023,83.33,80.35,83.78,80.35
LH,N,3^2, LHN3^2 ,5/30/2023,79.53,75.28,79.53,75.25
