commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
LH,Z,3^2, LHZ3^2 ,12/18/2023,67.15,#N/A,#N/A,#N/A
LH,Z,3^2, LHZ3^2 ,12/14/2023,67.18,67.75,67.85,67.15
LH,Z,3^2, LHZ3^2 ,12/13/2023,67.93,67.50,68.00,67.25
LH,Z,3^2, LHZ3^2 ,12/12/2023,67.83,68.18,68.25,67.70
LH,Z,3^2, LHZ3^2 ,12/11/2023,68.25,68.45,68.78,67.98
LH,Z,3^2, LHZ3^2 ,12/8/2023,68.43,67.50,68.50,67.25
LH,Z,3^2, LHZ3^2 ,12/7/2023,67.55,66.90,67.70,66.73
LH,Z,3^2, LHZ3^2 ,12/6/2023,67.55,67.15,67.73,66.85
LH,Z,3^2, LHZ3^2 ,12/5/2023,66.83,67.75,67.85,66.78
LH,Z,3^2, LHZ3^2 ,12/4/2023,68.05,68.60,69.00,67.83
LH,Z,3^2, LHZ3^2 ,12/1/2023,68.60,68.93,69.10,68.38
LH,Z,3^2, LHZ3^2 ,11/30/2023,68.78,68.98,69.40,68.68
LH,Z,3^2, LHZ3^2 ,11/29/2023,68.98,69.10,69.25,68.23
LH,Z,3^2, LHZ3^2 ,11/28/2023,68.93,68.30,69.38,68.03
LH,Z,3^2, LHZ3^2 ,11/27/2023,67.88,67.58,68.48,67.18
LH,Z,3^2, LHZ3^2 ,11/24/2023,67.58,68.10,68.23,67.00
LH,Z,3^2, LHZ3^2 ,11/22/2023,68.28,68.23,68.63,68.05
LH,Z,3^2, LHZ3^2 ,11/21/2023,68.18,70.00,70.28,68.13
LH,Z,3^2, LHZ3^2 ,11/20/2023,70.35,71.08,71.73,70.13
LH,Z,3^2, LHZ3^2 ,11/17/2023,70.98,71.05,71.75,70.78
LH,Z,3^2, LHZ3^2 ,11/16/2023,71.48,71.03,71.60,70.10
LH,Z,3^2, LHZ3^2 ,11/15/2023,71.05,72.25,72.38,70.93
LH,Z,3^2, LHZ3^2 ,11/14/2023,72.30,72.80,73.00,72.05
LH,Z,3^2, LHZ3^2 ,11/13/2023,73.35,72.55,73.80,71.53
LH,Z,3^2, LHZ3^2 ,11/10/2023,71.90,71.78,73.13,70.63
LH,Z,3^2, LHZ3^2 ,11/9/2023,71.45,71.85,72.50,71.10
LH,Z,3^2, LHZ3^2 ,11/8/2023,71.50,72.35,72.85,71.25
LH,Z,3^2, LHZ3^2 ,11/7/2023,72.90,73.00,74.28,72.43
LH,Z,3^2, LHZ3^2 ,11/6/2023,72.40,71.75,72.83,71.63
LH,Z,3^2, LHZ3^2 ,11/3/2023,71.75,73.30,73.63,71.53
LH,Z,3^2, LHZ3^2 ,11/2/2023,73.28,70.38,73.38,70.08
LH,Z,3^2, LHZ3^2 ,11/1/2023,70.15,71.25,72.08,69.95
LH,Z,3^2, LHZ3^2 ,10/31/2023,71.73,71.70,71.80,70.60
LH,Z,3^2, LHZ3^2 ,10/30/2023,71.18,70.93,71.93,70.25
LH,Z,3^2, LHZ3^2 ,10/27/2023,70.48,68.30,70.63,68.23
LH,Z,3^2, LHZ3^2 ,10/26/2023,68.63,67.70,68.70,67.43
LH,Z,3^2, LHZ3^2 ,10/25/2023,67.50,66.50,68.15,65.73
LH,Z,3^2, LHZ3^2 ,10/24/2023,66.38,66.50,67.40,65.95
LH,Z,3^2, LHZ3^2 ,10/23/2023,66.18,66.03,67.10,65.68
LH,Z,3^2, LHZ3^2 ,10/20/2023,66.00,67.58,67.68,65.40
LH,Z,3^2, LHZ3^2 ,10/19/2023,68.00,68.35,69.45,67.33
LH,Z,3^2, LHZ3^2 ,10/18/2023,68.03,67.55,68.20,67.33
LH,Z,3^2, LHZ3^2 ,10/17/2023,67.55,69.00,70.08,67.30
LH,Z,3^2, LHZ3^2 ,10/16/2023,68.30,69.00,69.90,68.13
LH,Z,3^2, LHZ3^2 ,10/13/2023,69.50,69.98,70.65,69.18
LH,Z,3^2, LHZ3^2 ,10/12/2023,70.10,70.00,70.38,68.83
LH,Z,3^2, LHZ3^2 ,10/11/2023,69.98,71.23,71.88,69.85
LH,Z,3^2, LHZ3^2 ,10/10/2023,71.43,72.75,73.28,71.35
LH,Z,3^2, LHZ3^2 ,10/9/2023,72.48,72.73,73.23,71.70
LH,Z,3^2, LHZ3^2 ,10/6/2023,73.58,71.28,73.68,71.15
LH,Z,3^2, LHZ3^2 ,10/5/2023,72.28,69.35,72.50,69.35
LH,Z,3^2, LHZ3^2 ,10/4/2023,69.18,68.83,69.90,68.00
LH,Z,3^2, LHZ3^2 ,10/3/2023,69.08,69.50,70.20,68.43
LH,Z,3^2, LHZ3^2 ,10/2/2023,69.50,71.28,71.38,69.33
LH,Z,3^2, LHZ3^2 ,9/29/2023,71.78,73.55,73.68,71.78
LH,Z,3^2, LHZ3^2 ,9/28/2023,75.53,72.55,76.10,72.55
LH,Z,3^2, LHZ3^2 ,9/27/2023,72.78,72.13,73.38,71.90
LH,Z,3^2, LHZ3^2 ,9/26/2023,72.35,72.85,73.13,71.80
LH,Z,3^2, LHZ3^2 ,9/25/2023,72.53,72.18,73.10,71.63
LH,Z,3^2, LHZ3^2 ,9/22/2023,72.18,74.50,74.88,72.03
LH,Z,3^2, LHZ3^2 ,9/21/2023,74.48,77.38,77.48,74.48
LH,Z,3^2, LHZ3^2 ,9/20/2023,78.23,76.03,78.70,75.98
LH,Z,3^2, LHZ3^2 ,9/19/2023,76.25,74.60,76.80,74.28
LH,Z,3^2, LHZ3^2 ,9/18/2023,74.43,74.85,75.73,73.45
LH,Z,3^2, LHZ3^2 ,9/15/2023,75.10,75.20,75.88,74.70
LH,Z,3^2, LHZ3^2 ,9/14/2023,75.10,75.95,76.28,75.03
LH,Z,3^2, LHZ3^2 ,9/13/2023,76.35,76.95,77.48,76.15
LH,Z,3^2, LHZ3^2 ,9/12/2023,76.90,75.15,76.98,75.00
LH,Z,3^2, LHZ3^2 ,9/11/2023,74.65,74.83,75.73,74.48
LH,Z,3^2, LHZ3^2 ,9/8/2023,74.45,75.18,75.40,74.18
