commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
SB,N,3^2, SBN3^2 ,6/30/2023,22.89,22.30,22.96,22.28
SB,N,3^2, SBN3^2 ,6/29/2023,22.07,22.63,22.63,21.81
SB,N,3^2, SBN3^2 ,6/28/2023,22.57,23.28,23.29,22.46
SB,N,3^2, SBN3^2 ,6/27/2023,23.03,23.72,23.83,22.86
SB,N,3^2, SBN3^2 ,6/26/2023,23.72,24.53,24.74,23.67
SB,N,3^2, SBN3^2 ,6/23/2023,24.18,24.96,24.98,24.13
SB,N,3^2, SBN3^2 ,6/22/2023,24.93,25.89,25.89,24.90
SB,N,3^2, SBN3^2 ,6/21/2023,25.88,26.25,26.38,25.83
SB,N,3^2, SBN3^2 ,6/20/2023,26.22,26.25,26.48,25.93
SB,N,3^2, SBN3^2 ,6/16/2023,26.43,26.07,26.49,25.96
SB,N,3^2, SBN3^2 ,6/15/2023,26.00,25.84,26.41,25.60
SB,N,3^2, SBN3^2 ,6/14/2023,25.84,25.19,25.88,25.12
SB,N,3^2, SBN3^2 ,6/13/2023,25.16,25.46,25.63,25.03
SB,N,3^2, SBN3^2 ,6/12/2023,25.47,25.38,26.00,25.22
SB,N,3^2, SBN3^2 ,6/9/2023,25.38,25.70,26.15,25.35
SB,N,3^2, SBN3^2 ,6/8/2023,25.48,24.49,25.68,24.42
SB,N,3^2, SBN3^2 ,6/7/2023,24.50,24.68,24.89,24.38
SB,N,3^2, SBN3^2 ,6/6/2023,24.58,24.44,24.75,24.23
SB,N,3^2, SBN3^2 ,6/5/2023,24.40,24.85,25.08,24.33
SB,N,3^2, SBN3^2 ,6/2/2023,24.73,24.88,24.88,24.57
SB,N,3^2, SBN3^2 ,6/1/2023,24.88,25.10,25.40,24.74
SB,N,3^2, SBN3^2 ,5/31/2023,25.06,25.30,25.44,25.02
SB,N,3^2, SBN3^2 ,5/30/2023,25.33,25.38,25.83,25.19
SB,N,3^2, SBN3^2 ,5/26/2023,25.37,24.95,25.64,24.71
SB,N,3^2, SBN3^2 ,5/25/2023,24.83,25.40,25.45,24.61
SB,N,3^2, SBN3^2 ,5/24/2023,25.49,25.77,25.93,25.46
SB,N,3^2, SBN3^2 ,5/23/2023,25.81,25.99,26.22,25.77
SB,N,3^2, SBN3^2 ,5/22/2023,25.99,25.75,26.05,25.58
SB,N,3^2, SBN3^2 ,5/19/2023,25.78,25.65,26.09,25.59
SB,N,3^2, SBN3^2 ,5/18/2023,25.61,25.88,25.97,25.46
SB,N,3^2, SBN3^2 ,5/17/2023,25.91,26.14,26.15,25.80
SB,N,3^2, SBN3^2 ,5/16/2023,26.07,26.26,26.63,26.01
SB,N,3^2, SBN3^2 ,5/15/2023,26.29,26.30,26.43,25.83
SB,N,3^2, SBN3^2 ,5/12/2023,26.22,26.07,26.39,26.00
SB,N,3^2, SBN3^2 ,5/11/2023,26.02,26.62,26.74,25.99
SB,N,3^2, SBN3^2 ,5/10/2023,26.66,26.17,26.74,26.01
SB,N,3^2, SBN3^2 ,5/9/2023,26.19,26.06,26.43,25.93
SB,N,3^2, SBN3^2 ,5/8/2023,26.09,26.42,26.48,26.01
SB,N,3^2, SBN3^2 ,5/5/2023,26.32,25.60,26.45,25.59
SB,N,3^2, SBN3^2 ,5/4/2023,25.52,25.17,25.66,24.95
SB,N,3^2, SBN3^2 ,5/3/2023,25.17,25.08,25.44,24.88
