commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
SB,V,3^2, SBV3^2 ,9/29/2023,26.27,26.77,26.80,26.20
SB,V,3^2, SBV3^2 ,9/28/2023,26.73,26.24,26.85,25.95
SB,V,3^2, SBV3^2 ,9/27/2023,26.13,26.14,26.41,25.96
SB,V,3^2, SBV3^2 ,9/26/2023,26.02,26.25,26.50,25.97
SB,V,3^2, SBV3^2 ,9/25/2023,26.31,27.00,27.02,26.23
SB,V,3^2, SBV3^2 ,9/22/2023,26.97,26.90,27.27,26.71
SB,V,3^2, SBV3^2 ,9/21/2023,26.93,26.78,26.99,26.56
SB,V,3^2, SBV3^2 ,9/20/2023,26.79,27.28,27.32,26.66
SB,V,3^2, SBV3^2 ,9/19/2023,27.44,27.10,27.62,27.02
SB,V,3^2, SBV3^2 ,9/18/2023,27.11,26.83,27.26,26.45
SB,V,3^2, SBV3^2 ,9/15/2023,26.91,26.93,27.59,26.76
SB,V,3^2, SBV3^2 ,9/14/2023,26.98,26.70,27.14,26.61
SB,V,3^2, SBV3^2 ,9/13/2023,26.54,26.75,26.90,26.44
SB,V,3^2, SBV3^2 ,9/12/2023,26.83,26.36,27.26,26.09
SB,V,3^2, SBV3^2 ,9/11/2023,26.40,26.34,26.49,25.96
SB,V,3^2, SBV3^2 ,9/8/2023,26.31,26.87,27.10,26.11
SB,V,3^2, SBV3^2 ,9/7/2023,26.68,26.21,26.89,25.94
SB,V,3^2, SBV3^2 ,9/6/2023,26.22,26.56,26.90,25.99
SB,V,3^2, SBV3^2 ,9/5/2023,26.65,25.82,26.94,25.66
SB,V,3^2, SBV3^2 ,9/1/2023,25.81,25.11,25.87,25.05
SB,V,3^2, SBV3^2 ,8/31/2023,25.06,25.31,25.63,25.02
SB,V,3^2, SBV3^2 ,8/30/2023,25.34,25.39,25.90,25.23
SB,V,3^2, SBV3^2 ,8/29/2023,25.45,25.53,25.68,25.22
SB,V,3^2, SBV3^2 ,8/28/2023,25.57,24.90,25.64,24.78
SB,V,3^2, SBV3^2 ,8/25/2023,24.83,24.29,24.89,24.10
SB,V,3^2, SBV3^2 ,8/24/2023,24.29,23.99,24.37,23.64
SB,V,3^2, SBV3^2 ,8/23/2023,23.85,23.34,24.23,23.08
SB,V,3^2, SBV3^2 ,8/22/2023,23.40,23.48,23.71,23.31
