commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
SI,Z,3^2, SIZ3^2 ,12/27/2023,24.38,24.24,24.24,24.15
SI,Z,3^2, SIZ3^2 ,12/26/2023,24.14,24.29,24.29,24.09
SI,Z,3^2, SIZ3^2 ,12/22/2023,24.29,24.52,24.58,24.17
SI,Z,3^2, SIZ3^2 ,12/21/2023,24.31,24.33,24.37,24.33
SI,Z,3^2, SIZ3^2 ,12/20/2023,24.35,24.08,24.39,23.97
SI,Z,3^2, SIZ3^2 ,12/19/2023,24.04,23.97,24.07,23.96
SI,Z,3^2, SIZ3^2 ,12/18/2023,23.83,23.82,23.82,23.82
SI,Z,3^2, SIZ3^2 ,12/15/2023,23.87,24.01,24.01,23.89
SI,Z,3^2, SIZ3^2 ,12/14/2023,24.10,23.77,24.21,23.77
SI,Z,3^2, SIZ3^2 ,12/13/2023,22.64,22.81,23.67,22.53
SI,Z,3^2, SIZ3^2 ,12/12/2023,22.73,22.79,22.79,22.76
SI,Z,3^2, SIZ3^2 ,12/11/2023,22.77,23.05,23.05,22.76
SI,Z,3^2, SIZ3^2 ,12/8/2023,22.97,23.82,23.82,22.97
SI,Z,3^2, SIZ3^2 ,12/7/2023,23.73,23.92,23.94,23.76
SI,Z,3^2, SIZ3^2 ,12/6/2023,23.89,24.18,24.36,23.90
SI,Z,3^2, SIZ3^2 ,12/5/2023,24.20,24.56,24.66,24.00
SI,Z,3^2, SIZ3^2 ,12/4/2023,24.56,25.59,25.94,24.45
SI,Z,3^2, SIZ3^2 ,12/1/2023,25.50,25.40,25.57,25.16
SI,Z,3^2, SIZ3^2 ,11/30/2023,25.29,25.04,25.33,24.97
SI,Z,3^2, SIZ3^2 ,11/29/2023,25.07,25.05,25.31,24.85
SI,Z,3^2, SIZ3^2 ,11/28/2023,24.94,24.70,25.07,24.59
SI,Z,3^2, SIZ3^2 ,11/27/2023,24.68,24.38,24.94,24.32
SI,Z,3^2, SIZ3^2 ,11/24/2023,24.34,23.67,24.40,23.61
SI,Z,3^2, SIZ3^2 ,11/22/2023,23.69,23.80,24.01,23.58
SI,Z,3^2, SIZ3^2 ,11/21/2023,23.87,23.49,24.08,23.47
SI,Z,3^2, SIZ3^2 ,11/20/2023,23.61,23.79,23.87,23.30
SI,Z,3^2, SIZ3^2 ,11/17/2023,23.85,23.83,24.22,23.73
SI,Z,3^2, SIZ3^2 ,11/16/2023,23.93,23.51,24.17,23.35
SI,Z,3^2, SIZ3^2 ,11/15/2023,23.54,23.16,23.71,23.10
SI,Z,3^2, SIZ3^2 ,11/14/2023,23.13,22.37,23.26,22.15
SI,Z,3^2, SIZ3^2 ,11/13/2023,22.36,22.31,22.41,21.93
SI,Z,3^2, SIZ3^2 ,11/10/2023,22.28,22.71,22.80,22.23
SI,Z,3^2, SIZ3^2 ,11/9/2023,22.91,22.63,23.07,22.42
SI,Z,3^2, SIZ3^2 ,11/8/2023,22.73,22.71,22.94,22.38
SI,Z,3^2, SIZ3^2 ,11/7/2023,22.59,23.13,23.17,22.51
SI,Z,3^2, SIZ3^2 ,11/6/2023,23.23,23.34,23.36,23.09
SI,Z,3^2, SIZ3^2 ,11/3/2023,23.29,22.88,23.42,22.68
SI,Z,3^2, SIZ3^2 ,11/2/2023,22.85,23.05,23.24,22.76
SI,Z,3^2, SIZ3^2 ,11/1/2023,22.79,22.96,23.13,22.65
SI,Z,3^2, SIZ3^2 ,10/31/2023,22.95,23.46,23.47,22.84
SI,Z,3^2, SIZ3^2 ,10/30/2023,23.40,23.25,23.75,23.14
SI,Z,3^2, SIZ3^2 ,10/27/2023,22.89,22.94,23.26,22.78
