commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
SM,N,3^2, SMN3^2 ,7/14/2023,430.00,426.80,426.80,426.80
SM,N,3^2, SMN3^2 ,7/13/2023,430.90,428.70,432.40,428.70
SM,N,3^2, SMN3^2 ,7/12/2023,421.40,426.60,435.20,425.30
SM,N,3^2, SMN3^2 ,7/11/2023,422.30,422.90,422.90,422.00
SM,N,3^2, SMN3^2 ,7/10/2023,412.30,414.00,415.30,411.30
SM,N,3^2, SMN3^2 ,7/7/2023,409.60,411.60,412.90,409.00
SM,N,3^2, SMN3^2 ,7/6/2023,415.60,417.90,418.50,414.00
SM,N,3^2, SMN3^2 ,7/5/2023,417.90,421.40,425.40,413.50
SM,N,3^2, SMN3^2 ,7/3/2023,418.60,433.40,433.40,417.40
SM,N,3^2, SMN3^2 ,6/30/2023,419.20,404.20,424.00,403.80
SM,N,3^2, SMN3^2 ,6/29/2023,403.00,402.20,404.60,399.30
SM,N,3^2, SMN3^2 ,6/28/2023,401.80,408.20,408.20,396.00
SM,N,3^2, SMN3^2 ,6/27/2023,407.30,415.50,415.50,406.00
SM,N,3^2, SMN3^2 ,6/26/2023,414.60,411.00,421.00,409.00
SM,N,3^2, SMN3^2 ,6/23/2023,410.70,423.60,424.40,408.50
SM,N,3^2, SMN3^2 ,6/22/2023,424.70,438.00,439.40,423.80
SM,N,3^2, SMN3^2 ,6/21/2023,439.20,418.10,441.20,417.40
SM,N,3^2, SMN3^2 ,6/20/2023,412.80,418.90,423.60,411.10
SM,N,3^2, SMN3^2 ,6/16/2023,416.40,393.70,417.00,392.40
SM,N,3^2, SMN3^2 ,6/15/2023,394.20,390.90,394.50,386.50
SM,N,3^2, SMN3^2 ,6/14/2023,389.70,398.00,398.80,388.70
SM,N,3^2, SMN3^2 ,6/13/2023,397.50,397.40,404.00,396.00
SM,N,3^2, SMN3^2 ,6/12/2023,397.40,398.20,403.90,395.60
SM,N,3^2, SMN3^2 ,6/9/2023,397.20,403.60,407.10,396.80
SM,N,3^2, SMN3^2 ,6/8/2023,404.00,404.70,408.40,401.00
SM,N,3^2, SMN3^2 ,6/7/2023,405.20,396.70,405.80,396.10
SM,N,3^2, SMN3^2 ,6/6/2023,396.70,401.50,405.90,395.80
SM,N,3^2, SMN3^2 ,6/5/2023,401.20,398.50,402.30,397.20
SM,N,3^2, SMN3^2 ,6/2/2023,397.80,401.10,404.20,396.70
SM,N,3^2, SMN3^2 ,6/1/2023,401.40,393.30,404.40,392.80
SM,N,3^2, SMN3^2 ,5/31/2023,393.40,393.50,394.50,386.30
SM,N,3^2, SMN3^2 ,5/30/2023,392.60,402.20,402.90,391.70
SM,N,3^2, SMN3^2 ,5/26/2023,402.20,398.40,407.00,397.00
SM,N,3^2, SMN3^2 ,5/25/2023,397.20,402.20,405.50,395.60
SM,N,3^2, SMN3^2 ,5/24/2023,402.20,406.40,410.60,400.70
