commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
SM,Z,3^2, SMZ3^2 ,12/14/2023,421.10,#N/A,#N/A,#N/A
SM,Z,3^2, SMZ3^2 ,12/13/2023,421.10,425.10,429.80,420.90
SM,Z,3^2, SMZ3^2 ,12/12/2023,429.20,432.50,434.00,427.80
SM,Z,3^2, SMZ3^2 ,12/11/2023,430.70,427.80,432.30,425.50
SM,Z,3^2, SMZ3^2 ,12/8/2023,424.20,431.60,431.60,421.70
SM,Z,3^2, SMZ3^2 ,12/7/2023,424.50,425.00,425.40,419.50
SM,Z,3^2, SMZ3^2 ,12/6/2023,424.40,436.70,437.30,423.00
SM,Z,3^2, SMZ3^2 ,12/5/2023,433.70,422.20,434.50,421.00
SM,Z,3^2, SMZ3^2 ,12/4/2023,422.30,423.50,432.30,419.00
SM,Z,3^2, SMZ3^2 ,12/1/2023,425.30,440.70,440.70,423.50
SM,Z,3^2, SMZ3^2 ,11/30/2023,442.20,449.60,449.60,440.00
SM,Z,3^2, SMZ3^2 ,11/29/2023,444.30,449.80,454.10,442.00
SM,Z,3^2, SMZ3^2 ,11/28/2023,450.30,459.60,465.00,450.00
SM,Z,3^2, SMZ3^2 ,11/27/2023,458.70,458.10,466.40,455.10
SM,Z,3^2, SMZ3^2 ,11/24/2023,457.40,458.10,463.80,456.70
SM,Z,3^2, SMZ3^2 ,11/22/2023,458.10,459.60,466.80,454.20
SM,Z,3^2, SMZ3^2 ,11/21/2023,459.20,460.30,467.50,454.50
SM,Z,3^2, SMZ3^2 ,11/20/2023,460.20,453.10,461.70,440.80
SM,Z,3^2, SMZ3^2 ,11/17/2023,453.30,465.40,467.80,451.90
SM,Z,3^2, SMZ3^2 ,11/16/2023,466.80,469.30,471.60,453.40
SM,Z,3^2, SMZ3^2 ,11/15/2023,469.20,473.70,479.00,464.20
SM,Z,3^2, SMZ3^2 ,11/14/2023,473.60,469.10,475.10,455.30
SM,Z,3^2, SMZ3^2 ,11/13/2023,469.10,450.00,474.40,448.70
SM,Z,3^2, SMZ3^2 ,11/10/2023,449.40,450.50,451.10,445.00
SM,Z,3^2, SMZ3^2 ,11/9/2023,449.90,450.80,453.10,443.00
SM,Z,3^2, SMZ3^2 ,11/8/2023,449.80,448.70,464.20,448.00
SM,Z,3^2, SMZ3^2 ,11/7/2023,447.40,438.50,456.30,436.50
SM,Z,3^2, SMZ3^2 ,11/6/2023,437.50,442.80,446.00,433.00
SM,Z,3^2, SMZ3^2 ,11/3/2023,442.10,427.30,445.00,424.40
SM,Z,3^2, SMZ3^2 ,11/2/2023,426.30,430.40,434.50,422.50
SM,Z,3^2, SMZ3^2 ,11/1/2023,430.40,431.00,432.60,424.00
SM,Z,3^2, SMZ3^2 ,10/31/2023,431.00,426.60,435.30,423.00
SM,Z,3^2, SMZ3^2 ,10/30/2023,426.50,441.40,442.10,424.40
SM,Z,3^2, SMZ3^2 ,10/27/2023,442.40,429.50,448.40,428.10
SM,Z,3^2, SMZ3^2 ,10/26/2023,429.50,427.40,433.20,422.10
SM,Z,3^2, SMZ3^2 ,10/25/2023,429.20,433.60,439.40,424.80
SM,Z,3^2, SMZ3^2 ,10/24/2023,434.20,421.00,434.80,413.40
SM,Z,3^2, SMZ3^2 ,10/23/2023,420.50,424.60,429.00,417.00
SM,Z,3^2, SMZ3^2 ,10/20/2023,423.90,423.00,425.70,416.90
SM,Z,3^2, SMZ3^2 ,10/19/2023,423.00,413.70,424.30,412.00
SM,Z,3^2, SMZ3^2 ,10/18/2023,413.80,399.80,415.10,398.90
SM,Z,3^2, SMZ3^2 ,10/17/2023,399.80,390.50,401.10,390.10
SM,Z,3^2, SMZ3^2 ,10/16/2023,390.20,390.00,392.90,386.90
SM,Z,3^2, SMZ3^2 ,10/13/2023,390.00,393.80,399.00,388.00
SM,Z,3^2, SMZ3^2 ,10/12/2023,392.90,378.00,394.40,378.00
SM,Z,3^2, SMZ3^2 ,10/11/2023,377.10,377.50,379.30,374.20
SM,Z,3^2, SMZ3^2 ,10/10/2023,377.50,374.50,378.30,371.80
SM,Z,3^2, SMZ3^2 ,10/9/2023,374.60,370.90,377.10,370.60
SM,Z,3^2, SMZ3^2 ,10/6/2023,372.10,376.70,379.80,371.50
SM,Z,3^2, SMZ3^2 ,10/5/2023,377.20,371.90,378.00,366.50
SM,Z,3^2, SMZ3^2 ,10/4/2023,372.00,372.10,378.20,368.70
SM,Z,3^2, SMZ3^2 ,10/3/2023,371.70,374.70,374.80,367.10
SM,Z,3^2, SMZ3^2 ,10/2/2023,374.30,381.20,382.10,373.40
SM,Z,3^2, SMZ3^2 ,9/29/2023,381.20,391.80,392.00,380.80
SM,Z,3^2, SMZ3^2 ,9/28/2023,391.50,389.10,393.50,387.50
SM,Z,3^2, SMZ3^2 ,9/27/2023,389.10,393.70,396.60,388.30
SM,Z,3^2, SMZ3^2 ,9/26/2023,392.70,389.80,394.20,386.60
SM,Z,3^2, SMZ3^2 ,9/25/2023,389.80,385.80,391.30,384.60
SM,Z,3^2, SMZ3^2 ,9/22/2023,385.80,388.40,391.30,385.10
SM,Z,3^2, SMZ3^2 ,9/21/2023,388.10,395.20,395.60,387.90
SM,Z,3^2, SMZ3^2 ,9/20/2023,395.10,389.20,397.10,389.00
SM,Z,3^2, SMZ3^2 ,9/19/2023,389.20,388.00,390.30,385.80
SM,Z,3^2, SMZ3^2 ,9/18/2023,387.90,392.10,393.20,387.70
SM,Z,3^2, SMZ3^2 ,9/15/2023,392.10,399.20,401.60,391.90
SM,Z,3^2, SMZ3^2 ,9/14/2023,399.40,395.00,402.10,394.70
SM,Z,3^2, SMZ3^2 ,9/13/2023,394.80,398.10,398.20,391.20
SM,Z,3^2, SMZ3^2 ,9/12/2023,398.10,405.10,405.60,395.70
SM,Z,3^2, SMZ3^2 ,9/11/2023,404.90,402.00,407.90,401.00
SM,Z,3^2, SMZ3^2 ,9/8/2023,401.40,395.30,402.10,393.20
SM,Z,3^2, SMZ3^2 ,9/7/2023,395.30,399.30,400.00,394.40
SM,Z,3^2, SMZ3^2 ,9/6/2023,399.20,399.00,405.10,397.60
SM,Z,3^2, SMZ3^2 ,9/5/2023,397.60,401.00,403.90,395.60
SM,Z,3^2, SMZ3^2 ,9/1/2023,399.60,404.10,409.70,399.00
SM,Z,3^2, SMZ3^2 ,8/31/2023,404.00,410.30,411.60,402.80
SM,Z,3^2, SMZ3^2 ,8/30/2023,410.20,412.20,414.90,405.50
SM,Z,3^2, SMZ3^2 ,8/29/2023,411.90,417.10,418.70,411.40
SM,Z,3^2, SMZ3^2 ,8/28/2023,418.80,416.90,421.00,414.30
SM,Z,3^2, SMZ3^2 ,8/25/2023,415.00,412.30,416.40,410.20
SM,Z,3^2, SMZ3^2 ,8/24/2023,412.30,402.00,413.80,401.00
SM,Z,3^2, SMZ3^2 ,8/23/2023,401.00,395.40,401.70,392.10
SM,Z,3^2, SMZ3^2 ,8/22/2023,395.00,396.50,403.30,390.50
SM,Z,3^2, SMZ3^2 ,8/21/2023,396.50,391.40,399.30,389.70
SM,Z,3^2, SMZ3^2 ,8/18/2023,389.00,380.70,389.40,380.60
SM,Z,3^2, SMZ3^2 ,8/17/2023,380.70,383.70,385.50,379.00
SM,Z,3^2, SMZ3^2 ,8/16/2023,382.60,380.50,384.50,380.10
SM,Z,3^2, SMZ3^2 ,8/15/2023,380.50,390.50,393.40,379.80
SM,Z,3^2, SMZ3^2 ,8/14/2023,392.00,389.30,394.40,388.70
SM,Z,3^2, SMZ3^2 ,8/11/2023,388.70,395.30,401.60,388.00
SM,Z,3^2, SMZ3^2 ,8/10/2023,393.70,390.80,397.50,390.40
SM,Z,3^2, SMZ3^2 ,8/9/2023,390.80,394.00,398.30,390.20
SM,Z,3^2, SMZ3^2 ,8/8/2023,394.00,391.60,395.10,387.60
SM,Z,3^2, SMZ3^2 ,8/7/2023,391.60,396.60,397.50,387.20
SM,Z,3^2, SMZ3^2 ,8/4/2023,397.70,399.00,407.70,396.10
SM,Z,3^2, SMZ3^2 ,8/3/2023,398.50,393.70,403.20,392.40
SM,Z,3^2, SMZ3^2 ,8/2/2023,392.20,398.30,403.00,389.70
SM,Z,3^2, SMZ3^2 ,8/1/2023,398.30,395.90,402.80,393.40
SM,Z,3^2, SMZ3^2 ,7/31/2023,395.90,399.70,402.60,392.40
SM,Z,3^2, SMZ3^2 ,7/28/2023,405.80,414.90,415.10,404.00
SM,Z,3^2, SMZ3^2 ,7/27/2023,415.60,419.40,424.70,414.60
SM,Z,3^2, SMZ3^2 ,7/26/2023,418.60,416.10,421.70,413.30
SM,Z,3^2, SMZ3^2 ,7/25/2023,416.10,411.50,416.60,408.70
SM,Z,3^2, SMZ3^2 ,7/24/2023,411.60,412.50,415.20,407.20
SM,Z,3^2, SMZ3^2 ,7/21/2023,408.50,410.00,411.20,403.00
SM,Z,3^2, SMZ3^2 ,7/20/2023,410.60,414.70,420.50,409.20
SM,Z,3^2, SMZ3^2 ,7/19/2023,414.90,416.00,424.40,411.00
SM,Z,3^2, SMZ3^2 ,7/18/2023,416.20,408.00,420.70,406.50
SM,Z,3^2, SMZ3^2 ,7/17/2023,409.40,405.00,410.10,401.40
SM,Z,3^2, SMZ3^2 ,7/14/2023,401.00,401.00,404.30,395.30
SM,Z,3^2, SMZ3^2 ,7/13/2023,399.90,389.80,400.80,388.90
SM,Z,3^2, SMZ3^2 ,7/12/2023,390.40,398.60,405.90,389.60
SM,Z,3^2, SMZ3^2 ,7/11/2023,399.10,389.30,399.90,389.30
SM,Z,3^2, SMZ3^2 ,7/10/2023,388.90,385.40,393.10,385.40
SM,Z,3^2, SMZ3^2 ,7/7/2023,386.30,391.90,392.30,384.70
SM,Z,3^2, SMZ3^2 ,7/6/2023,391.80,393.00,398.20,389.50
