commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
S,N,3^2, SN3^2 ,7/14/2023,1495.75,1507.00,1511.50,1495.75
S,N,3^2, SN3^2 ,7/13/2023,1518.00,1489.00,1516.75,1489.00
S,N,3^2, SN3^2 ,7/12/2023,1488.50,1545.50,1545.50,1477.00
S,N,3^2, SN3^2 ,7/11/2023,1520.50,1515.75,1533.50,1515.75
S,N,3^2, SN3^2 ,7/10/2023,1508.00,1484.00,1524.75,1484.00
S,N,3^2, SN3^2 ,7/7/2023,1485.50,1523.50,1523.50,1480.00
S,N,3^2, SN3^2 ,7/6/2023,1525.75,1538.25,1544.00,1519.25
S,N,3^2, SN3^2 ,7/5/2023,1547.25,1562.25,1589.00,1544.00
S,N,3^2, SN3^2 ,7/3/2023,1562.00,1557.25,1616.50,1556.00
S,N,3^2, SN3^2 ,6/30/2023,1557.25,1482.00,1568.00,1480.25
S,N,3^2, SN3^2 ,6/29/2023,1483.00,1447.75,1485.50,1445.25
S,N,3^2, SN3^2 ,6/28/2023,1451.00,1486.75,1499.75,1435.75
S,N,3^2, SN3^2 ,6/27/2023,1495.00,1523.00,1524.75,1490.00
S,N,3^2, SN3^2 ,6/26/2023,1521.00,1486.25,1525.00,1477.75
S,N,3^2, SN3^2 ,6/23/2023,1494.50,1500.00,1501.50,1470.25
S,N,3^2, SN3^2 ,6/22/2023,1500.50,1513.25,1519.50,1468.50
S,N,3^2, SN3^2 ,6/21/2023,1514.75,1489.00,1521.25,1479.00
S,N,3^2, SN3^2 ,6/20/2023,1477.25,1472.75,1489.25,1459.75
S,N,3^2, SN3^2 ,6/16/2023,1466.50,1426.00,1468.25,1426.00
S,N,3^2, SN3^2 ,6/15/2023,1428.25,1389.75,1432.00,1387.50
S,N,3^2, SN3^2 ,6/14/2023,1388.25,1398.75,1399.00,1380.00
S,N,3^2, SN3^2 ,6/13/2023,1399.25,1373.25,1415.50,1371.75
S,N,3^2, SN3^2 ,6/12/2023,1372.75,1390.00,1392.75,1368.50
S,N,3^2, SN3^2 ,6/9/2023,1386.50,1360.50,1388.00,1356.25
S,N,3^2, SN3^2 ,6/8/2023,1363.25,1358.00,1371.75,1352.00
S,N,3^2, SN3^2 ,6/7/2023,1360.75,1353.25,1370.75,1350.00
S,N,3^2, SN3^2 ,6/6/2023,1353.25,1352.00,1364.00,1340.25
S,N,3^2, SN3^2 ,6/5/2023,1350.00,1353.25,1361.50,1343.50
S,N,3^2, SN3^2 ,6/2/2023,1352.50,1329.00,1355.25,1322.00
S,N,3^2, SN3^2 ,6/1/2023,1329.50,1299.75,1335.25,1299.25
S,N,3^2, SN3^2 ,5/31/2023,1299.75,1298.00,1302.75,1270.75
S,N,3^2, SN3^2 ,5/30/2023,1296.50,1337.25,1337.25,1294.25
S,N,3^2, SN3^2 ,5/26/2023,1337.25,1323.75,1343.50,1322.00
S,N,3^2, SN3^2 ,5/25/2023,1324.00,1324.25,1333.50,1305.00
S,N,3^2, SN3^2 ,5/24/2023,1324.50,1322.50,1337.75,1316.00
S,N,3^2, SN3^2 ,5/23/2023,1322.50,1341.00,1341.25,1315.50
S,N,3^2, SN3^2 ,5/22/2023,1341.25,1308.25,1344.25,1304.75
S,N,3^2, SN3^2 ,5/19/2023,1307.25,1333.25,1345.00,1304.75
S,N,3^2, SN3^2 ,5/18/2023,1333.25,1336.50,1348.00,1323.25
S,N,3^2, SN3^2 ,5/17/2023,1337.00,1365.00,1365.75,1332.75
S,N,3^2, SN3^2 ,5/16/2023,1364.00,1400.00,1401.75,1358.75
S,N,3^2, SN3^2 ,5/15/2023,1400.75,1388.75,1411.50,1386.25
S,N,3^2, SN3^2 ,5/12/2023,1390.00,1405.25,1416.75,1388.50
S,N,3^2, SN3^2 ,5/11/2023,1405.50,1403.00,1413.50,1385.25
S,N,3^2, SN3^2 ,5/10/2023,1404.00,1414.50,1418.25,1402.50
S,N,3^2, SN3^2 ,5/9/2023,1414.25,1432.25,1432.50,1410.50
S,N,3^2, SN3^2 ,5/8/2023,1433.75,1436.50,1446.75,1430.00
S,N,3^2, SN3^2 ,5/5/2023,1436.50,1417.00,1438.75,1416.00
S,N,3^2, SN3^2 ,5/4/2023,1417.75,1415.25,1423.50,1405.00
S,N,3^2, SN3^2 ,5/3/2023,1417.50,1411.00,1418.75,1392.25
S,N,3^2, SN3^2 ,5/2/2023,1410.75,1427.00,1440.00,1408.00
S,N,3^2, SN3^2 ,5/1/2023,1427.50,1419.25,1429.25,1413.00
S,N,3^2, SN3^2 ,4/28/2023,1419.25,1406.50,1423.50,1396.50
S,N,3^2, SN3^2 ,4/27/2023,1403.75,1414.75,1417.25,1401.75
S,N,3^2, SN3^2 ,4/26/2023,1414.75,1417.75,1428.25,1412.00
S,N,3^2, SN3^2 ,4/25/2023,1417.50,1434.50,1439.75,1411.25
S,N,3^2, SN3^2 ,4/24/2023,1436.00,1450.25,1462.25,1434.00
S,N,3^2, SN3^2 ,4/21/2023,1449.00,1467.75,1469.50,1444.25
S,N,3^2, SN3^2 ,4/20/2023,1468.50,1476.50,1477.00,1460.75
S,N,3^2, SN3^2 ,4/19/2023,1478.75,1488.75,1493.25,1477.50
S,N,3^2, SN3^2 ,4/18/2023,1491.00,1485.00,1501.00,1481.50
S,N,3^2, SN3^2 ,4/17/2023,1485.50,1468.00,1487.25,1463.75
S,N,3^2, SN3^2 ,4/14/2023,1467.25,1474.00,1476.75,1459.50
S,N,3^2, SN3^2 ,4/13/2023,1473.25,1471.75,1489.25,1470.00
S,N,3^2, SN3^2 ,4/12/2023,1472.25,1471.25,1477.50,1465.00
S,N,3^2, SN3^2 ,4/11/2023,1471.25,1461.75,1480.00,1460.25
S,N,3^2, SN3^2 ,4/10/2023,1461.75,1461.00,1468.75,1456.25
S,N,3^2, SN3^2 ,4/7/2023,1462.50,#N/A,#N/A,#N/A
S,N,3^2, SN3^2 ,4/6/2023,1462.50,1478.50,1479.75,1455.75
S,N,3^2, SN3^2 ,4/5/2023,1477.75,1483.25,1491.00,1471.00
S,N,3^2, SN3^2 ,4/4/2023,1482.75,1492.00,1495.00,1476.00
S,N,3^2, SN3^2 ,4/3/2023,1495.00,1480.00,1500.50,1479.75
S,N,3^2, SN3^2 ,3/31/2023,1475.50,1445.75,1483.00,1440.25
S,N,3^2, SN3^2 ,3/30/2023,1447.00,1450.00,1454.00,1445.00
S,N,3^2, SN3^2 ,3/29/2023,1450.75,1443.00,1453.75,1437.00
S,N,3^2, SN3^2 ,3/28/2023,1444.50,1420.00,1446.75,1418.25
S,N,3^2, SN3^2 ,3/27/2023,1420.75,1406.00,1423.50,1401.25
S,N,3^2, SN3^2 ,3/24/2023,1406.25,1398.50,1411.00,1383.75
S,N,3^2, SN3^2 ,3/23/2023,1398.50,1426.00,1431.00,1393.75
S,N,3^2, SN3^2 ,3/22/2023,1425.00,1448.50,1452.50,1422.50
S,N,3^2, SN3^2 ,3/21/2023,1448.50,1464.75,1476.25,1446.75
S,N,3^2, SN3^2 ,3/20/2023,1466.75,1458.00,1468.25,1442.75
S,N,3^2, SN3^2 ,3/17/2023,1461.25,1476.75,1482.50,1455.75
S,N,3^2, SN3^2 ,3/16/2023,1476.00,1474.00,1483.75,1462.50
