commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
SUC,Z,3^2, SUCZ3^2 ,12/18/2023,7.13,7.11,7.14,7.11
SUC,Z,3^2, SUCZ3^2 ,12/15/2023,7.11,7.14,7.15,7.10
SUC,Z,3^2, SUCZ3^2 ,12/14/2023,7.19,7.19,7.20,7.13
SUC,Z,3^2, SUCZ3^2 ,12/13/2023,7.19,7.19,7.20,7.17
SUC,Z,3^2, SUCZ3^2 ,12/12/2023,7.19,7.19,7.20,7.18
SUC,Z,3^2, SUCZ3^2 ,12/11/2023,7.19,7.17,7.20,7.16
SUC,Z,3^2, SUCZ3^2 ,12/8/2023,7.17,7.15,7.17,7.15
SUC,Z,3^2, SUCZ3^2 ,12/7/2023,7.15,7.16,7.17,7.15
SUC,Z,3^2, SUCZ3^2 ,12/6/2023,7.16,7.15,7.17,7.15
SUC,Z,3^2, SUCZ3^2 ,12/5/2023,7.14,7.14,7.15,7.13
SUC,Z,3^2, SUCZ3^2 ,12/4/2023,7.13,7.14,7.15,7.11
SUC,Z,3^2, SUCZ3^2 ,12/1/2023,7.14,7.14,7.15,7.12
SUC,Z,3^2, SUCZ3^2 ,11/30/2023,7.13,7.12,7.14,7.11
SUC,Z,3^2, SUCZ3^2 ,11/29/2023,7.12,7.15,7.15,7.10
SUC,Z,3^2, SUCZ3^2 ,11/28/2023,7.15,7.15,7.15,7.14
SUC,Z,3^2, SUCZ3^2 ,11/27/2023,7.15,7.14,7.15,7.13
SUC,Z,3^2, SUCZ3^2 ,11/24/2023,7.15,7.13,7.15,7.13
SUC,Z,3^2, SUCZ3^2 ,11/23/2023,7.13,7.15,7.16,7.12
SUC,Z,3^2, SUCZ3^2 ,11/22/2023,7.14,7.12,7.15,7.11
SUC,Z,3^2, SUCZ3^2 ,11/21/2023,7.13,7.16,7.16,7.12
SUC,Z,3^2, SUCZ3^2 ,11/20/2023,7.15,7.22,7.22,7.15
SUC,Z,3^2, SUCZ3^2 ,11/17/2023,7.23,7.24,7.25,7.22
SUC,Z,3^2, SUCZ3^2 ,11/16/2023,7.24,7.24,7.25,7.22
SUC,Z,3^2, SUCZ3^2 ,11/15/2023,7.24,7.28,7.29,7.22
SUC,Z,3^2, SUCZ3^2 ,11/14/2023,7.28,7.28,7.29,7.27
SUC,Z,3^2, SUCZ3^2 ,11/13/2023,7.28,7.28,7.30,7.28
SUC,Z,3^2, SUCZ3^2 ,11/10/2023,7.29,7.28,7.29,7.27
SUC,Z,3^2, SUCZ3^2 ,11/9/2023,7.28,7.27,7.28,7.26
SUC,Z,3^2, SUCZ3^2 ,11/8/2023,7.27,7.27,7.28,7.25
SUC,Z,3^2, SUCZ3^2 ,11/7/2023,7.27,7.25,7.27,7.25
SUC,Z,3^2, SUCZ3^2 ,11/6/2023,7.25,7.30,7.31,7.25
SUC,Z,3^2, SUCZ3^2 ,11/3/2023,7.30,7.31,7.31,7.30
SUC,Z,3^2, SUCZ3^2 ,11/2/2023,7.31,7.32,7.32,7.30
SUC,Z,3^2, SUCZ3^2 ,11/1/2023,7.32,7.31,7.32,7.31
SUC,Z,3^2, SUCZ3^2 ,10/31/2023,7.31,7.30,7.31,7.30
SUC,Z,3^2, SUCZ3^2 ,10/30/2023,7.30,7.30,7.31,7.30
SUC,Z,3^2, SUCZ3^2 ,10/27/2023,7.30,7.31,7.32,7.30
SUC,Z,3^2, SUCZ3^2 ,10/26/2023,7.31,7.31,7.32,7.30
SUC,Z,3^2, SUCZ3^2 ,10/25/2023,7.31,7.30,7.31,7.29
SUC,Z,3^2, SUCZ3^2 ,10/24/2023,7.30,7.31,7.31,7.29
SUC,Z,3^2, SUCZ3^2 ,10/23/2023,7.31,7.32,7.32,7.31
SUC,Z,3^2, SUCZ3^2 ,10/20/2023,7.32,7.32,7.33,7.31
SUC,Z,3^2, SUCZ3^2 ,10/19/2023,7.32,7.30,7.33,7.30
SUC,Z,3^2, SUCZ3^2 ,10/18/2023,7.30,7.30,7.31,7.28
SUC,Z,3^2, SUCZ3^2 ,10/17/2023,7.30,7.30,7.30,7.29
SUC,Z,3^2, SUCZ3^2 ,10/16/2023,7.30,7.29,7.30,7.28
SUC,Z,3^2, SUCZ3^2 ,10/13/2023,7.29,7.28,7.29,7.27
SUC,Z,3^2, SUCZ3^2 ,10/12/2023,7.28,7.28,7.28,7.27
SUC,Z,3^2, SUCZ3^2 ,10/11/2023,7.28,7.28,7.28,7.26
SUC,Z,3^2, SUCZ3^2 ,10/10/2023,7.28,7.28,7.28,7.25
SUC,Z,3^2, SUCZ3^2 ,10/9/2023,7.27,7.29,7.31,7.27
SUC,Z,3^2, SUCZ3^2 ,10/6/2023,7.29,7.30,7.31,7.29
SUC,Z,3^2, SUCZ3^2 ,10/5/2023,7.31,7.30,7.31,7.29
SUC,Z,3^2, SUCZ3^2 ,10/4/2023,7.30,7.30,7.31,7.29
SUC,Z,3^2, SUCZ3^2 ,10/3/2023,7.30,7.28,7.31,7.28
SUC,Z,3^2, SUCZ3^2 ,10/2/2023,7.28,7.27,7.29,7.26
SUC,Z,3^2, SUCZ3^2 ,9/29/2023,7.27,7.29,7.29,7.26
SUC,Z,3^2, SUCZ3^2 ,9/28/2023,7.29,7.30,7.31,7.29
SUC,Z,3^2, SUCZ3^2 ,9/27/2023,7.30,7.29,7.30,7.28
SUC,Z,3^2, SUCZ3^2 ,9/26/2023,7.29,7.29,7.30,7.29
SUC,Z,3^2, SUCZ3^2 ,9/25/2023,7.29,7.28,7.30,7.27
SUC,Z,3^2, SUCZ3^2 ,9/22/2023,7.28,7.29,7.30,7.28
SUC,Z,3^2, SUCZ3^2 ,9/21/2023,7.29,7.28,7.30,7.26
SUC,Z,3^2, SUCZ3^2 ,9/20/2023,7.28,7.27,7.29,7.27
SUC,Z,3^2, SUCZ3^2 ,9/19/2023,7.27,7.27,7.29,7.27
SUC,Z,3^2, SUCZ3^2 ,9/18/2023,7.28,7.26,7.28,7.25
SUC,Z,3^2, SUCZ3^2 ,9/15/2023,7.26,7.26,7.28,7.23
SUC,Z,3^2, SUCZ3^2 ,9/14/2023,7.26,7.26,7.27,7.24
SUC,Z,3^2, SUCZ3^2 ,9/13/2023,7.26,7.28,7.29,7.26
SUC,Z,3^2, SUCZ3^2 ,9/12/2023,7.28,7.28,7.29,7.26
SUC,Z,3^2, SUCZ3^2 ,9/11/2023,7.28,7.31,7.33,7.26
SUC,Z,3^2, SUCZ3^2 ,9/8/2023,7.31,7.30,7.33,7.29
SUC,Z,3^2, SUCZ3^2 ,9/7/2023,7.30,7.26,7.30,7.26
SUC,Z,3^2, SUCZ3^2 ,9/6/2023,7.26,7.26,7.28,7.25
SUC,Z,3^2, SUCZ3^2 ,9/5/2023,7.26,7.22,7.26,7.22
SUC,Z,3^2, SUCZ3^2 ,9/4/2023,7.22,7.22,7.23,7.20
SUC,Z,3^2, SUCZ3^2 ,9/1/2023,7.22,7.25,7.25,7.19
SUC,Z,3^2, SUCZ3^2 ,8/31/2023,7.25,7.25,7.25,7.24
SUC,Z,3^2, SUCZ3^2 ,8/30/2023,7.25,7.25,7.26,7.23
SUC,Z,3^2, SUCZ3^2 ,8/29/2023,7.25,7.26,7.26,7.24
SUC,Z,3^2, SUCZ3^2 ,8/28/2023,7.26,7.24,7.26,7.22
SUC,Z,3^2, SUCZ3^2 ,8/25/2023,7.25,7.23,7.25,7.22
SUC,Z,3^2, SUCZ3^2 ,8/24/2023,7.23,7.24,7.24,7.22
SUC,Z,3^2, SUCZ3^2 ,8/23/2023,7.24,7.25,7.26,7.22
SUC,Z,3^2, SUCZ3^2 ,8/22/2023,7.24,7.26,7.27,7.23
SUC,Z,3^2, SUCZ3^2 ,8/21/2023,7.26,7.24,7.27,7.23
SUC,Z,3^2, SUCZ3^2 ,8/18/2023,7.25,7.25,7.25,7.22
SUC,Z,3^2, SUCZ3^2 ,8/17/2023,7.26,7.25,7.28,7.25
SUC,Z,3^2, SUCZ3^2 ,8/16/2023,7.25,7.24,7.27,7.23
SUC,Z,3^2, SUCZ3^2 ,8/15/2023,7.24,7.20,7.25,7.20
SUC,Z,3^2, SUCZ3^2 ,8/14/2023,7.20,7.16,7.21,7.16
