commodity,contract_month,contract_year,code,trading_date,close,open,high,low
S,X,3^2, SX3^2 ,11/14/2023,1368.75,1372.00,1372.00,1358.50
S,X,3^2, SX3^2 ,11/13/2023,1368.00,1335.00,1369.00,1333.75
S,X,3^2, SX3^2 ,11/10/2023,1333.50,1328.00,1335.00,1325.25
S,X,3^2, SX3^2 ,11/9/2023,1327.75,1351.00,1353.50,1326.50
S,X,3^2, SX3^2 ,11/8/2023,1349.00,1352.00,1368.75,1348.00
S,X,3^2, SX3^2 ,11/7/2023,1348.75,1339.50,1366.00,1336.50
S,X,3^2, SX3^2 ,11/6/2023,1340.50,1327.50,1345.25,1327.50
S,X,3^2, SX3^2 ,11/3/2023,1327.50,1303.50,1330.00,1302.25
S,X,3^2, SX3^2 ,11/2/2023,1304.00,1290.25,1306.25,1290.25
S,X,3^2, SX3^2 ,11/1/2023,1291.25,1290.00,1296.75,1283.25
S,X,3^2, SX3^2 ,10/31/2023,1287.00,1283.00,1300.00,1276.00
S,X,3^2, SX3^2 ,10/30/2023,1282.75,1297.00,1308.75,1281.00
S,X,3^2, SX3^2 ,10/27/2023,1297.25,1279.25,1303.50,1277.75
S,X,3^2, SX3^2 ,10/26/2023,1279.50,1287.50,1297.75,1277.50
S,X,3^2, SX3^2 ,10/25/2023,1288.25,1293.00,1301.25,1278.00
S,X,3^2, SX3^2 ,10/24/2023,1295.25,1287.00,1297.75,1280.50
S,X,3^2, SX3^2 ,10/23/2023,1286.75,1302.00,1304.00,1286.00
S,X,3^2, SX3^2 ,10/20/2023,1302.25,1315.00,1318.50,1301.00
S,X,3^2, SX3^2 ,10/19/2023,1315.50,1311.00,1317.75,1300.25
S,X,3^2, SX3^2 ,10/18/2023,1311.00,1297.00,1313.00,1293.25
S,X,3^2, SX3^2 ,10/17/2023,1296.75,1286.00,1303.50,1285.50
S,X,3^2, SX3^2 ,10/16/2023,1286.25,1280.00,1289.00,1279.50
S,X,3^2, SX3^2 ,10/13/2023,1280.25,1286.75,1298.50,1273.50
S,X,3^2, SX3^2 ,10/12/2023,1290.00,1252.50,1299.75,1250.50
S,X,3^2, SX3^2 ,10/11/2023,1252.50,1271.50,1274.25,1251.00
S,X,3^2, SX3^2 ,10/10/2023,1271.50,1263.00,1273.25,1254.25
S,X,3^2, SX3^2 ,10/9/2023,1264.25,1267.00,1277.50,1258.25
S,X,3^2, SX3^2 ,10/6/2023,1266.00,1279.50,1287.25,1263.50
S,X,3^2, SX3^2 ,10/5/2023,1280.75,1271.75,1283.75,1262.00
S,X,3^2, SX3^2 ,10/4/2023,1273.00,1272.00,1285.00,1268.75
S,X,3^2, SX3^2 ,10/3/2023,1272.75,1276.50,1278.75,1256.75
S,X,3^2, SX3^2 ,10/2/2023,1277.00,1272.50,1279.50,1265.75
S,X,3^2, SX3^2 ,9/29/2023,1275.00,1300.50,1305.50,1272.50
S,X,3^2, SX3^2 ,9/28/2023,1300.50,1303.00,1307.00,1287.00
S,X,3^2, SX3^2 ,9/27/2023,1303.25,1302.75,1317.00,1297.50
S,X,3^2, SX3^2 ,9/26/2023,1302.75,1299.25,1307.75,1289.00
S,X,3^2, SX3^2 ,9/25/2023,1297.75,1295.25,1300.00,1284.50
S,X,3^2, SX3^2 ,9/22/2023,1296.25,1294.00,1303.00,1292.50
S,X,3^2, SX3^2 ,9/21/2023,1293.75,1319.75,1322.00,1293.00
S,X,3^2, SX3^2 ,9/20/2023,1320.00,1315.25,1322.75,1310.25
S,X,3^2, SX3^2 ,9/19/2023,1315.50,1315.00,1319.75,1308.00
S,X,3^2, SX3^2 ,9/18/2023,1316.75,1340.00,1344.50,1315.50
S,X,3^2, SX3^2 ,9/15/2023,1340.25,1360.50,1367.75,1338.25
S,X,3^2, SX3^2 ,9/14/2023,1360.50,1349.75,1364.50,1346.25
S,X,3^2, SX3^2 ,9/13/2023,1349.75,1344.75,1351.25,1333.75
S,X,3^2, SX3^2 ,9/12/2023,1346.50,1369.00,1372.25,1340.75
S,X,3^2, SX3^2 ,9/11/2023,1369.00,1363.00,1373.25,1362.25
S,X,3^2, SX3^2 ,9/8/2023,1363.00,1360.00,1365.00,1352.50
S,X,3^2, SX3^2 ,9/7/2023,1359.50,1376.25,1378.00,1357.00
S,X,3^2, SX3^2 ,9/6/2023,1376.25,1377.00,1384.75,1370.00
S,X,3^2, SX3^2 ,9/5/2023,1365.00,1369.00,1376.50,1358.00
S,X,3^2, SX3^2 ,9/1/2023,1369.25,1369.00,1385.00,1366.00
S,X,3^2, SX3^2 ,8/31/2023,1368.75,1386.75,1392.00,1367.25
S,X,3^2, SX3^2 ,8/30/2023,1386.75,1390.75,1401.00,1380.50
S,X,3^2, SX3^2 ,8/29/2023,1392.50,1393.00,1405.00,1392.00
S,X,3^2, SX3^2 ,8/28/2023,1405.75,1398.25,1409.50,1394.75
S,X,3^2, SX3^2 ,8/25/2023,1387.75,1370.00,1390.50,1368.00
S,X,3^2, SX3^2 ,8/24/2023,1371.75,1360.00,1373.00,1356.50
S,X,3^2, SX3^2 ,8/23/2023,1360.50,1346.00,1364.25,1332.50
S,X,3^2, SX3^2 ,8/22/2023,1346.00,1361.75,1373.50,1339.00
S,X,3^2, SX3^2 ,8/21/2023,1361.75,1362.25,1381.00,1355.50
S,X,3^2, SX3^2 ,8/18/2023,1353.25,1331.25,1355.50,1331.25
S,X,3^2, SX3^2 ,8/17/2023,1330.00,1324.25,1341.00,1320.50
S,X,3^2, SX3^2 ,8/16/2023,1323.50,1305.25,1331.50,1303.00
S,X,3^2, SX3^2 ,8/15/2023,1305.25,1317.50,1334.50,1303.00
S,X,3^2, SX3^2 ,8/14/2023,1326.00,1313.00,1328.50,1308.00
S,X,3^2, SX3^2 ,8/11/2023,1307.50,1319.25,1338.00,1297.50
S,X,3^2, SX3^2 ,8/10/2023,1318.25,1308.50,1328.00,1305.00
S,X,3^2, SX3^2 ,8/9/2023,1308.50,1306.75,1323.00,1306.25
S,X,3^2, SX3^2 ,8/8/2023,1306.00,1302.00,1311.00,1282.25
S,X,3^2, SX3^2 ,8/7/2023,1302.00,1324.50,1327.00,1291.00
S,X,3^2, SX3^2 ,8/4/2023,1333.25,1326.00,1345.75,1322.50
S,X,3^2, SX3^2 ,8/3/2023,1325.25,1321.50,1337.25,1318.50
S,X,3^2, SX3^2 ,8/2/2023,1321.25,1344.00,1354.00,1315.00
S,X,3^2, SX3^2 ,8/1/2023,1341.25,1335.00,1344.50,1326.25
S,X,3^2, SX3^2 ,7/31/2023,1331.75,1375.50,1375.50,1322.75
S,X,3^2, SX3^2 ,7/28/2023,1382.50,1397.75,1401.50,1379.00
S,X,3^2, SX3^2 ,7/27/2023,1398.00,1419.25,1432.00,1395.50
S,X,3^2, SX3^2 ,7/26/2023,1420.00,1416.25,1428.00,1407.25
S,X,3^2, SX3^2 ,7/25/2023,1420.00,1422.25,1428.75,1402.75
S,X,3^2, SX3^2 ,7/24/2023,1424.50,1410.00,1435.00,1401.50
S,X,3^2, SX3^2 ,7/21/2023,1401.75,1401.25,1408.75,1385.25
S,X,3^2, SX3^2 ,7/20/2023,1404.75,1405.00,1418.25,1398.50
S,X,3^2, SX3^2 ,7/19/2023,1408.75,1395.00,1428.75,1390.00
S,X,3^2, SX3^2 ,7/18/2023,1395.25,1371.50,1405.00,1368.25
S,X,3^2, SX3^2 ,7/17/2023,1378.00,1385.00,1388.75,1369.00
S,X,3^2, SX3^2 ,7/14/2023,1370.75,1367.75,1384.25,1355.00
S,X,3^2, SX3^2 ,7/13/2023,1369.75,1327.00,1370.75,1325.50
S,X,3^2, SX3^2 ,7/12/2023,1327.75,1359.50,1378.00,1325.00
S,X,3^2, SX3^2 ,7/11/2023,1360.25,1346.50,1367.25,1344.00
S,X,3^2, SX3^2 ,7/10/2023,1345.50,1328.00,1353.50,1317.75
S,X,3^2, SX3^2 ,7/7/2023,1317.75,1340.00,1343.25,1315.50
S,X,3^2, SX3^2 ,7/6/2023,1339.50,1352.25,1362.75,1331.00
S,X,3^2, SX3^2 ,7/5/2023,1355.00,1364.00,1378.75,1338.00
S,X,3^2, SX3^2 ,7/3/2023,1353.75,1343.75,1391.75,1343.25
S,X,3^2, SX3^2 ,6/30/2023,1343.25,1267.75,1351.75,1266.00
S,X,3^2, SX3^2 ,6/29/2023,1265.75,1262.00,1275.75,1260.00
S,X,3^2, SX3^2 ,6/28/2023,1265.00,1293.50,1295.50,1256.75
S,X,3^2, SX3^2 ,6/27/2023,1294.25,1324.00,1324.75,1281.50
S,X,3^2, SX3^2 ,6/26/2023,1323.00,1309.00,1333.00,1297.50
S,X,3^2, SX3^2 ,6/23/2023,1310.00,1335.25,1336.50,1290.75
S,X,3^2, SX3^2 ,6/22/2023,1339.50,1370.50,1373.50,1322.75
S,X,3^2, SX3^2 ,6/21/2023,1377.00,1358.00,1378.00,1341.25
S,X,3^2, SX3^2 ,6/20/2023,1342.75,1352.25,1364.75,1324.25
S,X,3^2, SX3^2 ,6/16/2023,1342.25,1290.50,1347.25,1289.50
S,X,3^2, SX3^2 ,6/15/2023,1292.25,1240.75,1295.00,1240.75
S,X,3^2, SX3^2 ,6/14/2023,1240.00,1238.25,1246.50,1225.25
S,X,3^2, SX3^2 ,6/13/2023,1239.50,1208.75,1249.25,1205.50
S,X,3^2, SX3^2 ,6/12/2023,1209.00,1211.25,1216.00,1202.50
S,X,3^2, SX3^2 ,6/9/2023,1204.25,1186.75,1205.75,1182.25
S,X,3^2, SX3^2 ,6/8/2023,1189.00,1175.00,1190.50,1167.00
S,X,3^2, SX3^2 ,6/7/2023,1178.50,1183.50,1188.25,1176.00
S,X,3^2, SX3^2 ,6/6/2023,1184.75,1181.50,1191.25,1175.25
S,X,3^2, SX3^2 ,6/5/2023,1179.75,1188.25,1195.00,1176.25
S,X,3^2, SX3^2 ,6/2/2023,1183.75,1168.00,1186.50,1163.50
S,X,3^2, SX3^2 ,6/1/2023,1169.00,1145.50,1175.75,1144.25
S,X,3^2, SX3^2 ,5/31/2023,1146.50,1153.50,1155.00,1130.50
S,X,3^2, SX3^2 ,5/30/2023,1153.25,1191.50,1191.50,1151.00
S,X,3^2, SX3^2 ,5/26/2023,1189.50,1172.00,1192.75,1169.50
S,X,3^2, SX3^2 ,5/25/2023,1172.25,1185.00,1185.50,1163.25
S,X,3^2, SX3^2 ,5/24/2023,1185.00,1187.25,1195.50,1178.50
S,X,3^2, SX3^2 ,5/23/2023,1187.75,1195.75,1199.75,1182.50
S,X,3^2, SX3^2 ,5/22/2023,1197.00,1176.50,1199.75,1172.00
S,X,3^2, SX3^2 ,5/19/2023,1175.50,1187.00,1203.50,1173.25
S,X,3^2, SX3^2 ,5/18/2023,1187.00,1187.75,1195.00,1174.25
S,X,3^2, SX3^2 ,5/17/2023,1187.50,1207.50,1208.50,1184.00
S,X,3^2, SX3^2 ,5/16/2023,1207.00,1230.00,1232.00,1200.50
S,X,3^2, SX3^2 ,5/15/2023,1231.25,1222.00,1237.25,1217.75
S,X,3^2, SX3^2 ,5/12/2023,1223.75,1245.50,1252.75,1221.75
S,X,3^2, SX3^2 ,5/11/2023,1248.00,1250.00,1253.00,1234.50
S,X,3^2, SX3^2 ,5/10/2023,1250.75,1255.00,1258.00,1248.25
S,X,3^2, SX3^2 ,5/9/2023,1254.50,1271.50,1271.50,1250.50
S,X,3^2, SX3^2 ,5/8/2023,1272.50,1282.50,1285.75,1268.00
S,X,3^2, SX3^2 ,5/5/2023,1280.00,1266.50,1280.25,1265.25
S,X,3^2, SX3^2 ,5/4/2023,1268.50,1272.00,1273.75,1258.25
S,X,3^2, SX3^2 ,5/3/2023,1272.25,1267.00,1273.00,1252.25
S,X,3^2, SX3^2 ,5/2/2023,1267.25,1275.00,1284.00,1265.00
S,X,3^2, SX3^2 ,5/1/2023,1275.00,1262.50,1275.75,1258.50
S,X,3^2, SX3^2 ,4/28/2023,1263.50,1257.00,1267.00,1251.25
S,X,3^2, SX3^2 ,4/27/2023,1255.50,1266.75,1268.25,1254.75
S,X,3^2, SX3^2 ,4/26/2023,1266.75,1268.00,1272.50,1262.00
S,X,3^2, SX3^2 ,4/25/2023,1266.00,1276.00,1280.00,1260.00
S,X,3^2, SX3^2 ,4/24/2023,1276.75,1286.00,1291.50,1274.50
S,X,3^2, SX3^2 ,4/21/2023,1285.25,1300.00,1302.00,1277.25
S,X,3^2, SX3^2 ,4/20/2023,1300.50,1308.00,1308.75,1293.75
S,X,3^2, SX3^2 ,4/19/2023,1308.50,1318.00,1319.75,1306.00
S,X,3^2, SX3^2 ,4/18/2023,1319.50,1310.00,1325.50,1309.50
S,X,3^2, SX3^2 ,4/17/2023,1311.50,1300.75,1313.25,1297.00
S,X,3^2, SX3^2 ,4/14/2023,1301.50,1312.50,1313.00,1295.50
S,X,3^2, SX3^2 ,4/13/2023,1312.50,1306.00,1321.00,1305.50
S,X,3^2, SX3^2 ,4/12/2023,1307.75,1316.50,1316.50,1300.75
S,X,3^2, SX3^2 ,4/11/2023,1314.25,1310.75,1323.50,1306.25
S,X,3^2, SX3^2 ,4/10/2023,1309.75,1307.75,1315.00,1304.75
S,X,3^2, SX3^2 ,4/7/2023,1309.75,#N/A,#N/A,#N/A
S,X,3^2, SX3^2 ,4/6/2023,1309.75,1316.00,1320.25,1303.75
S,X,3^2, SX3^2 ,4/5/2023,1316.00,1321.75,1323.75,1305.50
S,X,3^2, SX3^2 ,4/4/2023,1320.00,1331.25,1334.50,1314.25
S,X,3^2, SX3^2 ,4/3/2023,1332.75,1324.25,1338.75,1322.50
S,X,3^2, SX3^2 ,3/31/2023,1319.75,1302.00,1334.50,1298.00
S,X,3^2, SX3^2 ,3/30/2023,1303.50,1302.00,1305.50,1297.75
S,X,3^2, SX3^2 ,3/29/2023,1302.50,1302.25,1305.75,1295.75
S,X,3^2, SX3^2 ,3/28/2023,1303.75,1289.00,1306.75,1285.25
S,X,3^2, SX3^2 ,3/27/2023,1288.50,1273.25,1291.75,1270.00
S,X,3^2, SX3^2 ,3/24/2023,1273.25,1258.00,1276.75,1247.50
S,X,3^2, SX3^2 ,3/23/2023,1258.00,1273.25,1278.50,1250.00
S,X,3^2, SX3^2 ,3/22/2023,1272.50,1297.00,1299.00,1270.50
S,X,3^2, SX3^2 ,3/21/2023,1296.00,1308.00,1316.50,1295.25
S,X,3^2, SX3^2 ,3/20/2023,1309.00,1311.00,1315.75,1296.50
S,X,3^2, SX3^2 ,3/17/2023,1313.50,1325.25,1330.50,1309.25
S,X,3^2, SX3^2 ,3/16/2023,1324.50,1324.00,1330.00,1311.50
S,X,3^2, SX3^2 ,3/15/2023,1324.75,1338.00,1343.75,1322.25
S,X,3^2, SX3^2 ,3/14/2023,1338.50,1338.50,1343.50,1332.50
S,X,3^2, SX3^2 ,3/13/2023,1339.25,1363.50,1366.00,1338.50
S,X,3^2, SX3^2 ,3/10/2023,1357.50,1360.00,1363.75,1350.50
S,X,3^2, SX3^2 ,3/9/2023,1360.00,1371.00,1377.75,1355.75
S,X,3^2, SX3^2 ,3/8/2023,1371.50,1371.25,1383.75,1368.25
S,X,3^2, SX3^2 ,3/7/2023,1373.50,1378.00,1381.00,1371.50
S,X,3^2, SX3^2 ,3/6/2023,1379.25,1374.00,1386.50,1364.75
S,X,3^2, SX3^2 ,3/3/2023,1373.00,1366.50,1377.25,1365.50
S,X,3^2, SX3^2 ,3/2/2023,1367.50,1359.00,1372.00,1355.25
S,X,3^2, SX3^2 ,3/1/2023,1359.00,1347.75,1364.00,1346.25
S,X,3^2, SX3^2 ,2/28/2023,1347.25,1371.50,1373.00,1345.00
S,X,3^2, SX3^2 ,2/27/2023,1372.00,1374.00,1375.00,1367.00
S,X,3^2, SX3^2 ,2/24/2023,1374.00,1387.00,1390.00,1370.00
S,X,3^2, SX3^2 ,2/23/2023,1387.75,1394.50,1396.50,1385.50
S,X,3^2, SX3^2 ,2/22/2023,1395.50,1398.00,1402.00,1391.00
S,X,3^2, SX3^2 ,2/21/2023,1399.00,1390.00,1401.00,1390.00
S,X,3^2, SX3^2 ,2/17/2023,1386.25,1383.00,1388.00,1381.75
S,X,3^2, SX3^2 ,2/16/2023,1383.75,1372.00,1386.25,1370.00
S,X,3^2, SX3^2 ,2/15/2023,1375.00,1381.50,1381.75,1367.00
S,X,3^2, SX3^2 ,2/14/2023,1383.00,1383.75,1389.25,1380.25
S,X,3^2, SX3^2 ,2/13/2023,1384.75,1378.00,1389.75,1375.25
S,X,3^2, SX3^2 ,2/10/2023,1378.75,1359.00,1380.00,1359.00
S,X,3^2, SX3^2 ,2/9/2023,1365.25,1369.25,1376.00,1361.50
S,X,3^2, SX3^2 ,2/8/2023,1370.75,1370.00,1376.50,1359.75
S,X,3^2, SX3^2 ,2/7/2023,1370.50,1366.50,1374.50,1362.25
S,X,3^2, SX3^2 ,2/6/2023,1367.25,1369.25,1374.75,1361.50
S,X,3^2, SX3^2 ,2/3/2023,1369.75,1366.75,1372.25,1363.00
S,X,3^2, SX3^2 ,2/2/2023,1370.50,1360.00,1373.00,1360.00
S,X,3^2, SX3^2 ,2/1/2023,1360.25,1362.50,1367.00,1351.75
S,X,3^2, SX3^2 ,1/31/2023,1363.00,1365.00,1369.00,1358.75
S,X,3^2, SX3^2 ,1/30/2023,1367.50,1355.00,1369.25,1354.25
S,X,3^2, SX3^2 ,1/27/2023,1351.25,1352.00,1358.25,1347.75
S,X,3^2, SX3^2 ,1/26/2023,1352.50,1345.25,1357.75,1340.00
S,X,3^2, SX3^2 ,1/25/2023,1344.75,1336.50,1346.25,1330.50
S,X,3^2, SX3^2 ,1/24/2023,1338.00,1340.50,1347.75,1336.00
S,X,3^2, SX3^2 ,1/23/2023,1339.50,1347.00,1347.75,1330.25
S,X,3^2, SX3^2 ,1/20/2023,1352.00,1364.00,1365.00,1350.50
S,X,3^2, SX3^2 ,1/19/2023,1364.50,1373.00,1375.25,1359.50
S,X,3^2, SX3^2 ,1/18/2023,1374.25,1392.00,1396.25,1365.00
S,X,3^2, SX3^2 ,1/17/2023,1393.25,1386.00,1394.25,1380.50
S,X,3^2, SX3^2 ,1/13/2023,1393.00,1396.50,1400.00,1386.25
S,X,3^2, SX3^2 ,1/12/2023,1396.25,1386.00,1405.00,1382.75
S,X,3^2, SX3^2 ,1/11/2023,1387.00,1389.00,1400.50,1386.75
S,X,3^2, SX3^2 ,1/10/2023,1390.50,1390.00,1401.75,1382.25
S,X,3^2, SX3^2 ,1/9/2023,1391.75,1400.00,1402.50,1389.25
S,X,3^2, SX3^2 ,1/6/2023,1397.25,1384.75,1398.00,1383.50
S,X,3^2, SX3^2 ,1/5/2023,1382.50,1391.75,1395.00,1379.00
S,X,3^2, SX3^2 ,1/4/2023,1390.75,1399.00,1406.00,1387.50
S,X,3^2, SX3^2 ,1/3/2023,1397.00,1413.50,1415.75,1392.25
