commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
W,N,3^2, WN3^2 ,7/14/2023,641.50,#N/A,#N/A,#N/A
W,N,3^2, WN3^2 ,7/13/2023,627.50,614.25,625.00,614.25
W,N,3^2, WN3^2 ,7/12/2023,621.25,645.00,645.00,625.00
W,N,3^2, WN3^2 ,7/11/2023,649.50,645.00,650.00,642.75
W,N,3^2, WN3^2 ,7/10/2023,636.25,641.75,645.75,637.50
W,N,3^2, WN3^2 ,7/7/2023,639.50,642.75,646.75,642.75
W,N,3^2, WN3^2 ,7/6/2023,647.00,654.50,654.75,640.75
W,N,3^2, WN3^2 ,7/5/2023,662.00,640.00,658.00,635.00
W,N,3^2, WN3^2 ,7/3/2023,628.50,630.00,642.25,628.25
W,N,3^2, WN3^2 ,6/30/2023,636.25,654.00,663.75,634.25
W,N,3^2, WN3^2 ,6/29/2023,653.00,655.50,663.75,650.75
W,N,3^2, WN3^2 ,6/28/2023,655.75,684.75,692.50,653.25
W,N,3^2, WN3^2 ,6/27/2023,685.00,724.25,725.75,681.50
W,N,3^2, WN3^2 ,6/26/2023,724.25,734.25,756.75,719.00
W,N,3^2, WN3^2 ,6/23/2023,733.25,737.00,737.75,718.75
W,N,3^2, WN3^2 ,6/22/2023,739.00,730.25,747.00,725.50
W,N,3^2, WN3^2 ,6/21/2023,734.50,700.50,735.50,699.25
W,N,3^2, WN3^2 ,6/20/2023,695.75,687.00,700.00,676.25
W,N,3^2, WN3^2 ,6/16/2023,688.00,659.75,697.00,656.00
W,N,3^2, WN3^2 ,6/15/2023,661.50,629.00,665.25,628.25
W,N,3^2, WN3^2 ,6/14/2023,630.25,638.00,639.00,625.00
W,N,3^2, WN3^2 ,6/13/2023,636.25,634.50,649.25,626.75
W,N,3^2, WN3^2 ,6/12/2023,633.75,629.75,638.75,622.25
W,N,3^2, WN3^2 ,6/9/2023,630.25,624.50,632.25,618.50
W,N,3^2, WN3^2 ,6/8/2023,626.25,616.00,629.00,611.25
W,N,3^2, WN3^2 ,6/7/2023,616.75,626.50,635.50,613.25
W,N,3^2, WN3^2 ,6/6/2023,627.75,624.25,648.00,621.25
W,N,3^2, WN3^2 ,6/5/2023,624.00,621.50,631.50,615.50
W,N,3^2, WN3^2 ,6/2/2023,619.00,610.25,622.50,602.25
W,N,3^2, WN3^2 ,6/1/2023,610.75,594.25,617.50,593.00
W,N,3^2, WN3^2 ,5/31/2023,594.25,591.50,595.00,573.25
W,N,3^2, WN3^2 ,5/30/2023,591.00,616.75,616.75,588.75
W,N,3^2, WN3^2 ,5/26/2023,616.00,606.00,618.50,602.50
W,N,3^2, WN3^2 ,5/25/2023,604.25,607.00,616.50,599.00
W,N,3^2, WN3^2 ,5/24/2023,606.25,621.00,624.50,602.25
W,N,3^2, WN3^2 ,5/23/2023,622.25,607.50,624.75,594.25
W,N,3^2, WN3^2 ,5/22/2023,606.25,607.75,613.75,596.25
W,N,3^2, WN3^2 ,5/19/2023,605.00,611.00,620.75,602.00
W,N,3^2, WN3^2 ,5/18/2023,611.75,626.25,626.50,605.50
W,N,3^2, WN3^2 ,5/17/2023,625.50,646.75,654.25,616.00
W,N,3^2, WN3^2 ,5/16/2023,647.50,661.75,664.25,640.00
W,N,3^2, WN3^2 ,5/15/2023,660.75,635.00,663.75,632.50
W,N,3^2, WN3^2 ,5/12/2023,635.00,628.00,654.00,626.00
W,N,3^2, WN3^2 ,5/11/2023,627.25,640.00,640.75,625.50
W,N,3^2, WN3^2 ,5/10/2023,641.25,643.75,647.75,629.75
W,N,3^2, WN3^2 ,5/9/2023,643.50,653.25,653.75,633.00
W,N,3^2, WN3^2 ,5/8/2023,654.00,662.00,669.00,652.25
W,N,3^2, WN3^2 ,5/5/2023,660.25,646.00,663.50,643.75
W,N,3^2, WN3^2 ,5/4/2023,645.00,642.00,650.75,629.25
W,N,3^2, WN3^2 ,5/3/2023,639.75,609.25,642.25,603.75
W,N,3^2, WN3^2 ,5/2/2023,609.25,620.00,626.50,607.50
W,N,3^2, WN3^2 ,5/1/2023,618.25,633.50,635.25,613.75
W,N,3^2, WN3^2 ,4/28/2023,633.75,630.50,639.00,624.25
W,N,3^2, WN3^2 ,4/27/2023,629.25,643.75,645.50,625.50
W,N,3^2, WN3^2 ,4/26/2023,642.00,653.75,657.75,641.00
W,N,3^2, WN3^2 ,4/25/2023,653.00,657.00,660.50,642.50
W,N,3^2, WN3^2 ,4/24/2023,657.00,679.00,682.00,656.75
W,N,3^2, WN3^2 ,4/21/2023,673.00,681.25,685.75,669.00
W,N,3^2, WN3^2 ,4/20/2023,680.00,695.00,696.00,678.25
W,N,3^2, WN3^2 ,4/19/2023,692.75,709.25,710.00,692.00
W,N,3^2, WN3^2 ,4/18/2023,709.50,704.25,717.25,700.50
W,N,3^2, WN3^2 ,4/17/2023,707.25,695.00,707.75,685.25
W,N,3^2, WN3^2 ,4/14/2023,692.50,677.50,694.50,670.75
W,N,3^2, WN3^2 ,4/13/2023,676.00,688.50,688.50,673.75
W,N,3^2, WN3^2 ,4/12/2023,687.00,683.25,692.00,682.75
W,N,3^2, WN3^2 ,4/11/2023,684.00,691.75,698.00,677.25
W,N,3^2, WN3^2 ,4/10/2023,690.75,696.75,699.75,680.75
W,N,3^2, WN3^2 ,4/7/2023,688.00,#N/A,#N/A,#N/A
W,N,3^2, WN3^2 ,4/6/2023,688.00,695.00,697.50,684.25
W,N,3^2, WN3^2 ,4/5/2023,694.75,705.00,705.25,688.00
W,N,3^2, WN3^2 ,4/4/2023,704.00,710.00,714.25,701.00
W,N,3^2, WN3^2 ,4/3/2023,706.75,709.00,722.25,704.00
W,N,3^2, WN3^2 ,3/31/2023,704.50,704.50,713.00,693.00
W,N,3^2, WN3^2 ,3/30/2023,704.50,716.50,721.25,702.50
W,N,3^2, WN3^2 ,3/29/2023,716.25,710.50,735.25,708.75
W,N,3^2, WN3^2 ,3/28/2023,711.50,709.50,715.75,703.00
W,N,3^2, WN3^2 ,3/27/2023,709.50,702.50,717.75,692.00
W,N,3^2, WN3^2 ,3/24/2023,700.00,673.00,711.50,668.75
W,N,3^2, WN3^2 ,3/23/2023,674.00,675.00,686.50,669.25
W,N,3^2, WN3^2 ,3/22/2023,674.75,692.75,693.50,665.00
W,N,3^2, WN3^2 ,3/21/2023,692.50,708.25,714.00,689.50
W,N,3^2, WN3^2 ,3/20/2023,708.50,718.25,718.25,703.50
W,N,3^2, WN3^2 ,3/17/2023,719.50,708.25,722.00,708.00
W,N,3^2, WN3^2 ,3/16/2023,709.00,713.50,713.50,702.00
W,N,3^2, WN3^2 ,3/15/2023,713.00,707.25,716.00,703.25
W,N,3^2, WN3^2 ,3/14/2023,706.75,693.50,710.00,688.00
W,N,3^2, WN3^2 ,3/13/2023,695.50,692.50,706.25,678.25
W,N,3^2, WN3^2 ,3/10/2023,690.00,676.25,694.50,672.00
W,N,3^2, WN3^2 ,3/9/2023,677.00,698.75,701.50,675.75
W,N,3^2, WN3^2 ,3/8/2023,697.00,707.00,708.00,693.25
W,N,3^2, WN3^2 ,3/7/2023,706.50,705.00,711.50,698.25
W,N,3^2, WN3^2 ,3/6/2023,703.50,718.25,718.50,702.00
W,N,3^2, WN3^2 ,3/3/2023,716.75,722.00,723.00,714.75
W,N,3^2, WN3^2 ,3/2/2023,719.75,721.00,728.75,716.25
W,N,3^2, WN3^2 ,3/1/2023,718.00,717.00,721.75,709.75
W,N,3^2, WN3^2 ,2/28/2023,713.75,717.75,723.00,711.25
W,N,3^2, WN3^2 ,2/27/2023,718.00,730.00,731.50,714.00
W,N,3^2, WN3^2 ,2/24/2023,729.25,758.25,759.50,725.00
W,N,3^2, WN3^2 ,2/23/2023,756.25,755.00,764.00,753.00
W,N,3^2, WN3^2 ,2/22/2023,756.50,769.00,772.00,754.00
W,N,3^2, WN3^2 ,2/21/2023,768.75,784.00,789.25,767.75
W,N,3^2, WN3^2 ,2/17/2023,781.00,781.25,786.00,776.50
W,N,3^2, WN3^2 ,2/16/2023,780.75,782.75,787.25,778.00
W,N,3^2, WN3^2 ,2/15/2023,785.25,799.00,801.50,783.50
W,N,3^2, WN3^2 ,2/14/2023,799.50,801.50,810.00,797.00
W,N,3^2, WN3^2 ,2/13/2023,802.50,801.75,807.00,789.25
W,N,3^2, WN3^2 ,2/10/2023,799.00,770.25,803.00,770.25
W,N,3^2, WN3^2 ,2/9/2023,773.25,779.50,784.50,771.00
W,N,3^2, WN3^2 ,2/8/2023,779.75,767.00,780.75,764.50
W,N,3^2, WN3^2 ,2/7/2023,767.00,766.75,771.75,761.00
W,N,3^2, WN3^2 ,2/6/2023,766.75,772.25,780.00,760.50
W,N,3^2, WN3^2 ,2/3/2023,771.75,773.75,790.00,765.75
W,N,3^2, WN3^2 ,2/2/2023,775.50,770.75,782.25,764.50
W,N,3^2, WN3^2 ,2/1/2023,773.00,771.00,773.25,758.25
W,N,3^2, WN3^2 ,1/31/2023,771.25,763.25,775.50,752.50
W,N,3^2, WN3^2 ,1/30/2023,763.50,763.50,771.25,754.75
W,N,3^2, WN3^2 ,1/27/2023,760.00,762.50,763.50,755.50
W,N,3^2, WN3^2 ,1/26/2023,762.50,750.25,766.50,746.75
W,N,3^2, WN3^2 ,1/25/2023,750.50,745.00,755.00,744.75
W,N,3^2, WN3^2 ,1/24/2023,744.50,730.50,747.75,729.50
W,N,3^2, WN3^2 ,1/23/2023,730.50,748.75,750.25,723.00
W,N,3^2, WN3^2 ,1/20/2023,751.50,746.50,753.00,739.75
W,N,3^2, WN3^2 ,1/19/2023,745.50,752.75,758.25,745.00
W,N,3^2, WN3^2 ,1/18/2023,753.50,757.75,769.00,751.50
W,N,3^2, WN3^2 ,1/17/2023,761.00,752.50,764.25,739.25
W,N,3^2, WN3^2 ,1/13/2023,753.75,754.25,759.00,747.50
W,N,3^2, WN3^2 ,1/12/2023,754.25,750.50,758.75,736.75
W,N,3^2, WN3^2 ,1/11/2023,752.25,742.50,754.00,739.00
W,N,3^2, WN3^2 ,1/10/2023,744.25,755.00,756.50,735.00
