commodity,contract_month,contract_year,code,trading_date, close , open , high , low 
W,Z,3^2, WZ3^2 ,12/14/2023,594.00,#N/A,#N/A,#N/A
W,Z,3^2, WZ3^2 ,12/13/2023,585.25,#N/A,#N/A,#N/A
W,Z,3^2, WZ3^2 ,12/12/2023,607.00,#N/A,#N/A,#N/A
W,Z,3^2, WZ3^2 ,12/11/2023,591.25,#N/A,#N/A,#N/A
W,Z,3^2, WZ3^2 ,12/8/2023,615.00,618.75,619.00,618.00
W,Z,3^2, WZ3^2 ,12/7/2023,626.00,622.75,622.75,622.75
W,Z,3^2, WZ3^2 ,12/6/2023,615.75,625.75,634.00,621.75
W,Z,3^2, WZ3^2 ,12/5/2023,620.75,601.00,619.25,597.75
W,Z,3^2, WZ3^2 ,12/4/2023,595.75,583.00,583.00,583.00
W,Z,3^2, WZ3^2 ,12/1/2023,577.00,569.25,577.50,569.25
W,Z,3^2, WZ3^2 ,11/30/2023,570.25,557.50,570.25,555.50
W,Z,3^2, WZ3^2 ,11/29/2023,556.00,544.50,559.00,542.75
W,Z,3^2, WZ3^2 ,11/28/2023,543.75,534.00,545.50,528.00
W,Z,3^2, WZ3^2 ,11/27/2023,534.25,550.00,552.75,527.50
W,Z,3^2, WZ3^2 ,11/24/2023,548.75,555.00,555.75,546.50
W,Z,3^2, WZ3^2 ,11/22/2023,555.75,556.00,563.50,554.50
W,Z,3^2, WZ3^2 ,11/21/2023,555.00,544.00,557.00,541.75
W,Z,3^2, WZ3^2 ,11/20/2023,543.50,550.75,554.00,541.00
W,Z,3^2, WZ3^2 ,11/17/2023,550.75,555.75,557.75,547.00
W,Z,3^2, WZ3^2 ,11/16/2023,553.50,562.25,562.50,547.00
W,Z,3^2, WZ3^2 ,11/15/2023,560.50,572.75,579.25,557.00
W,Z,3^2, WZ3^2 ,11/14/2023,572.00,581.00,585.00,570.25
W,Z,3^2, WZ3^2 ,11/13/2023,579.00,575.00,582.00,567.25
W,Z,3^2, WZ3^2 ,11/10/2023,575.25,581.75,583.00,570.75
W,Z,3^2, WZ3^2 ,11/9/2023,580.75,590.00,592.50,573.00
W,Z,3^2, WZ3^2 ,11/8/2023,592.25,571.50,598.75,570.25
