Code,ADX_optimal,BIAS_optimal,GAIN_TO_PAIN_optimal,FINAL_PROFITS_optimal
BON,15.0,16.0,1.7066395459827743,10.73791507719212
BOZ,35.0,14.0,2.0735058294290454,3.4243087634239755
CCN,50.0,7.0,4.1652777714624785,1.2655646238191607
CCZ,40.0,8.0,1.9684040769008988,1.9019333628145345
CDZ,45.0,3.0,1.4097197690048555,0.2609415916480981
CLN,10.0,22.0,1.1373531665768417,3.2810149284514427
CLZ,15.0,8.0,1.2444411506040416,5.027376416661096
CN,30.0,30.0,1.7862069039296042,3.5739634838226033
CTN,35.0,16.0,1.85289217325065,4.959922681036524
CTZ,30.0,12.0,2.470123823554535,7.63330706458436
CZ,30.0,24.0,1.80773979937466,4.13518807416733
DXZ,10.0,5.0,1.6515766402734862,4.793548269861902
GCZ,10.0,7.0,1.428421031909294,4.895483127173291
HGZ,15.0,14.0,1.0753356978776627,1.4326396058920043
JYZ,40.0,4.0,0.6604391446158152,-0.7642251228371679
KCN,15.0,6.0,1.1953489709557037,2.9393255056326724
KCZ,30.0,6.0,1.6120818254429656,2.132508732291566
KWN,45.0,12.0,3.0948694762081512,3.7892762239312705
KWZ,40.0,14.0,2.914431410331143,6.775901761738563
LCN,35.0,6.0,1.3198061472889266,0.4433259361288315
LCZ,20.0,3.0,1.1183339214538441,0.7199501915097095
LHN,30.0,8.0,1.2547336349584122,0.9330667378583143
LHZ,40.0,3.0,3.2078736617827492,0.4697523997737392
SBN,30.0,12.0,2.0550942197068154,7.708457544201566
SBV,20.0,9.0,1.5301136852554207,8.172445873505305
SIZ,15.0,14.0,1.3328150231951041,7.1004528592332
SMN,35.0,7.0,1.6840293697030286,3.8825243674633043
SMZ,20.0,12.0,1.435326011580399,6.683559388014227
SN,25.0,7.0,1.2787293525756809,2.7743244259039064
SUCZ,40.0,16.0,3.3161302133894854,6.50180637802298
SX,15.0,8.0,1.5068869115921022,7.289577552678567
WN,45.0,12.0,2.4001218287981545,2.4296500391695544
WZ,40.0,16.0,2.485236743048841,5.1687933061260285
