Code,ADX_optimal,BIAS_optimal,GAIN_TO_PAIN_optimal,FINAL_PROFITS_optimal
BON,40.0,-6.0,3.1587447955318138,0.12617559139325102
BOZ,40.0,-16.0,2.8164338420108086,0.2204257164449347
CCN,45.0,-14.0,5.131655085821491,0.2188029716833932
CCZ,40.0,-12.0,3.596892308961575,0.32202746101593827
CDZ,40.0,-6.0,1.1049967816456794,0.01626185863942462
CLN,30.0,-30.0,1.7073325374793504,0.38448159426594497
CLZ,15.0,-14.0,1.1203678900617964,0.3087325466014683
CN,20.0,-18.0,1.843244867563062,0.8862688508712413
CTN,45.0,-9.0,3.561755436468126,0.21971375866802353
CTZ,40.0,-12.0,2.836618891730569,0.29338759113416385
CZ,20.0,-8.0,1.2248560876480066,0.35610331465251854
DXZ,30.0,-4.0,0.2645493887913107,-0.719740829862913
GCZ,35.0,-9.0,3.989632986498708,0.2572623258203188
HGZ,45.0,-20.0,1.6547445496854185,0.11228657802510765
JYZ,40.0,-4.0,1.1891645696802597,0.03523706543520567
KCN,25.0,-30.0,1.8161024201065612,0.7317831067441848
KCZ,15.0,-30.0,1.2032607011534067,0.45327549647665816
KWN,20.0,-16.0,1.5395764727653893,0.6956615958022716
KWZ,30.0,-18.0,1.496047058233752,0.2675265684161546
LCN,35.0,-18.0,1.455381425027448,0.1315634975961843
LCZ,40.0,-14.0,1.6635205742029944,0.055187388547186016
LHN,30.0,-30.0,1.5624655697024177,0.33128388453136803
LHZ,20.0,-8.0,1.2484733134399537,0.3209658644875588
SBN,45.0,-5.0,2.2808086938985195,0.1522775121033322
SBV,20.0,-14.0,1.2569865016765744,0.32575141315604766
SIZ,30.0,-20.0,2.3495822741131787,0.562869037948041
SMN,30.0,-5.0,1.8121005630040108,0.20929591804775102
SMZ,35.0,-8.0,2.8823006695640867,0.23749720309421887
SN,35.0,-16.0,4.711484971910561,0.2237607416361928
SUCZ,30.0,-12.0,2.267520733647234,0.4449924615991991
SX,45.0,-8.0,14.922838327581074,0.13949779683798263
WN,20.0,-16.0,1.7267454354241076,0.9742753832029489
WZ,45.0,-7.0,2.03636943237496,0.06409573127875845
